secs,gens,bestfitness,meanfitness,maxcomplexity,meancomplexity,evalcount
59.998,992,335.36144,266.67291,83,54.65833,495304
59.996,824,99.52624,53.15056,127,66.05,412160
60.008,903,120.29526,57.66063,70,45.685,449128
59.993,857,79.43473,44.33095,109,57.55333,427103
60,955,184.99606,83.51694,111,68.19167,478828
60.003,849,461.09455,358.32556,86,77.22,426029
60.011,1014,58.47108,42.85773,93,70.52833,505231
59.996,1049,201.04391,50.31639,89,54.395,524585
60.002,908,47.73301,42.47211,120,73.67833,452899
59.998,953,49.72095,44.4858,130,51.735,475609
60.004,993,125.79087,62.18201,122,52.78667,497513
60.004,988,161.11399,105.48153,126,68.64333,495012
60.005,904,76.90803,43.80502,108,74.76833,450917
60.001,1038,51.07282,47.53158,110,46.93333,518624
60.002,930,52.89907,39.37584,100,64.17,465207
60.004,920,107.63844,61.39615,126,85.93833,460664
59.995,874,47.73483,42.60324,100,47.18833,435306
59.993,867,67.27583,43.42039,103,73.17333,432040
60.003,982,46.74242,42.16667,83,47.175,489288
60.002,931,104.54954,86.72537,84,60.98,464156
59.994,1064,105.34468,68.70981,90,38.68667,532751
60.001,917,125.34575,59.24026,122,62.26833,458849
59.999,945,81.24072,52.30513,90,66.08333,472705
60.003,962,174.93008,132.89036,118,79.02667,482810
60.003,859,154.63783,80.46326,122,56.24667,429971
60.003,862,45.96557,42.40106,107,72.9,429638
59.992,953,267.67709,128.36458,69,34.275,475067
60.004,1003,216.97333,85.52851,80,26.575,502066
60.011,963,111.56189,79.22728,113,42.79667,483803
59.992,977,134.72075,62.87485,119,53.105,490633
59.991,1043,384.08588,103.46903,105,59.69333,521617
60.012,816,219.10956,81.72347,97,60.14,408468
60.01,989,303.69511,259.75011,100,57.74,494250
60.02,1068,186.0193,64.22989,104,38.04667,535058
59.99,990,157.01858,81.65686,116,51.51,498230
59.994,914,91.73693,49.30895,107,65.57,456349
60.002,1004,101.11073,43.78013,119,55.20833,502147
59.991,927,258.1595,209.44281,99,68.49333,465328
60.001,919,114.69894,63.72544,143,70.71667,460102
59.997,956,163.67398,110.89757,98,81.31833,480035
59.992,961,128.39709,45.3152,99,60.135,479981
59.996,886,117.17288,55.11261,95,61.39667,442490
59.998,1062,75.2789,51.21577,109,49.99333,529947
59.999,884,60.53221,43.06422,136,62.65833,441783
59.992,932,75.90412,45.2431,99,60.16167,465492
60.004,953,221.69468,57.97076,122,53.74167,475833
60,813,45.76048,42.85355,150,113.20833,405412
59.995,964,127.33607,38.18945,78,48.21,482426
60.02,1238,51.91077,45.51373,105,65.86,617421
60,895,44.89675,42.56057,113,61.38333,447574
59.993,831,116.74008,75.86298,137,79.95,415360
59.995,958,108.10117,72.95122,102,53.77167,479487
59.99,1051,287.85256,143.17611,79,33.42167,524381
59.999,959,63.63692,51.40621,74,47.59167,477518
59.995,937,178.19354,89.6738,102,36.82833,468935
60.004,933,59.69139,43.01356,111,59.63,466966
59.999,940,78.94372,44.23027,120,63.26833,469137
59.995,940,227.38837,147.63701,122,40.85667,469569
59.997,876,206.80061,153.01622,93,71.20333,436430
59.994,1035,67.76439,44.81113,107,55.65667,516854
59.994,1036,60.21258,43.6969,90,52.555,517662
60,1140,571.16722,369.4067,85,67.84833,573454
59.999,997,89.03816,62.78851,102,61.20167,498012
59.999,929,46.47281,43.44256,90,73.46833,464339
60.004,1037,340.86785,59.03294,90,53.48,518806
60,1078,47.65892,41.61451,104,57.745,537855
59.995,884,127.501,76.91872,101,44.65,443173
60.018,1039,64.60041,45.68259,98,83.71333,518464
60.001,1072,368.7257,266.82207,78,44.41333,538170
59.993,975,77.1788,54.66434,92,39.00833,487988
59.994,1019,267.87641,66.90659,83,47.21333,510919
60.002,1141,212.16799,66.90661,87,69.70833,575312
59.999,962,44.21023,40.38199,78,54.68333,480818
59.991,1173,148.13674,90.14119,67,20.49667,588273
60.001,1029,213.88512,78.34828,120,43.51167,514179
59.997,1031,45.71927,40.56476,82,63.405,514017
59.99,895,328.50312,101.13007,123,73.18,447412
59.993,929,108.49578,73.0517,118,71.15,464910
59.996,853,47.50836,41.52339,110,60.58667,424803
59.993,980,131.36006,82.66057,103,51.47,490163
60.003,1108,404.1321,241.29909,104,51.605,556499
59.993,961,152.04665,56.41669,110,68.13833,480301
60.002,955,267.02327,135.05672,86,46.50167,475695
59.994,917,102.48976,57.49855,127,74.96167,457281
60.004,973,47.11827,41.76997,108,72.29167,486099
59.994,887,56.84515,40.9024,153,117.255,443792
60.002,930,49.5338,42.79382,88,50.98833,463019
60.002,929,64.94812,41.09956,109,54.34833,464065
59.99,956,52.69893,41.84294,91,41.38,478869
59.998,978,53.59948,40.7062,136,63.90333,489431
60.002,1000,136.92125,80.55656,100,56.96333,500092
59.995,824,61.80613,43.37423,98,72.04,410569
60.009,1060,132.41618,57.62419,106,54.22667,529989
60.009,816,261.10672,198.95868,95,69.56167,407929
59.995,831,70.65987,40.50945,127,78.14833,415516
59.996,1041,269.32622,218.22713,87,32.41667,520369
60.001,954,67.86763,50.23435,107,64.25,474864
59.995,1054,220.38507,162.72182,84,40.50833,526087
59.997,1022,83.60715,43.35271,85,55.61,511509
60.01,1014,822.00479,736.08471,84,71.36333,507531
59.998,910,69.11994,43.87546,117,74.73167,455154
60.007,900,99.94362,56.18844,103,51.96333,449736
59.99,923,50.96573,43.65083,92,75.31833,460382
59.991,1018,386.97131,232.98031,73,27.42,511080
59.995,1071,299.81139,140.70045,67,27.43,539675
59.999,968,124.89215,60.90227,101,68.175,484862
59.998,863,78.9849,44.03587,114,73.52833,429198
59.994,927,183.31632,72.9987,106,62.10833,464004
60,971,216.66876,161.27795,100,47.60333,486862
59.998,902,75.85727,43.23494,114,44.96167,451793
59.99,907,58.45356,44.18972,115,29.78833,454288
59.991,931,46.74289,42.14864,122,47.76167,465624
60.002,922,60.60359,43.86047,97,54.32333,461331
59.998,888,61.58031,42.68117,127,69.54833,443899
60.002,973,308.36238,63.52283,87,69.99833,487028
60.025,881,48.0708,43.01272,128,80.02833,439337
60.001,974,141.29008,101.51469,96,67.47833,489163
59.997,908,47.63989,38.76469,97,72.77833,453022
60.011,901,300.29538,207.04643,78,47.01667,450553
60.007,865,160.73265,82.67062,128,75.26333,434062
59.995,793,64.56621,49.60228,137,52.105,396479
59.997,933,126.27872,37.56004,107,77.495,465937
60,1141,51.26552,40.04778,86,47.895,569308
60.004,845,140.53279,48.0915,108,68.18667,423805
59.995,916,105.66508,39.36245,119,75.05167,457953
60.001,938,72.08549,48.454,111,71.92833,468996
60.007,999,90.09341,43.14303,67,25.78333,499151
59.996,1054,372.40727,92.39559,109,71.06167,527038
60,957,47.7708,37.93599,96,57.605,477420
59.997,951,62.86356,42.40915,81,53.58333,473813
60,920,78.51699,43.22994,107,65.66333,460658
60.001,1034,165.52209,100.87279,99,47.69167,517276
59.998,1041,45.83766,42.38797,108,41.505,519869
60.001,1000,594.75359,436.20945,107,90.06667,501075
60.016,946,182.44849,74.80816,98,59.67167,472726
59.993,858,104.07462,45.93699,104,87.6,428849
59.99,911,46.49438,40.21007,107,58.10333,454306
59.995,997,140.48666,52.88596,99,60.40833,498533
59.998,1011,86.49766,56.51481,85,34.47167,504600
60.011,805,78.01596,58.56047,146,94.795,404882
60.015,958,197.7108,138.90727,89,25.80833,478083
59.998,993,52.16843,43.04378,117,62.13667,494854
60,969,246.33259,170.77161,107,41.96,483463
59.99,840,53.08218,43.10545,121,59.40167,418934
59.99,956,134.42892,98.14467,87,75.68333,476283
59.99,935,88.90426,39.15238,123,80.09167,466862
60.004,895,80.42861,45.30575,110,81.83,446687
60.007,915,109.25605,62.7148,86,41.195,457768
60.007,922,259.06807,225.83186,102,59.08667,461069
59.993,886,46.92156,43.20585,94,61.89833,442306
60.004,895,58.48901,47.53024,124,52.09167,446684
59.996,1008,120.00089,48.51162,102,64.08833,503156
59.99,831,114.97067,47.48662,123,61.69833,414004
60.002,838,142.89525,99.26167,106,78.11,419565
60.015,921,47.05525,38.89327,110,74.07667,460592
59.999,960,266.32846,218.98184,104,57.17833,479155
59.998,838,55.24915,42.7873,111,60.54667,418380
60.01,886,86.07218,55.66574,121,62.57333,441637
59.997,931,46.74532,39.71138,120,51.88167,464595
59.992,905,486.35529,431.47182,110,73.39333,453441
59.992,860,82.10324,48.21581,120,74.96667,429310
60,978,47.68436,43.08146,87,57.3,487332
59.997,1026,544.48596,445.57988,101,57.42167,514929
59.994,965,350.66526,241.98659,96,45.76333,484094
59.997,868,46.7958,39.70392,110,63.72167,433297
59.999,962,62.55675,38.59776,117,82.48167,479719
60.015,923,77.64391,40.38206,119,68.61333,461519
60.001,1007,666.28409,537.56866,117,76.30167,505560
60.003,1004,53.39552,42.05964,87,47.35333,500846
60.002,911,87.31766,38.87195,123,60.86,456183
59.999,964,136.74589,44.63704,141,73.98333,483396
60.003,1029,55.72924,42.83595,115,74.105,515043
60.001,940,156.84682,99.40846,104,74.83,468540
60.007,949,49.13299,42.89553,119,77.54,474805
59.999,1101,484.17414,269.39125,105,29.88667,553112
60.021,825,64.95141,46.16903,122,61.68,412344
60.002,1107,241.48691,132.09158,87,18.09167,553605
59.99,888,65.90059,43.90206,129,65.27,443860
60.004,921,134.86938,99.23789,128,68.33,461977
59.995,931,59.78827,41.69952,95,61.025,465570
59.994,964,61.49549,40.33175,129,93.03667,482569
60.005,870,46.53752,39.81245,87,69.48,434758
60.021,833,97.59717,48.39549,90,51.42333,416286
60.004,1093,443.39794,353.04937,74,38.58667,546137
60.004,1255,264.5931,134.76633,59,35.43,632221
60.01,1026,175.03449,57.28103,72,47.31333,516775
60,923,69.69219,43.11999,125,66.615,460639
59.993,867,114.0075,57.00117,81,48.93167,434545
60.005,975,245.91445,129.64101,120,59.095,487971
60.011,878,255.51981,198.67198,129,75.24167,439066
60.005,892,48.46276,42.08553,126,64.16167,446378
59.991,908,169.91605,69.96486,102,71.47333,453799
59.995,1163,143.20742,101.58057,64,22.70167,582586
60.008,956,64.37118,41.46565,98,72.70333,477345
59.992,894,87.14596,41.53051,128,60.02833,447052
59.996,881,66.51322,42.9833,69,57.23667,439463
59.996,906,112.28704,63.93715,98,56.77667,452933
59.997,916,54.26377,44.81967,112,64.78833,458169
60.004,797,46.71515,43.71856,122,61.43833,396793
60.002,1005,209.21418,146.54523,81,40.25833,501366
60.004,916,46.76798,41.41574,83,52.225,455776
59.994,988,106.73913,50.75755,93,45.46333,492795
60,914,120.08062,50.93583,90,59.18167,456698
59.999,1069,185.2238,46.97071,74,42.17167,534456
60,906,114.61602,45.26041,91,61.785,452322
59.99,980,135.26637,50.10441,79,56.21333,488938
