secs,gens,bestfitness,meanfitness,maxcomplexity,meancomplexity,evalcount
60.001,457,1621.73097,1405.77128,116,80.65167,228394
59.998,487,1696.04484,1469.31184,122,61.56333,244314
59.99,466,1632.51904,1541.37089,110,32.68667,233692
59.99,425,1632.42722,1433.96705,132,83.90833,212764
59.996,433,1648.53642,1491.81828,132,92.68333,216535
59.994,468,1670.64563,1533.42987,155,73.93833,233847
59.993,409,1620.6693,1508.85591,122,58.13167,205015
60.004,492,1667.20544,1543.10592,135,79.75333,246272
59.993,490,1690.07683,1582.65469,103,59.035,244544
59.995,435,1658.94637,1604.25412,132,67.7,216715
59.993,483,1623.55232,1574.21823,120,81.51,240690
59.999,431,1626.89842,1387.39603,145,99.73833,215221
60.009,485,1665.5713,1547.74246,131,70.62,242668
59.999,511,1696.76758,1602.30479,92,52.695,254682
60.014,497,1639.53677,1427.22957,118,79.06167,248480
60,510,1646.26343,1480.7448,144,71.81333,254878
59.992,450,1635.47482,1530.14884,114,62.82,225880
59.992,469,1652.49888,1575.76734,96,45.98833,233709
59.993,470,1632.8192,1515.0393,127,54.62167,235414
59.998,463,1644.1997,1547.05555,146,75.75167,233435
59.996,512,1643.41538,1502.96862,114,62.20667,255767
60.018,445,1636.50821,1532.8089,137,89.91,222815
59.99,463,1646.91096,1465.76941,117,86.91667,231384
60.002,446,1628.38157,1468.41649,111,67.37833,222628
59.994,533,1706.90891,1583.98309,111,67.78333,265749
59.991,420,1599.99573,1302.42333,136,104.91667,209606
59.997,438,1622.33052,1581.69684,108,90.57,219377
59.992,465,1633.66603,1525.01052,130,57.88333,233276
59.991,485,1680.09026,1455.89561,116,79.76,242949
59.99,428,1662.13313,1541.80584,128,58.685,214382
59.996,445,1620.77226,1492.38326,122,83.62667,222180
60.001,461,1647.66988,1436.51516,133,90.685,230885
60.004,443,1629.23036,1552.56601,113,66.02667,221320
59.994,495,1666.67048,1498.83472,137,71.88333,247521
59.991,459,1651.16454,1436.61056,125,93.71,229639
59.992,449,1657.12721,1590.14552,152,83.42167,223831
59.999,463,1658.78278,1534.88656,105,57.2,232446
60.002,440,1628.3831,1509.406,133,58.89167,221321
59.992,467,1640.84434,1519.95334,128,89.685,232890
59.996,424,1675.45459,1484.37224,154,83.215,212383
60,515,1659.5752,1496.28571,107,64.18333,256900
59.999,464,1655.44087,1509.11151,127,76.17333,232099
59.999,512,1632.18628,1534.17128,104,70.46667,255477
59.999,515,1625.42571,1443.67168,121,77.665,257769
59.994,460,1640.14792,1569.75316,108,62.595,230003
59.993,460,1657.74364,1478.70193,136,96.49,230123
59.996,442,1626.53643,1373.41117,145,110.02833,221118
59.994,473,1613.71698,1501.08872,113,78.49167,236585
60.027,482,1676.63797,1482.57573,112,53.98333,241466
59.99,424,1639.30142,1587.14767,117,69.38,211949
59.994,457,1634.62651,1551.40523,138,78.11,228009
60.001,486,1634.54019,1536.08218,131,61.52667,242132
60.004,458,1641.80081,1524.12787,131,85.15167,230118
59.997,506,1655.66139,1585.75277,132,66.86,252413
59.991,483,1635.1058,1487.19827,125,79.50667,242386
59.999,460,1672.49361,1632.98006,136,77.055,229761
59.99,447,1626.24839,1347.87846,137,90.715,223172
60.003,440,1651.42925,1592.80079,140,84.61,219332
59.994,450,1661.36918,1544.89478,128,85.51333,225990
59.996,454,1641.24338,1579.89743,115,71.20167,226900
60.004,411,1631.73913,1451.6818,144,65.97,205466
59.993,488,1655.40961,1396.9785,122,64.95833,243404
59.993,453,1623.28422,1280.67269,136,92.13833,226833
60.011,463,1667.50495,1498.67286,139,98.58667,230770
59.995,448,1647.35048,1486.49477,113,72.93833,223686
59.999,457,1683.38461,1579.32502,154,99.995,229156
59.993,475,1647.14878,1576.09132,102,64.775,236955
59.999,479,1655.6637,1548.19255,139,94.18667,239307
59.99,466,1652.64852,1341.43755,135,91.40667,234019
60.006,472,1683.35895,1615.56639,118,70.74833,236838
59.995,450,1637.64197,1477.77836,137,88.05833,225248
60.003,469,1662.28065,1541.75696,139,75.53667,235775
59.996,490,1644.67761,1497.97511,122,57.7,245041
59.998,429,1642.69234,1512.1919,100,46.20833,215828
60.004,480,1633.35586,1482.41592,74,48.575,239560
60.001,493,1632.63217,1580.60373,129,91.54667,245822
59.998,478,1651.47761,1556.36249,148,70.37667,239864
59.997,468,1662.55315,1477.19456,140,90.215,234050
59.997,424,1628.68103,1586.59488,127,60.41833,212475
59.992,467,1694.39838,1609.02356,147,75.68167,233504
59.997,445,1674.626,1496.98915,144,100.09833,222626
60.001,451,1658.96386,1279.07896,146,94.04333,223836
59.991,452,1648.45061,1480.53347,112,55.49167,225786
59.991,460,1678.4632,1576.44498,113,58.46,229563
60.002,484,1650.40196,1542.46813,121,47.43833,242088
60.004,483,1626.40564,1578.74093,123,70.18167,241211
59.996,419,1683.49237,1595.30681,128,59.05167,209727
59.992,471,1631.34416,1541.27194,119,65.935,235898
60.002,463,1661.39956,1536.03959,128,86.445,231788
60.012,467,1624.57013,1516.47593,115,63.34833,232905
59.996,476,1636.14305,1495.23899,98,75.875,238604
60.002,452,1656.09367,1577.76289,153,79.065,226987
59.991,449,1648.39269,1387.40914,137,90.105,224736
59.99,450,1624.97433,1570.59589,104,69.74833,225253
59.994,469,1676.21071,1489.65975,115,54.37,234166
59.996,482,1719.59982,1565.54857,112,62.22333,241322
59.998,471,1654.21308,1536.08714,121,60.67833,235623
59.997,424,1621.5858,1581.90966,125,54.59833,211454
60.004,431,1605.98127,1507.71028,149,67.695,214911
60.001,514,1659.48146,1606.38452,116,75.61,255945
60.002,551,1649.94877,1318.69043,151,95.29333,275511
59.997,415,1651.35318,1274.43655,159,121.115,207376
59.999,473,1667.23331,1535.47987,116,88.48167,236038
59.991,485,1666.64485,1554.40562,150,104.35667,241465
59.991,440,1639.9702,1458.78437,130,95.32,221023
59.998,441,1660.53538,1372.51562,148,82.19667,220255
59.996,455,1631.05386,1529.83785,135,69.49167,227593
60.001,473,1661.71259,1599.02231,149,83.16833,236167
59.995,484,1684.98935,1586.17809,94,36.465,241482
60.01,539,1659.45566,1582.0257,123,61.03167,268946
59.999,465,1616.20982,1374.28717,131,101.58833,231484
59.99,472,1651.67789,1532.99713,167,76.67667,236258
59.994,445,1625.12941,1526.62019,127,36.29667,222570
59.992,478,1681.65721,1544.38152,120,62.43333,239159
60.001,443,1651.49967,1573.33316,128,51.705,222142
59.999,478,1639.71358,1534.30888,101,71.19833,239569
59.997,450,1641.5882,1507.74199,125,85.83,224601
60.001,457,1616.92358,1531.43676,149,88.01,228653
60.004,467,1623.28865,1381.84869,126,91.79333,233740
59.996,427,1629.85658,1553.84964,130,91.24833,214261
59.999,439,1690.26321,1578.17496,152,80.46333,219965
60.003,464,1658.52287,1486.02897,137,97.47167,231971
59.991,436,1628.87222,1404.29071,125,68.14333,218572
59.997,462,1642.71027,1527.42225,136,92.55833,231566
60.003,476,1614.54891,1495.24836,125,68.38333,238542
60.004,450,1655.12296,1570.67802,108,66.51667,226033
59.996,482,1665.57959,1527.64244,121,75.65167,241144
59.994,474,1632.79114,1313.2377,139,97.30333,236924
60.002,420,1624.74666,1481.97146,129,85.19333,209570
59.999,468,1627.37201,1538.31046,138,80.57667,233480
60.002,424,1637.64992,1554.84811,127,84.235,212966
59.991,450,1649.83435,1518.36807,160,65,226157
59.992,450,1668.25261,1574.65012,132,91.60833,224969
60.004,498,1653.68754,1550.78086,105,55.91667,249216
60.002,525,1644.62965,1494.84483,91,60.18833,263598
59.998,487,1647.47442,1479.10324,110,69.40167,242730
59.99,452,1641.96753,1546.90538,135,70.38,226305
60.018,489,1680.515,1513.12935,149,59.615,244992
60.003,475,1654.22204,1550.97277,127,54.82333,237185
59.996,506,1644.45778,1493.69356,98,39.595,253371
60.001,441,1599.99443,1376.93749,133,88.00333,221111
60.003,466,1651.09632,1411.99379,98,28.68167,233555
59.99,446,1676.11064,1508.20602,115,59.315,223495
59.999,471,1622.36517,1550.01887,103,53.64833,235505
60,450,1621.06655,1290.91341,124,103.35833,225016
59.99,431,1662.58829,1566.52543,131,97.22,215959
60.001,468,1698.71599,1578.53758,119,58.80667,234636
60.003,464,1635.30262,1549.88501,138,66.48,232111
59.999,448,1681.84054,1466.60078,130,94.24167,223642
59.991,483,1623.32083,1524.09051,104,64.045,241093
59.998,413,1626.89034,1542.84774,134,81.71167,206183
60.004,409,1612.24687,1345.27146,135,88.215,205319
59.997,445,1622.65537,1556.96809,153,72.06833,223359
59.994,496,1703.36542,1572.08696,103,61.63333,248333
59.991,434,1608.18179,1438.12759,137,92.08667,217141
59.999,497,1647.79175,1553.81268,129,73.905,248104
60,418,1649.45604,1442.78863,172,104.78833,209777
59.998,475,1651.46885,1454.93786,124,97.59,237120
59.995,481,1637.82298,1592.95356,121,71.73833,240596
59.998,473,1663.28413,1516.29291,130,74.5,237289
60.002,466,1679.52572,1517.88993,107,62.94833,232744
59.994,431,1648.96252,1588.32514,136,70.35833,215518
60,458,1649.77236,1591.9804,92,80,228106
59.997,412,1645.5849,1510.82901,126,87.65667,205404
59.995,491,1623.44918,1555.34677,128,73.07,244612
59.991,505,1645.3108,1569.61686,131,69.41667,252825
59.995,455,1664.43103,1497.87214,123,79.93,227167
60.002,427,1622.46159,1424.30462,149,109.79833,214241
59.992,489,1623.78732,1546.02711,112,46.55333,244361
60.004,445,1642.69916,1544.37615,137,52.02833,223087
60.001,432,1646.89359,1530.05218,109,80.25333,216513
60.004,514,1658.77621,1592.627,148,63.935,257185
59.994,489,1658.61362,1521.30712,96,63.095,244454
59.998,462,1666.72539,1580.74502,140,96.29667,230972
59.993,464,1645.18647,1516.4871,135,56.315,231973
60.001,501,1654.70573,1529.01828,97,53.795,249411
59.99,475,1652.57907,1360.60392,115,77.59833,237274
59.994,424,1652.6762,1601.70955,112,46.9,211974
60.001,469,1636.20488,1426.96096,126,72.54167,234013
60.016,455,1616.84524,1461.07441,145,57.085,227092
60,466,1649.95542,1503.44887,113,63.09,232690
60.004,474,1667.6558,1475.77697,117,70.20333,237303
60.004,446,1606.90177,1377.08387,123,97.67833,223300
59.991,413,1647.65723,1600.45112,139,56.105,206753
60.004,471,1613.60246,1522.34904,117,81.36333,234607
59.99,443,1635.64318,1561.4812,112,66.94833,222211
59.996,464,1635.20754,1481.52533,124,77.41333,232801
60.001,481,1633.30928,1535.24804,130,62.51333,240343
59.997,424,1646.50505,1552.46333,128,88.255,212230
60.002,514,1651.43912,1591.08526,112,90.77167,256899
59.994,480,1662.27129,1414.75373,126,89.81,240110
59.999,429,1645.08169,1583.64306,145,80.58833,215863
59.99,442,1664.85435,1595.26728,131,80.64167,221144
59.998,474,1642.92492,1553.42892,116,59.65167,237496
60.001,451,1625.91241,1469.8553,106,62.175,225646
59.995,406,1599.99332,1403.03965,107,76.65167,203066
60.02,461,1627.18457,1553.31891,131,68.90833,231086
59.994,473,1691.71063,1603.16633,92,76.275,236974
59.992,423,1663.30834,1598.83847,149,111.54,211713
60.003,442,1644.98692,1501.65228,122,63.14833,220967
59.997,462,1631.05063,1450.91422,127,71.30833,231129
59.996,446,1660.42388,1416.64452,109,71.24833,222633
59.996,506,1632.60481,1418.60914,112,73.235,253784
60.018,431,1623.99866,1499.46098,103,53.82333,215227
60.003,472,1678.68215,1493.04021,116,60.61,236689
59.999,445,1671.46044,1407.83994,130,82.35667,222173
59.994,450,1624.53668,1498.78871,114,91.66667,225046
60,429,1649.72049,1488.09411,132,88.65833,214815
59.993,477,1659.57733,1566.10073,118,87.28667,238739
59.999,468,1659.47972,1592.58615,117,58.975,233445
59.992,434,1642.44361,1471.99057,114,77.04667,217284
59.996,465,1640.83973,1565.22673,98,62.955,232628
59.995,459,1624.4212,1554.69565,124,66.845,228994
59.997,423,1617.60629,1441.19715,132,79.9,211223
59.99,463,1636.9954,1568.1331,97,74.09167,231608
59.992,475,1627.17813,1528.59047,110,66.06167,238166
60.004,462,1702.14276,1574.27862,124,81.555,231199
59.994,423,1625.26668,1528.44419,127,57.99167,211607
59.996,412,1657.6744,1556.95589,127,81.335,207302
60,454,1646.63957,1572.62837,125,66.72,227379
60,437,1627.25338,1524.58042,159,100.16833,219205
59.999,486,1699.11856,1590.82313,118,67.88333,242785
60.001,472,1644.35246,1537.09431,124,76.05167,236140
59.996,427,1623.73876,1557.40131,129,69.49667,213084
59.998,526,1635.17426,1562.70691,121,76.54333,262858
60.003,485,1654.54769,1485.90824,126,90.90667,242463
59.996,474,1646.58712,1478.90082,143,65.01667,237820
60.004,501,1654.53231,1548.79828,138,96.565,250369
60.021,478,1630.9013,1559.59906,99,79.09333,239925
60.001,421,1621.1152,1372.75951,118,95.16667,210706
59.999,451,1637.17903,1490.36589,116,52.65333,224900
59.993,516,1677.24695,1589.99037,116,63.25833,258230
59.994,511,1663.95478,1483.25857,117,85.05667,255483
59.99,446,1644.71993,1537.29963,145,86.62167,223472
59.998,500,1652.14357,1608.65943,108,75.835,250085
59.998,440,1653.14931,1599.54349,141,79.6,219856
59.998,467,1683.29997,1476.20285,128,88.78,234169
60.006,488,1668.86103,1496.19421,141,73.005,244108
59.991,442,1656.14101,1536.89157,150,100.79167,221012
60.003,427,1599.99574,1312.48557,138,94.155,213488
60,484,1634.58459,1558.50783,115,61.53333,241145
59.992,432,1617.74753,1532.36176,150,77.25333,216217
59.992,473,1636.5783,1495.52598,89,58.42833,237070
59.996,465,1669.10215,1581.87854,122,57.24667,233076
59.996,487,1650.84343,1514.84596,115,60.285,243708
60.003,456,1635.86435,1501.45951,131,81.81833,228044
59.994,452,1622.54221,1519.80271,129,48.985,225811
60,436,1619.39291,1556.30874,156,75.98667,218807
59.995,445,1633.66596,1605.51057,129,71.77667,222534
59.993,450,1675.32484,1471.01465,117,81.70333,226430
60.002,464,1681.59984,1556.6535,113,80.495,232385
59.99,419,1622.16609,1258.54804,160,130.19667,209283
59.99,472,1640.26762,1504.8328,110,60.305,237618
59.997,485,1637.37215,1575.54878,105,71.37,242333
59.994,501,1647.19039,1432.15536,131,108.76333,250458
59.991,488,1643.89563,1521.34123,121,69.98667,244257
60.004,447,1658.64889,1463.09044,118,78.58833,224178
60.004,496,1653.81517,1604.56198,84,53.90667,248669
59.997,453,1649.19999,1533.04777,108,71.75833,226985
59.994,455,1651.96114,1541.9918,142,61.46667,226714
59.99,519,1633.31434,1590.95192,110,42.98,259715
60.017,428,1640.96487,1544.61469,126,74.64833,214652
59.99,470,1623.45054,1568.60822,114,71.35333,235018
59.999,538,1639.06442,1533.34951,115,72.84667,269162
59.997,456,1632.17745,1567.55855,122,61.71333,227687
60.001,483,1649.15092,1532.76979,100,83.63667,241252
59.996,428,1599.99202,1400.77605,108,83.06167,214311
60.012,459,1621.83241,1565.45338,119,58.05667,229203
60.002,444,1627.0439,1524.74603,119,91.875,222057
60.005,508,1634.73455,1564.97929,94,53.44333,254049
59.998,470,1673.93086,1525.42858,124,103.25167,234750
60.001,448,1664.20702,1507.16338,126,74.92,224018
60.003,438,1649.11961,1408.08737,140,94.28,219543
60.001,441,1625.7665,1498.31205,110,87.00833,221181
59.999,448,1614.0865,1433.83136,165,80.95333,223366
59.995,430,1700.96364,1518.17021,125,76.59667,214580
59.994,448,1654.38497,1514.88786,132,97.06833,223843
59.99,443,1619.31564,1574.77468,139,68.68667,221757
59.994,451,1692.43505,1443.44158,137,93.8,225608
60.003,430,1636.89416,1465.22529,172,84.09333,215063
59.993,445,1658.66994,1577.22996,113,62.11167,222690
59.992,444,1653.15131,1550.0452,148,102.085,221449
60.005,476,1650.95504,1542.72879,142,65.15833,238025
59.993,477,1640.06394,1472.38146,101,64.47167,237729
59.997,427,1622.75448,1522.04691,133,81.73,214146
59.992,441,1635.23104,1462.7849,136,73.13167,220742
60,440,1643.28653,1576.75164,105,62.08333,220087
59.994,416,1620.6889,1509.12028,139,93.10667,208333
60.001,482,1673.42142,1586.47691,137,61.78333,241609
60,514,1693.27282,1530.71581,112,95.07333,257194
59.997,449,1623.84156,1567.66495,148,53.17,224222
60.004,459,1646.94249,1473.64665,127,86.84833,229333
59.998,472,1650.32196,1595.56996,116,69.95833,235997
60.002,432,1620.91184,1464.23179,108,74.44333,215228
59.99,474,1655.91876,1512.39926,125,57.15167,237036
60,496,1631.27995,1551.44979,120,66.85833,247323
59.992,491,1667.6139,1585.70027,109,66.595,245354
59.999,483,1682.04314,1544.26233,115,78.26167,242527
60.001,450,1616.12448,1553.74082,120,64.21667,225006
59.994,434,1607.49437,1550.15215,111,74.06,216413
60.002,512,1685.90815,1558.75669,100,79.255,257002
59.997,480,1644.52141,1537.92298,120,67.50833,239897
59.998,467,1626.92448,1588.06014,118,68.615,233135
59.994,461,1619.91952,1530.65459,137,76.57833,230768
60.001,446,1649.12052,1456.75115,128,83.19667,223850
59.998,453,1633.42767,1528.61165,108,81.24333,226653
59.997,428,1622.58965,1563.77555,107,63.04167,214498
60.002,472,1673.1694,1572.29934,140,75.85667,236629
59.998,473,1661.95688,1525.26804,112,73,236636
59.99,450,1617.28221,1395.939,158,68.13333,224482
60,473,1659.43785,1611.07041,109,88.87,237231
60.001,448,1630.34883,1486.81197,118,66.41,224397
59.991,430,1635.66146,1471.98849,117,62.58333,214956
