secs,gens,bestfitness,meanfitness,maxcomplexity,meancomplexity,evalcount
59.99,505,1656.36703,1602.32466,116,93.295,253046
59.99,493,1610.49551,1556.02734,123,67.10333,245842
59.99,451,1630.26365,1320.18282,175,114.51,225251
59.99,506,1620.39928,1568.73899,117,64.06333,253361
59.99,471,1627.42789,1478.19548,148,92.61833,235275
59.99,428,1638.18377,1409.59214,125,87.77333,213893
59.99,464,1599.99408,1421.54422,121,63.64833,232004
60.006,464,1621.64815,1380.9672,153,97.34833,231173
59.99,470,1660.11379,1315.93599,124,100.715,235025
59.99,481,1609.08451,1272.82859,118,70.8,240129
59.99,473,1640.40218,1430.84509,99,72.565,236880
59.99,513,1609.86169,1591.46922,98,65.89167,256246
59.99,494,1619.34205,1501.75166,137,54.72,246207
59.99,503,1627.41792,1368.6551,116,81.42,251659
59.99,488,1622.76751,1570.02593,117,64.91833,244523
59.99,475,1623.56093,1511.43148,113,93.83333,237193
59.99,521,1645.46315,1475.01587,99,56.76833,259989
59.99,510,1706.01391,1489.84971,154,72.01167,255216
59.99,521,1634.10284,1520.81235,116,67.32167,259696
59.99,514,1599.99105,1297.44865,110,82.65,256162
59.99,505,1659.99477,1377.13366,134,70.50333,252166
59.99,493,1599.99699,1476.55923,95,50.94,246149
59.99,459,1599.99611,1377.53801,136,90.45,229402
59.99,443,1624.51354,1338.64793,129,82.62667,221288
59.99,513,1632.39789,1492.89632,129,91.64167,256449
59.99,458,1630.45842,1562.13327,135,102.38,228977
59.99,528,1627.01096,1461.29332,137,78.50167,263814
59.99,476,1599.9964,1357.65508,126,74,238221
59.99,504,1648.28584,1443.98809,102,73.05667,252299
59.99,464,1619.3785,1575.93366,116,65.29,232472
59.99,482,1676.36055,1551.84927,132,72.51,240055
59.99,495,1599.97794,1279.61926,119,70.125,247853
59.99,504,1607.62421,1375.46794,121,88.58333,251303
59.99,424,1612.6843,1403.00255,157,114.79667,212402
59.99,501,1644.66661,1414.65217,145,79.07833,251771
59.99,518,1670.74725,1465.5404,121,60.62,261121
59.99,490,1599.99533,1309.31874,134,78.71,245014
59.99,496,1662.24072,1563.09274,109,71.02,247858
59.997,494,1617.83622,1581.5704,155,104.38333,246424
59.993,509,1658.40566,1482.17918,96,57.61,255273
59.99,470,1653.50418,1391.979,129,94.54833,235160
59.99,519,1627.44291,1602.26929,116,55.19667,259968
59.99,529,1650.81495,1377.43772,105,93.04833,264583
59.99,493,1628.95546,1590.44721,118,94.17167,246103
59.99,466,1599.98524,1317.63203,136,85.06,232939
59.99,538,1642.87679,1599.21237,124,72.05833,268805
59.99,487,1628.78226,1552.28994,125,80.94,243504
59.99,498,1609.35932,1531.25452,110,61.14667,248884
59.991,466,1654.64788,1556.98298,120,62.63667,234150
59.99,533,1667.91605,1520.12272,115,78.03833,266140
59.99,560,1633.63087,1306.29346,131,92.39667,281027
59.999,517,1616.95324,1345.93587,99,61.21167,257843
59.99,483,1655.85156,1411.90024,106,70.30833,241386
59.99,455,1614.14233,1355.97623,129,95.95667,227880
59.99,503,1690.87099,1372.35143,134,78.05167,252241
59.99,459,1606.83811,1546.3926,131,110.48667,229121
59.99,486,1628.06084,1403.70154,114,98.89333,242552
59.99,487,1605.45956,1432.64684,130,76.655,243828
59.99,468,1635.28577,1419.51004,138,98.14833,234180
59.99,468,1658.28139,1610.22351,108,71.25167,234556
59.99,460,1611.51815,1568.33787,123,92.91667,229243
59.99,456,1618.43115,1482.86612,144,75.02667,228704
59.99,423,1665.33768,1528.75072,136,112.09167,211228
59.99,475,1630.98279,1530.11129,110,49.91667,236540
59.994,464,1643.03188,1368.75907,143,110.24333,231920
59.99,510,1633.71885,1527.78019,107,71.55333,253925
59.99,464,1626.53568,1374.29766,135,85.52667,232279
59.99,459,1632.4593,1472.34422,123,84.00333,230069
59.99,491,1627.77208,1566.36625,114,64.49333,245383
59.99,476,1627.23834,1528.42704,141,87.72,237252
60.008,497,1672.67201,1480.93991,121,80.64,249142
60.013,499,1633.37978,1518.07031,135,70.10667,250516
59.99,466,1648.90958,1563.08026,116,63.295,233500
59.99,447,1617.59986,1491.65224,122,100.005,222779
59.99,624,1654.74238,1570.28222,113,69.4,311903
59.992,515,1647.31253,1507.96325,129,87.83833,258117
59.99,487,1618.2745,1523.46878,122,99.94667,244051
59.99,463,1620.03726,1407.33543,122,89.46167,231910
59.99,509,1664.47086,1594.62214,103,51.61667,254038
59.99,426,1664.10889,1598.8049,145,82.49833,213166
59.99,567,1602.14233,1404.8917,160,71.48167,283213
59.99,468,1636.09328,1521.87381,133,54.61333,234224
59.99,449,1618.25698,1535.71311,122,64.485,224318
59.99,465,1623.8957,1351.63153,148,106.03167,232046
59.99,503,1667.59886,1432.67893,139,101.35167,251988
59.99,528,1625.21289,1578.21736,106,68.65667,263837
59.99,456,1624.15582,1517.4357,136,90.95833,228126
59.99,433,1631.40941,1526.01331,148,98.20167,216946
59.99,502,1651.98618,1486.52497,140,56.64,251059
59.99,485,1629.61253,1493.26164,105,72.67,242290
59.99,489,1607.95275,1487.35007,120,59.49167,243747
59.99,481,1628.75634,1486.9449,139,125.08,239847
59.99,520,1630.03431,1495.41365,115,54.25167,260271
59.99,554,1654.16423,1445.57086,135,80.69833,276911
59.99,515,1648.12072,1523.61974,117,58.075,257500
59.99,471,1623.34145,1484.4438,159,65.86833,235482
59.996,517,1669.60118,1454.16774,109,68.17833,258674
59.995,483,1629.17872,1385.32398,95,65.665,241022
59.99,483,1658.96541,1560.23988,131,75.16333,242586
59.99,529,1624.42061,1382.01053,135,75.405,263969
59.999,435,1617.33924,1506.66143,136,55.46667,217103
60.007,496,1599.99703,1424.49954,100,66.79167,247920
59.99,457,1622.74572,1515.92877,132,86.04833,228150
59.99,493,1618.10007,1525.88018,111,56.24,246031
59.99,461,1620.20418,1383.51367,140,103.595,229577
59.99,427,1621.75751,1579.92969,151,99.68167,212892
59.99,403,1628.26133,1586.87188,144,73.62167,202016
59.99,513,1671.22236,1507.9303,137,77.89,256476
59.99,489,1616.28353,1563.31173,130,107.40667,244588
59.99,433,1640.04107,1366.83354,133,84.73,216316
59.99,502,1643.77506,1452.53978,123,76.14833,251669
59.99,481,1641.26762,1541.54244,133,85.935,241397
59.99,479,1621.60429,1405.53144,143,70.65,239233
59.99,525,1639.41259,1489.47731,94,51.51333,261229
59.99,488,1615.66794,1448.89833,121,63.37667,243317
59.99,537,1633.47071,1485.69695,137,90.74,268502
59.99,462,1638.25284,1472.78316,124,86.52667,231259
59.99,508,1640.4386,1532.53005,148,66.05,254138
59.99,476,1621.92164,1319.27246,125,79.125,238114
59.992,453,1599.98981,1343.77418,135,96.90667,226085
59.99,506,1631.77363,1578.93141,81,43.19667,252722
59.995,494,1668.21424,1554.34149,119,58.92833,247010
59.99,496,1610.09126,1436.79236,122,82.615,247983
59.99,525,1628.2927,1574.02761,120,56.14,261775
59.99,494,1615.7707,1440.72309,130,71.78333,246145
59.99,457,1632.90787,1548.32099,130,66.68167,228277
59.999,458,1632.48252,1346.367,125,92.79333,229884
59.99,464,1672.62159,1447.46969,130,67.18167,232604
59.99,481,1618.92867,1481.63459,124,96.78167,240061
59.99,494,1650.09528,1540.04706,106,53.08833,246777
59.99,521,1599.99551,1347.5314,146,90.38333,260361
59.99,557,1617.22234,1503.54195,116,60.275,278221
59.99,507,1650.17752,1575.56757,110,89.73,253861
59.99,504,1664.2215,1501.93682,144,110.69667,252459
59.99,504,1625.41776,1582.92052,129,66.40167,251936
59.99,477,1621.3119,1322.11405,139,89.94833,237261
59.99,519,1647.08437,1446.22134,86,71.09,258935
59.992,491,1599.99221,1324.81166,121,77.00167,245411
59.99,492,1651.98422,1541.07901,126,67.65833,245362
59.997,456,1619.61194,1587.06641,129,77.895,228141
60,476,1626.82154,1494.73693,132,94.53167,237409
59.99,561,1599.99667,1370.70796,108,82.96833,280064
59.99,547,1617.34245,1361.44645,130,67.865,273646
59.99,472,1621.09238,1360.60024,114,73.96667,236001
59.994,467,1620.59572,1339.59381,163,71.11833,233714
59.99,497,1639.95586,1582.78751,136,79.59333,248185
60.004,516,1672.37781,1503.80343,135,72.11167,258159
59.99,524,1632.40878,1478.25208,115,45.63667,261666
59.99,480,1599.98946,1383.86001,109,31.175,239583
59.99,517,1634.4379,1592.75229,105,76.05833,257729
59.99,505,1625.83447,1348.26928,125,89.74333,252464
59.99,472,1630.77776,1338.65187,116,75.10167,236495
59.99,478,1605.27449,1461.81097,131,55.6,238868
59.99,474,1623.84409,1534.52659,140,80.86667,236966
59.99,466,1620.33254,1513.0855,108,81.68333,233261
59.99,472,1609.91103,1321.99257,129,82.47167,235047
59.99,505,1635.50519,1409.1614,123,96.23167,252339
