secs,gens,bestfitness,meanfitness,maxcomplexity,meancomplexity,evalcount
59.99,433,1622.29149,1563.53581,118,80.615,216724
59.998,457,1637.21699,1357.64617,116,57.24167,228858
59.997,463,1651.74009,1477.64703,109,73.29833,232372
59.998,479,1627.59377,1546.56564,116,63.45833,239639
59.997,437,1610.98469,1533.13903,127,98.66833,218404
59.997,504,1680.30336,1511.99079,129,63.455,252210
59.994,457,1664.19143,1302.35763,131,66.48,228701
59.995,488,1611.53214,1588.1011,116,50.875,244246
60.001,510,1644.0909,1600.56996,113,89.85667,255263
60.004,411,1624.2668,1570.71374,104,53.98333,205331
60.001,480,1618.9013,1547.05283,128,87.92667,240131
59.997,461,1635.22969,1415.58244,106,70.105,231007
60.004,476,1599.62716,1211.8877,145,97.41167,237439
59.992,467,1653.96541,1496.14962,140,79.49833,232909
60.004,474,1617.01887,1549.74293,129,61.25,236390
60.009,445,1606.50307,1437.06745,121,55.16333,222514
59.995,489,1650.69028,1542.46752,130,89.15833,244318
59.997,417,1644.72767,1398.91663,133,62.015,209358
59.999,404,1644.75537,1577.5352,137,75.325,202446
60.002,469,1640.15945,1371.0471,125,86.45333,234625
60.001,444,1635.29359,1396.91209,138,64.065,222765
59.991,482,1632.73613,1553.60217,125,68.87333,240948
59.995,526,1632.42334,1453.883,107,57.215,263649
59.992,483,1638.35046,1468.31756,127,96.31333,241253
60.001,459,1609.59822,1450.30326,120,61.54333,229495
59.992,451,1626.87526,1298.69981,153,114.87667,225904
60.006,434,1618.53566,1508.64933,115,85.12833,216962
59.999,463,1652.13372,1571.40931,111,69.29167,232039
59.992,502,1616.15655,1376.4791,123,79.29333,250391
60.002,473,1656.38942,1510.47035,109,73.59667,237420
59.994,483,1700.50007,1462.54169,116,104.27333,241228
59.996,448,1644.75021,1540.58604,161,96.79167,223591
60.004,499,1651.56721,1606.17113,125,80.16833,249556
59.996,461,1627.87587,1579.82789,129,89.105,230824
60.025,440,1604.77942,1544.39143,133,81.855,220319
