secs,gens,bestfitness,meanfitness,maxcomplexity,meancomplexity,evalcount
59.996,1141,178.64008,88.53154,126,51.07667,569886
59.99,1233,146.88454,68.71386,106,33.58167,618372
60.019,1095,47.0183,40.54178,125,42.10333,546290
59.99,1172,769.41249,689.73558,84,64.775,589397
59.992,1213,840.06403,705.3257,97,66.36,611306
59.99,1077,49.52763,41.3026,133,71.41167,537495
59.998,1103,54.40366,41.52248,116,54.79,550696
59.99,1116,65.68306,41.5963,140,80.16167,557154
60.002,1087,187.48728,112.19784,138,65.02833,542931
59.99,1110,98.45907,58.55729,128,74.03667,554504
60.002,1118,47.18165,41.28034,124,65.41333,559048
59.992,1133,278.62211,217.49389,98,61.59333,567633
60.012,1539,331.15803,175.11351,54,36.88833,772478
59.994,1200,116.56217,50.50344,149,89.10167,601423
59.997,1199,411.93008,364.43852,96,58.83167,600699
59.996,1165,706.58204,560.04108,47,40.29333,581471
60.011,1270,404.48094,286.79835,116,80.14333,639096
59.994,1187,110.98044,55.32353,154,96.245,592662
59.99,1001,49.70129,41.60731,152,92.13167,499755
60.005,1228,126.2661,64.0799,130,64.03,612967
60,1065,90.35021,53.30075,108,61.82333,532020
59.99,1069,47.66626,38.91736,127,55.78833,534237
60.004,1162,704.74608,553.45036,110,78.78333,583942
60.004,1221,151.25004,99.88252,109,27.28,612445
60,1223,65.16736,45.19251,86,62.665,610742
59.999,1047,77.06963,44.23994,94,64.265,521320
59.997,1406,929.48501,779.61607,113,71.94333,703792
60.002,1172,210.164,53.71815,94,80.995,584153
59.995,1261,418.18141,348.82012,109,77.04167,634303
59.997,1157,53.60338,42.77959,113,62.96167,577424
59.994,1075,92.09645,48.31402,106,67.12333,537321
60.013,1239,48.09757,39.66486,121,72.945,617145
60.013,1163,47.64219,40.32346,137,92.11333,580417
59.993,1471,262.10509,212.85607,107,57.55833,736094
59.996,1137,159.56593,100.11597,152,111.24167,566398
59.998,1267,531.89273,424.29643,92,71.51167,635720
60,1146,391.08077,302.29134,140,85.26833,577121
60.018,1037,74.79931,46.02992,113,72.08667,516283
59.997,1576,463.56711,416.03239,98,71.95333,790804
59.998,978,102.65006,57.91073,147,71.97333,489157
59.994,1047,71.76517,44.83387,127,104.80333,520459
59.999,1455,904.17102,717.79028,121,105.76,732941
60.001,982,72.40532,45.51189,127,95.88667,490755
59.996,1255,113.99867,60.8557,118,76.91667,626482
59.997,1123,457.16259,315.48043,113,74.475,564084
60.014,1059,47.20419,40.51829,135,93.12,528833
59.992,1216,374.84748,317.58573,99,78.08,610943
60,1285,381.86565,308.85109,96,51.885,643314
59.993,1211,230.4544,134.88288,123,66.41167,609023
59.991,1037,46.17958,40.6099,98,68.78167,516980
59.992,1304,131.60319,58.23982,88,51.45333,651627
59.995,1077,135.57073,56.55252,118,77.50167,540042
59.997,1037,785.55674,703.5232,120,69.04167,520140
60.002,1335,315.15716,234.96261,127,64.665,672075
59.99,1121,98.66183,46.03125,153,89.65667,559197
59.996,1044,78.60572,45.87754,85,51.23167,520972
59.993,1190,140.77465,57.26028,115,39.69167,594826
59.998,1394,435.14485,341.51113,123,58.26833,705976
60.001,1389,295.62807,251.98539,99,63.90833,700530
60.001,1153,46.08879,43.7966,93,46.71667,574670
60.009,1132,121.58691,56.67247,128,82.485,565214
59.99,1361,949.75509,793.11628,107,68.065,686946
59.997,1237,192.78124,65.35343,68,44.41,618053
59.991,1102,47.0918,42.92144,89,76.20333,550084
59.997,1278,152.92794,50.02322,98,79.06833,638601
59.996,1115,357.18079,289.82243,136,71.90667,554639
59.99,1163,52.22216,38.43409,118,78.7,581003
60.002,1532,329.75744,254.168,77,56.145,767080
60.007,1044,52.88947,43.52923,91,43.98833,521184
60.01,983,70.07292,42.63273,146,99.68,488809
59.991,1136,48.01535,36.22429,101,74.15667,568264
59.992,1105,54.0593,42.18376,147,88.99167,552479
59.995,1198,647.31873,444.0296,124,54.69333,599504
59.999,1062,61.42081,45.62,118,85.05667,530095
60.002,948,155.36343,56.53383,143,104.94833,471663
60.009,1335,227.28611,77.39393,101,53.84667,665171
60,1094,115.5229,48.77332,125,72.07167,545839
59.99,1087,170.42681,101.61305,88,39.07167,539841
60,1335,830.15907,702.85787,71,48.33667,672894
59.991,1094,172.00617,119.82809,91,42.95,546124
60.004,1096,737.76705,568.90281,98,51.43667,549289
59.991,1182,94.27698,44.67345,98,63.32,591086
59.997,1187,841.48011,638.74059,110,72.14833,598385
60.001,1136,150.75085,113.40028,105,74.63167,568249
59.996,1022,97.36849,67.92158,120,75.47833,509476
59.995,1120,124.37192,48.54617,130,71.16167,559330
60,1130,707.55795,449.97974,92,82.07833,567260
60.003,1037,116.53384,47.80986,107,79.87833,517932
59.996,1161,375.21275,291.13576,113,88.025,584516
60.014,1176,47.80377,40.65368,134,38.65833,587941
59.994,1149,49.34077,42.23647,134,91.51333,575302
59.998,1041,379.44966,262.05271,100,66.04833,520997
59.995,1024,50.73087,41.67576,140,99.18,510919
60.016,1518,242.50733,132.81542,63,32.355,761769
60.002,1179,217.23193,174.39883,94,70.195,591609
60.002,1238,600.07401,411.11182,100,85.48167,621137
60,1385,362.84388,272.03709,106,74.09167,697996
59.99,1146,47.49197,41.27772,78,60.49167,571846
59.996,1186,97.52912,46.18894,122,79.40667,592359
60.01,1299,376.58714,288.6852,174,54.77833,651644
59.996,1183,47.98193,42.03685,131,69.79,590656
60,1202,153.11442,97.03759,103,56.565,600088
59.997,1144,190.2947,58.62182,91,64.02167,573181
59.996,1107,537.68309,386.26379,158,61.33,556572
60.007,1433,588.93054,530.19476,69,56.08,719022
