secs,gens,bestfitness,meanfitness,maxcomplexity,meancomplexity,evalcount
59.997,1083,85.12735,49.69882,124,78.955,538165
60.001,1030,123.10582,73.71256,159,92.76167,512305
60.018,1232,102.71537,39.91317,132,72.80667,613908
60.022,1154,78.55449,40.67683,127,94.88167,574254
59.998,1199,88.68474,50.67863,125,66.835,597224
60.016,1155,49.9493,42.70504,130,60.64833,575759
59.994,1167,85.85367,60.4225,118,83.75167,581507
60.005,1153,51.50642,38.06113,89,58.44167,574511
60.001,1120,109.36712,49.18107,104,48.72,558538
60.001,1105,95.86425,44.30016,113,79.97167,548931
60.01,1130,50.05295,43.30778,138,86.94833,561912
59.993,1111,45.98335,42.51282,116,56.015,553753
59.992,1219,132.84225,48.72746,138,72.465,607280
60.003,1198,107.48508,43.58443,128,89.54667,597441
59.999,1174,88.76353,42.57136,123,66.47167,587341
60.001,1131,135.7855,104.44557,116,65.46833,564042
60.001,1133,105.7167,46.76967,121,64.19833,565954
59.99,1079,55.89305,44.34748,132,93.035,537287
59.999,1138,219.49306,109.69269,105,55.93667,566070
60.006,1360,723.14768,651.65488,85,43.12167,678094
60,1121,51.99733,43.10692,129,96.39333,557723
60.011,1228,372.59271,236.94434,117,95.635,615888
60.002,1276,138.06834,65.32307,101,73.91833,636532
60.006,1096,53.36271,43.08631,116,92.16333,545521
60.024,1087,44.42825,41.95325,107,72.55833,540491
59.999,1094,58.18637,41.83902,147,81.55667,547668
59.996,1272,47.16629,41.2043,105,80.51333,633477
60.001,1179,51.21369,42.22498,105,59.71667,588051
60,1223,47.08585,34.57145,131,88.83167,608495
59.993,1040,79.68416,54.1649,111,73.79,518670
60.001,1100,75.68012,43.72782,144,82.53,546098
60.002,1144,55.19109,42.7149,116,72.74833,568422
60.002,1063,59.17002,44.20828,142,83.96667,530412
60,1211,82.79354,53.90768,113,72.675,603262
59.99,1119,90.46124,68.59492,129,73.02667,557097
59.992,1134,363.27137,281.5473,120,82.58167,566835
60.004,1145,65.6239,40.34417,119,73.17167,571105
59.998,1125,291.92469,232.32092,113,80.42667,561402
60.002,1183,58.72421,42.48349,127,102.49333,587931
59.994,1135,95.85734,51.98938,119,82.28333,567032
60.008,1349,77.25712,52.83477,112,55.66,671020
60,1292,655.52041,523.92126,101,71.55833,647172
59.994,1114,192.38206,148.97513,139,93.15667,554047
59.99,1236,47.45677,41.51254,99,52.08167,614902
59.992,1140,64.63681,42.57549,141,92.26667,567054
59.997,1126,190.25554,139.46946,120,76.61167,561623
59.998,1232,46.86137,41.54102,126,85.71167,612625
59.99,1227,143.5996,80.25821,96,49.375,611459
59.995,1132,46.30249,42.38546,109,74.42667,564022
60.007,1140,47.20405,41.308,120,64.86167,567191
59.991,1180,74.5264,44.08609,127,49.14667,588889
59.992,1138,171.69278,72.32756,150,81.05833,570431
59.999,1238,402.67804,195.28555,80,34.81333,618097
59.996,1158,92.5233,48.68815,132,66.36,578061
59.998,1220,81.93874,40.45905,93,68.935,607046
60,1218,73.53472,41.33471,92,59.73333,606360
59.99,1122,45.2913,41.48715,125,103.17,558257
59.99,1084,68.71269,47.02518,130,94.52667,539322
60.009,1133,73.56505,43.61799,123,60.88167,566381
59.994,1220,50.87593,43.23739,110,60.125,607836
59.998,1186,134.55238,77.30839,97,45.27667,592835
59.99,1348,193.17522,61.20643,76,30.94667,669981
59.991,1046,101.40581,45.41006,119,95.99,521946
60.002,1189,85.92511,51.31582,131,83.765,590547
59.995,1127,103.13086,58.74208,117,49.27167,562087
59.999,1103,72.36832,49.28898,122,51.15833,551005
60.002,1088,97.33937,50.78452,136,97.70833,541147
59.993,1187,92.48302,53.60777,111,48.21,591285
60.001,1045,62.61687,43.22395,137,77.595,521574
59.998,1174,178.40261,84.13738,128,59.24,585389
60,1145,54.60643,44.77088,125,75.12833,572180
59.998,1294,87.38839,46.12588,119,70.60833,643918
59.996,1120,138.29854,61.94768,126,63.12167,560734
