secs,gens,bestfitness,meanfitness,maxcomplexity,meancomplexity,evalcount
59.993,1014,196.9262,86.83113,137,84.95833,507615
59.991,1234,441.22407,385.5943,109,75.285,621001
60,1358,363.07237,169.23109,115,61.07833,684924
59.994,1196,297.86947,182.57635,109,92.47333,595430
60.007,1096,124.2025,48.8918,112,83.55833,547581
60.013,1264,57.13121,39.63555,88,57.365,629416
60.006,1107,45.43215,36.11915,121,52.62333,551766
59.992,1234,109.65388,64.23939,105,67.125,616680
60,1190,47.13041,42.02209,108,69.01,593001
59.996,1139,64.02799,43.21464,117,96.595,567850
60.012,1117,410.74666,314.19432,107,78.20667,559656
59.99,1198,46.83006,41.14033,141,97.405,595447
60,1103,54.24251,44.24695,126,102.92333,549743
59.991,1176,97.445,52.7096,112,82.00667,586390
59.996,1027,96.57605,51.24866,121,96.33,511950
59.997,1095,111.07789,53.68266,130,95.885,544769
59.998,1152,93.51604,51.6049,90,50.21333,575791
59.994,1266,82.94955,42.24944,116,57.30667,632151
59.993,1136,90.72479,50.98709,141,86.58,568463
60.007,1255,226.35608,135.05616,107,59.72667,626626
60.004,1045,129.14495,109.88881,121,93.18667,523167
59.994,1141,49.29808,42.13011,128,87.355,567716
59.99,1309,140.50061,47.31477,103,45.03333,653643
59.992,1230,112.57124,39.01485,119,83.62333,615767
59.996,1177,53.19999,40.24642,131,109.84667,587899
59.992,1219,74.40442,51.43162,110,60.17167,606861
59.995,1339,200.40443,93.18961,101,16.99667,673774
60.025,1220,292.61582,172.79415,116,63.07833,613144
59.998,1218,85.81709,62.82336,78,47.74167,606218
59.994,1018,57.36974,39.00984,169,87.66333,510125
59.995,1363,193.63609,55.39473,71,49.08,686987
60.02,1173,296.86584,183.72331,99,53.905,584741
59.99,1218,149.56176,69.53935,112,65.82,609754
60,1275,75.06027,57.07846,134,73.02833,635642
59.99,1220,145.51591,84.96366,92,46.775,607475
60.013,1072,75.77276,43.95387,110,68.04,534964
60,1064,204.38388,74.78677,131,95.43667,532601
60.003,1431,265.34937,226.39723,116,75.76667,720737
60.004,1126,104.47947,53.82818,128,98.9,563657
60.001,1076,397.04212,326.03468,104,80.41333,539254
59.99,1098,166.89261,48.69701,118,93.96667,551007
59.999,1105,47.95713,37.32901,121,63.47167,553999
59.99,1167,181.90935,108.32346,105,53.20667,582196
60.003,1448,785.9891,698.995,65,55.17167,724081
60.01,1234,202.43519,107.88203,121,79.53333,620839
60,1149,312.88991,252.24237,120,56.69167,575757
60.003,1257,58.45492,44.05619,103,54.23333,626488
59.992,1101,129.32301,51.04253,108,77.94167,549372
60.002,1280,231.53044,160.32421,90,60.26833,643669
60.003,1261,295.93722,218.44493,141,64.99333,631286
59.995,1126,67.10428,44.01692,138,89.01833,562131
59.998,1098,99.74605,52.20676,127,85.54833,548184
60,1196,284.88839,255.65796,112,95.62833,599200
59.999,1331,56.39563,42.31569,69,38.09333,665132
59.998,1276,81.95845,50.72752,130,56.53833,637852
60,1311,77.01127,48.41906,112,59.15167,653495
59.999,1141,94.54683,52.23313,105,74.62667,569281
60,1210,46.86103,42.01251,87,40.71,603238
60.001,1244,78.60993,53.84177,121,76.56667,618190
59.998,1141,48.47159,41.3459,134,75.12667,569977
59.992,1271,831.60502,645.386,91,76.69333,640439
59.99,1130,175.56851,110.21183,84,46.485,562290
60.001,1088,81.33342,44.3716,131,64.44167,544447
59.999,1162,119.20432,50.06572,120,72.74167,580076
60.016,1074,188.26336,124.3617,154,94.94,539801
59.993,1159,222.50963,93.0098,66,53.74167,578680
60.006,1042,147.37778,104.22577,119,79.23667,522307
59.995,1115,55.48057,41.37755,156,90.64667,556180
60.004,1202,184.25966,147.10611,81,62.32,600630
59.99,1150,54.29703,44.72015,104,75.66333,573313
60.019,1273,60.09946,46.9686,131,70.12167,636006
59.997,1185,126.60331,69.88926,119,44.75833,591319
59.99,1415,349.98247,213.08539,86,40.76833,707190
59.995,1178,319.0675,120.00766,107,56.52,591466
59.992,1110,59.46671,40.22068,123,83.52667,555913
60.003,1239,47.12798,42.65084,103,72.525,615342
59.996,1236,158.63295,102.5692,101,56.46333,617343
60.009,1079,141.56069,105.71638,110,63.21,538737
59.991,1156,80.48207,66.63144,87,53.12333,578048
59.998,1140,48.95269,42.03737,112,63.995,569034
59.999,1366,484.15467,362.48186,114,60.75167,682882
60.004,1218,109.00973,51.11204,114,98.38333,607159
59.997,1224,106.65808,65.87182,119,44.25333,610710
59.997,1091,87.57871,49.01419,123,89.88333,545430
59.991,1347,282.22162,157.10052,72,29.915,675760
60.002,1215,169.18814,111.49242,119,51.15333,604833
59.997,1284,126.86652,43.64846,112,55.54167,640112
59.994,1194,603.6973,526.72648,104,69.87,596447
60.001,1103,64.45251,42.03826,115,95.575,549674
59.999,1215,100.27669,50.86554,105,75.82333,608758
59.992,1144,74.53821,44.70192,96,66.48,570577
59.996,1280,350.84097,221.12624,101,58.45,643256
60.009,1157,71.68508,45.2591,104,69.93667,577197
59.998,1170,533.42071,463.49611,101,52.19,589082
59.998,1078,47.90361,46.24433,114,88.69167,536612
59.991,1152,226.24333,183.61071,167,52.305,576666
60,1078,124.16781,51.99875,120,71.19333,536792
59.991,1159,454.21134,310.12163,116,61.67333,579693
59.995,1422,484.81237,429.53521,88,55.66167,711159
60.002,1446,429.57707,230.06458,105,37.72333,726866
60.004,1071,47.7583,42.17809,121,105.24167,532261
60.025,1254,59.01501,42.95143,132,55.86167,627734
59.997,1101,134.11964,58.48859,125,101.24667,548817
59.991,1192,131.74409,55.55977,62,45.765,594686
60.001,1174,81.52215,56.29338,155,97.95333,586138
59.991,1137,105.93166,44.70488,94,64.485,569652
59.993,1207,107.82411,47.33748,106,75.115,602624
60.002,1278,46.85394,39.12906,105,66.22833,635866
60.001,1164,95.6628,43.8759,127,69.15333,580935
59.991,1359,123.92088,46.53876,82,35.90333,676945
59.992,1189,92.91314,61.14985,89,52.135,591779
59.999,1165,47.5085,42.8132,120,94.43333,581172
59.993,1100,47.07223,40.97126,122,88.70333,548253
60.001,1045,46.07676,43.18228,106,69.03333,520182
59.991,1084,75.44305,43.44062,133,78.70667,541090
59.996,1358,671.57601,590.03865,87,69.51333,679427
59.99,1178,48.56681,37.71069,138,86.30333,586080
59.998,1152,107.42896,46.12515,116,79.72667,574405
60,1311,265.58617,135.39145,98,52.54667,656585
59.998,1199,56.01972,43.44535,128,81,597218
59.994,1213,115.5125,94.83415,104,50.39167,606152
60.002,1239,81.01551,52.30155,100,55.55333,618100
59.996,1386,221.4144,120.96908,85,24.18333,696275
59.998,1128,135.39729,78.89025,113,64.385,564509
59.99,1080,75.12438,45.41694,134,83.28833,538700
59.99,1229,100.69023,48.08419,112,56.62833,614106
60.01,1005,93.99917,78.84964,94,84.12833,501703
59.99,1161,403.35898,320.74895,123,83.395,582523
59.99,1282,67.09523,41.36456,116,83.61167,638692
59.99,1380,514.52651,400.78174,114,85.07,694819
59.99,1182,112.84774,76.95303,126,57.66167,590467
59.99,1344,176.63912,100.26443,111,90.37667,673502
59.99,1258,189.48941,94.64171,78,27.995,628256
59.992,1162,209.78635,138.38084,96,84.94333,581368
59.99,1091,64.59904,44.31266,111,79.55667,544304
59.99,1172,69.31228,45.57354,115,63.59667,584514
59.99,1088,49.69655,42.44397,89,64.08167,541560
59.99,1140,568.00582,355.82662,125,94.54,570851
60.004,1328,237.197,168.70933,101,66.04333,663129
59.99,1144,338.63348,272.66736,96,83.61667,572043
59.99,1301,76.68943,40.41316,108,63.95,648577
59.99,1230,126.49833,54.1573,119,55.765,613197
59.99,1260,136.85661,61.73618,96,43.72833,631235
59.999,1334,60.42403,39.4024,95,68.45667,667178
59.99,1321,103.41141,41.952,79,52.36167,658659
59.99,1210,47.2875,40.10734,129,61.67333,603777
59.993,1345,162.38862,62.33953,104,61.38,670725
59.99,1166,514.67346,333.58423,133,77.675,584774
60.01,1193,282.78256,206.05876,112,80.28667,598113
59.994,1143,165.86129,111.35876,128,53.53167,570778
59.992,1315,59.85369,43.58336,93,54.62333,656382
59.994,1378,257.2036,82.5297,134,82.24833,688779
59.99,1210,307.65835,244.78067,107,83.075,603382
59.99,1342,147.40049,121.44511,114,45.09667,669178
59.99,1357,449.85725,344.53831,81,39.32833,678974
59.99,1197,59.15129,47.28561,108,57.77833,596855
59.993,1177,112.87156,50.81383,121,64.79833,589759
59.99,1237,217.72118,118.96797,114,59.42,620944
59.992,1101,46.39909,42.13004,115,77.51167,548220
59.99,1177,169.48192,100.88141,124,76.97333,589832
59.99,1252,48.12556,40.16006,82,69.54333,624825
59.99,1195,190.99674,51.88576,116,60.08667,595820
59.99,1325,45.17965,33.03577,114,72.89833,661567
60.012,1088,52.97932,43.6802,126,78.05167,543324
59.99,1247,98.54421,46.49156,125,72.24833,623310
59.99,1468,528.46694,314.23653,85,56.26833,738631
59.991,1219,72.84226,45.35747,93,47.31,609522
59.99,1259,122.38126,73.02503,92,62.84833,627531
60.004,1268,111.02085,53.50033,114,66.595,635793
59.99,1421,62.08166,43.16041,93,61.11833,708399
59.99,1227,144.58811,65.46094,121,87.38667,613400
59.993,1254,89.8403,51.84093,102,68.99,626389
59.99,1155,121.7212,71.68323,122,51.26667,577484
59.99,1161,54.11242,44.87456,115,56.735,579419
59.99,1105,51.51967,44.35305,122,70.85667,549354
59.99,1137,46.49799,41.71667,115,64.63,567049
59.99,1416,323.23805,122.7012,84,44.25,705329
60.006,1289,85.85575,52.69696,135,75.74167,644049
59.993,1273,89.572,47.35214,104,74.38333,636116
59.99,1044,264.46615,192.21026,134,79.61667,521070
59.99,1060,46.13228,41.48348,134,62.37333,528632
59.99,1213,110.57037,48.30898,108,61.195,608099
59.99,1253,102.469,52.33083,75,42.175,624059
59.992,1138,119.82179,44.56648,173,111.97,568639
59.99,1158,454.62226,368.40079,128,102.25333,580200
60.001,1298,529.33084,398.5965,105,77.73833,650703
59.992,1113,56.73364,41.52089,108,64.645,556172
60.006,1285,322.14262,273.43676,98,55.04667,640553
59.99,1164,278.24407,199.90095,127,77.98667,583029
59.99,1209,74.49216,42.58565,113,71.61167,603138
59.991,1360,177.99707,121.67156,85,45.33667,679299
60.006,1189,177.23931,83.47837,143,51.33833,594674
59.99,1244,48.98079,43.86376,118,84.02167,619533
59.99,1501,398.88801,180.32161,91,27.35833,754767
59.99,1546,343.20786,184.9221,96,56.19167,771117
59.99,1120,63.0176,42.98111,123,99.76333,557633
59.99,1265,154.48957,61.27438,114,74.10667,634137
59.99,1195,43.60716,37.44665,117,77.325,597068
59.99,1162,110.70061,47.32046,95,76.30167,580621
59.99,1180,133.80911,71.21826,126,68.06333,590508
60.01,1166,109.82985,43.70314,95,63.09333,587659
59.99,1221,179.09143,92.81105,140,49.93333,612144
60.018,1213,54.33601,41.90677,113,62.92833,605166
60.003,1270,119.51054,61.83164,110,73.11667,634746
59.99,1197,147.47567,98.72661,128,74.67833,598125
59.99,1157,69.7746,49.67625,151,54.02833,578163
59.99,1288,153.593,100.31465,104,61.70833,642344
59.991,1490,491.68043,350.12268,102,78.20333,747083
59.99,1098,109.71633,47.09043,113,42.51167,548126
59.99,1207,177.50213,48.84265,131,94.46667,602008
59.991,1288,86.85539,62.08622,95,53.65667,643405
59.99,1119,53.42662,41.98516,107,66.15167,558891
59.99,1105,152.56312,115.39101,103,70.19333,554088
59.99,1123,110.5653,74.83957,103,94.11833,560219
59.99,1228,129.45866,51.76875,94,63.61333,613689
59.99,1136,276.12209,190.37091,115,40.54,568540
59.99,1304,185.75022,139.62034,97,64.31,652656
59.99,1208,107.31115,50.06538,136,68.42667,604352
59.99,1417,314.34763,218.3091,65,37.49833,706638
59.99,1202,47.88013,40.00587,139,72.815,598646
59.99,1176,54.17085,48.82638,126,88.40833,586669
