secs,gens,bestfitness,meanfitness,maxcomplexity,meancomplexity,evalcount
59.993,556,1676.85344,1531.14683,160,94.155,278279
59.99,507,1650.23112,1584.0601,158,91.87333,253278
59.99,582,1677.29792,1463.59624,174,125.755,292430
60.001,592,1665.43096,1512.42125,155,82.83667,296611
59.999,642,1681.53678,1501.10204,168,100.065,321671
60.004,598,1706.2274,1569.03582,145,93.605,299732
59.996,545,1691.60342,1592.06024,143,108.19667,272487
59.997,563,1636.00986,1584.64491,145,62.88,281289
59.999,480,1659.85574,1543.37813,171,104.26667,240299
60.001,640,1659.63632,1360.43054,188,94.24333,319975
59.993,578,1710.35452,1512.82085,128,56.64667,288971
59.996,580,1685.01325,1585.19924,150,93.04667,289800
59.993,654,1667.90641,1531.56784,165,93.51,326580
59.99,542,1667.20977,1514.75879,162,101.16167,271986
59.99,538,1654.17184,1573.96572,152,84.07667,269210
59.99,667,1688.12444,1546.70408,161,96.00833,333155
59.991,564,1683.62742,1496.30084,175,145.04833,282604
59.993,517,1675.94743,1585.08469,145,101.38167,258199
60.003,588,1653.16829,1595.00612,149,83.71833,294184
59.992,550,1646.04718,1446.44284,137,85.61833,274781
59.999,584,1699.45409,1556.04184,144,98.64333,291680
60.001,540,1643.70173,1521.21776,170,103.025,269544
60.001,539,1647.63633,1357.54523,128,94.60333,270150
60.003,644,1729.7354,1637.91593,132,102.39667,321733
59.994,683,1700.39299,1571.6276,158,77.45667,341496
60.003,531,1642.67113,1418.84871,165,102.28333,266283
59.996,581,1675.42886,1594.82481,171,115.18333,290786
60.002,538,1671.64032,1600.56004,169,91.475,269846
60.004,581,1652.60449,1599.42945,128,80.165,291413
59.994,613,1651.64742,1576.06202,160,80.18,306486
59.99,563,1639.95376,1569.25095,139,62.80833,281196
59.99,585,1671.14435,1630.39012,148,97.95333,292547
59.99,517,1649.3835,1547.03993,187,114.465,259183
59.998,561,1690.77832,1543.59688,157,59.24,281391
60.003,515,1641.66219,1583.3744,178,101.36667,259418
59.998,592,1697.54985,1553.70037,157,106.70833,296436
60.003,608,1668.94169,1500.03909,141,102.18333,304812
59.997,626,1699.76398,1456.84748,186,126.64333,313265
60.004,577,1645.17529,1588.83085,138,97.62333,288333
59.99,573,1692.58456,1630.41951,132,96.27333,287468
59.995,592,1657.24227,1537.68434,164,112.73,297180
60.003,539,1657.74876,1535.35439,157,131.97,270244
59.99,560,1686.00353,1590.10609,142,105.55833,280958
59.991,578,1656.94033,1614.94866,150,82.45833,290099
59.995,616,1685.67182,1485.23281,201,100.23,308307
59.99,584,1687.94495,1581.5751,156,88.12167,292173
59.993,607,1686.39137,1520.44664,123,78.60833,303889
59.999,634,1650.22102,1348.38418,151,116.99167,316583
59.994,571,1659.28251,1579.23756,150,87.88333,286198
59.992,615,1683.43265,1431.82713,186,92.75,307937
60.002,617,1697.56008,1501.09332,160,118.795,309093
59.993,637,1648.30987,1498.6807,146,102.57667,319200
59.99,657,1668.11555,1557.96232,92,58.56333,328453
59.99,561,1656.05706,1568.79182,150,71.76,280786
60.002,565,1653.63171,1547.42675,166,70.49333,282679
59.994,557,1636.2664,1541.34479,134,71.215,279698
59.995,565,1664.08607,1481.16355,126,78.88333,282692
60.002,591,1706.46473,1589.14552,129,105.29167,296034
59.99,610,1714.00906,1590.9413,139,79.495,305378
60.001,551,1629.8907,1557.37383,173,91.30833,275626
59.995,556,1659.5623,1538.42186,151,87.415,278008
59.999,607,1670.14355,1559.52099,157,90.57833,303976
59.994,540,1673.86714,1582.69528,168,116.225,270985
59.999,590,1671.74579,1565.40497,176,73.055,295630
59.997,565,1657.63341,1568.60223,170,93.86333,283156
60.002,575,1703.95178,1611.44929,173,81.72833,288134
59.99,680,1693.14887,1602.57286,107,78.60167,341024
59.997,537,1693.49363,1575.81819,182,81.97,268694
59.99,589,1646.83026,1388.1234,153,109.06667,294895
59.998,571,1658.56306,1516.03273,151,100.66667,286022
60.029,611,1710.4118,1577.72507,155,98.17,306079
59.992,619,1689.3458,1645.69885,148,93.675,310084
59.996,523,1671.83761,1598.93537,170,125.20333,261921
60.004,589,1700.04137,1543.16028,170,104.01667,294073
60,605,1683.36131,1606.36854,169,100.02167,303134
59.996,567,1645.03089,1548.43393,147,60.17,283223
59.999,503,1671.80739,1585.19562,159,86.86833,251867
59.99,527,1619.05211,1519.01404,171,112.40333,264423
60,603,1635.67748,1342.21712,176,105.80833,301865
59.996,585,1656.34823,1519.35393,185,96.86,294552
59.998,580,1711.22765,1592.85526,154,91.61167,290515
59.995,590,1628.94587,1478.56725,136,86.13833,295534
59.993,563,1635.07907,1400.15342,136,79.75833,281998
59.997,564,1641.71267,1520.62458,146,114.76,282269
60.003,553,1681.4692,1559.0193,153,82.76333,277051
59.999,567,1700.907,1532.0972,154,51.98,285168
59.996,565,1684.78984,1608.73259,167,68.95667,283065
59.999,618,1657.74777,1488.82804,145,78,308867
59.992,556,1647.76132,1584.94945,169,117.33333,278828
59.993,549,1682.08604,1552.36178,193,99.82167,274214
59.997,583,1690.45503,1565.34045,155,85.48667,292816
60.003,556,1639.341,1584.48731,158,90.465,277654
59.998,610,1676.97964,1583.01727,178,112.345,304860
60.001,594,1715.0166,1518.29481,156,76.88667,297528
59.998,575,1670.30329,1544.95228,160,95.035,288744
59.991,604,1698.96278,1553.62949,117,95.18167,302262
59.99,560,1671.84197,1546.89332,141,77.04333,280665
59.997,486,1651.17021,1524.18009,173,86.81,242553
60.001,592,1674.57785,1487.10414,179,105.795,295581
59.999,613,1648.56259,1547.94933,160,99.94667,307599
60,562,1688.4244,1556.10593,151,111.27167,281580
59.99,557,1664.89974,1523.72454,160,111.93167,279308
59.998,639,1678.13712,1556.25569,128,92.46667,320096
59.99,569,1709.40887,1553.83009,183,96.74,285042
59.999,563,1713.54164,1565.13364,188,114.94333,281098
59.99,615,1659.18834,1531.56788,168,101.605,307959
59.996,554,1654.62547,1601.32972,135,67.99167,277270
59.995,603,1699.1284,1649.19067,144,60.545,301456
59.999,578,1664.03666,1627.28607,145,112.65833,288670
60.002,568,1644.25657,1573.28831,176,104.795,284328
60.004,579,1653.68641,1597.78548,144,59.85667,289684
59.99,573,1664.23604,1545.85914,173,88.13167,287308
59.991,474,1653.79,1520.66395,175,105.34833,237552
59.991,588,1619.5976,1563.63444,136,63.71833,295252
59.993,597,1647.39053,1429.04593,207,125.23,297974
60.004,594,1688.24348,1532.35335,166,95.13,297422
59.993,566,1646.07284,1513.01724,172,131.8,284366
59.995,512,1635.46468,1562.84833,184,103.02167,256384
60.004,594,1676.90884,1634.73723,177,104.19667,297475
60.003,591,1668.71106,1608.21066,141,72.61167,295474
59.994,549,1671.64715,1601.22829,145,93.29167,273831
59.99,584,1675.35918,1471.67497,174,127.05167,292432
59.99,576,1669.07177,1587.14432,151,78.55,287014
59.991,608,1674.2532,1619.51444,162,91.08667,303117
59.991,597,1658.03606,1543.65932,150,91.21,299681
59.995,600,1632.15887,1570.35911,123,49.26833,300745
59.99,578,1690.09172,1615.01143,176,100.57167,289442
59.99,581,1688.86675,1585.11676,155,88.88667,289768
59.991,617,1684.29204,1489.76005,159,119.665,308794
59.992,576,1646.79551,1543.33589,159,85.55833,287906
59.99,600,1647.02223,1575.2058,109,59.13667,300799
59.997,533,1670.08797,1535.26888,159,88.26333,266601
60.001,590,1723.63962,1651.96244,190,106.05833,295192
59.997,598,1662.28381,1522.55621,131,58.85167,300047
60.004,621,1693.17374,1500.08944,164,131.14333,310995
60.001,557,1683.71369,1579.29921,185,110.27833,278501
59.994,499,1638.78242,1518.43645,158,105.815,249231
59.998,541,1646.9624,1421.4903,185,140.43667,271412
59.995,568,1659.19224,1469.28943,189,89.75833,285500
59.992,566,1630.03295,1579.86168,166,101.835,283580
60,531,1651.93765,1536.18671,163,95.745,265749
60.003,561,1653.62023,1573.81427,180,101.13833,280661
59.993,539,1653.88673,1420.0683,178,131.945,270570
59.998,522,1685.50857,1571.06123,159,104.645,261856
59.995,564,1693.60795,1553.60945,197,121.37333,282533
60.002,559,1716.55914,1484.42599,174,121.46333,280048
60.004,534,1715.56367,1478.81198,165,129.08667,267620
60.002,592,1700.6891,1515.36816,138,79.27833,296763
59.994,630,1663.51306,1553.0816,161,91.935,313288
60.004,589,1691.47973,1595.95169,129,51.03667,294692
60.004,619,1697.6326,1604.92335,164,68.45667,309513
60.001,597,1653.90249,1501.71398,172,129.66,298739
59.994,548,1715.62628,1666.02578,189,108.01667,273717
60,595,1660.92164,1571.38155,162,75.18167,297570
59.997,546,1673.87054,1438.28507,179,113.64167,274264
59.993,575,1693.05647,1630.22155,176,129.20333,288504
60,546,1683.56166,1568.22786,146,75.34167,273915
59.996,587,1674.49949,1567.29862,155,104.20167,294936
59.998,550,1655.19834,1417.44607,184,119.79667,274953
59.993,544,1645.09078,1595.98493,187,84.13333,271553
60.002,648,1711.51036,1501.74954,136,84.89833,325108
59.999,626,1670.65847,1593.1552,118,58.25167,314338
60.002,550,1658.76665,1595.85136,166,71.30333,275563
59.993,627,1714.37546,1579.11753,143,98.29667,314189
60.004,679,1702.63562,1634.51879,165,91.75167,339734
60.004,623,1663.86156,1537.94411,147,112.18333,312208
59.991,595,1695.77835,1628.38389,146,107.67333,297741
60.002,556,1649.9271,1599.85661,169,95.86167,279032
59.994,548,1651.69505,1559.8543,121,97.605,274215
