secs,gens,bestfitness,meanfitness,maxcomplexity,meancomplexity,evalcount
59.99,616,1688.02359,1642.4565,189,138.80833,309001
59.993,665,1725.26467,1647.48383,178,105.64333,333316
59.99,629,1639.87211,1605.78433,170,80.47667,315119
59.991,584,1666.20055,1601.06624,216,91.75833,293687
59.993,588,1672.03311,1544.17942,198,136.82333,293913
59.991,634,1669.1315,1597.18975,150,64.67833,318660
59.991,583,1664.57228,1544.13043,181,111.37667,291955
59.99,622,1697.46795,1610.63427,195,148.98833,310994
59.992,593,1689.61546,1516.20884,206,108.755,297557
59.992,651,1690.18461,1549.94692,203,81.68,326289
59.992,624,1709.53109,1551.35578,197,105.45833,313738
59.99,619,1694.03569,1594.48191,155,100.31667,310100
59.99,699,1684.71232,1576.98141,157,102.41667,350934
59.99,642,1681.03289,1595.3833,184,151.915,322628
59.99,577,1654.69973,1284.86641,204,167.75833,289043
59.995,591,1689.71628,1567.87597,183,83.51,297485
59.99,631,1675.77036,1579.2383,194,112.17167,316336
59.995,616,1772.46571,1613.44958,198,115.79333,309646
59.99,625,1679.16806,1550.85365,174,122.71667,313009
59.992,632,1666.30961,1557.98411,144,84.46667,317763
59.99,655,1749.86943,1560.58804,177,81.365,328797
59.99,678,1681.19844,1529.69703,153,105.41333,339715
59.99,621,1630.66593,1595.08844,151,108.12,311597
59.995,609,1705.8411,1639.22469,161,119.62333,306048
59.99,548,1635.61906,1566.41885,212,96.13667,273696
59.99,629,1675.44387,1596.74645,187,134.525,316585
59.995,596,1700.14292,1628.62956,215,158.88,299453
60.004,704,1706.17418,1536.46974,179,107.51167,353004
59.991,647,1706.54801,1582.77433,177,136.08333,324735
59.99,643,1660.504,1587.77744,154,101.00667,322252
59.99,697,1698.32972,1559.73041,155,86.66667,347961
59.999,623,1697.92053,1600.48149,186,88.435,312975
59.991,686,1728.00606,1612.09252,125,70.30167,343605
60,660,1721.18191,1304.79653,215,150.885,331007
59.99,600,1651.23919,1608.00445,195,124.72833,299907
59.991,593,1659.30019,1491.43032,247,89.26333,297612
59.99,607,1671.51586,1602.15466,157,104.25333,304199
59.991,676,1712.52775,1639.31963,177,97.045,340468
59.99,618,1693.89187,1609.24874,152,126.77333,309791
59.99,645,1693.97853,1628.92406,175,109.65833,322680
59.996,670,1706.13702,1571.01899,158,88.19,336076
59.99,643,1666.08138,1549.87843,176,122.36167,322026
59.99,652,1672.29519,1584.37513,166,99.90667,326822
59.991,596,1732.52139,1628.46932,165,126.72333,299566
59.991,725,1723.04954,1493.81484,184,118.835,363941
59.99,655,1706.19782,1570.53018,171,74.02167,327586
59.99,634,1643.0882,1561.43202,177,102.94333,317804
59.993,628,1681.75928,1513.13462,157,66.405,315985
60,609,1701.56611,1622.1976,185,94.16667,305198
59.99,672,1704.39337,1492.7603,166,103.23833,336758
59.992,691,1667.15582,1536.66719,182,109.075,346588
59.992,631,1701.67998,1572.79738,182,138.985,316547
59.99,630,1714.32508,1501.09312,192,109.73,315203
59.99,633,1681.4329,1471.433,157,93.33333,317179
59.991,607,1693.43093,1582.35866,164,101.12667,305112
59.993,683,1723.56105,1576.80135,198,96.74833,340975
59.99,585,1672.26241,1612.22368,179,113.48167,294429
59.993,672,1714.69805,1661.85078,172,115.46667,336857
59.99,623,1683.86218,1531.24429,175,93.31,312257
59.99,610,1685.85335,1586.16181,176,59.085,306375
59.99,642,1665.59594,1444.13535,196,96.73167,322546
59.99,647,1664.41184,1572.88126,177,103.035,323753
59.994,663,1659.40972,1541.73572,140,91.17167,332503
59.99,693,1742.66365,1637.21589,188,72.45333,348097
59.99,741,1667.0666,1580.99417,177,73.48833,371295
59.99,601,1646.73862,1392.62328,179,80.875,302331
59.992,622,1684.89404,1627.71697,186,101.03333,310795
59.992,674,1656.33166,1447.45008,181,106.27833,337874
59.99,616,1705.83019,1548.91883,186,154.53,309503
59.99,714,1712.13,1471.85721,185,111.05333,357757
59.99,608,1716.70177,1490.42013,167,128.97833,304014
59.992,649,1678.11788,1553.0217,187,113.52167,326478
59.993,630,1657.49711,1587.36726,181,78.32667,314923
59.99,632,1669.05552,1469.04383,200,139.76167,317607
59.99,663,1768.4162,1606.04705,173,74.34167,332571
59.99,700,1682.3783,1565.17404,221,118.30667,351581
59.991,641,1716.52137,1565.14563,240,168.09333,321694
59.992,711,1663.44413,1549.29993,175,112.62333,355741
59.991,663,1649.37238,1571.31233,235,107.615,332661
59.99,663,1736.40688,1476.18717,244,138.425,332554
