secs,gens,bestfitness,meanfitness,maxcomplexity,meancomplexity,evalcount
59.99,628,1698.1873,1598.68109,163,88.27,314371
59.99,587,1670.99046,1555.52721,196,109.99667,294081
59.99,627,1702.09806,1612.77821,188,142.615,313766
59.99,603,1739.21895,1516.60208,174,112.83833,302950
59.99,658,1658.3228,1294.55663,164,129.86167,330343
59.99,614,1639.48346,1357.35078,203,110.45,306769
59.99,624,1676.2334,1615.39262,179,133.48167,312572
59.993,612,1667.37885,1536.6752,136,77.01667,307690
59.994,627,1714.9417,1575.37636,176,122.47167,314660
59.993,600,1679.95319,1554.01423,159,105.275,300115
59.99,602,1676.95458,1425.45418,169,84.69333,302412
59.99,692,1701.00195,1623.78235,148,107.50167,346468
59.99,608,1645.71563,1411.0424,171,119.705,304786
59.99,670,1700.95452,1612.4184,189,67.81,336084
59.99,633,1703.90385,1612.61569,173,88.8,317629
59.997,609,1671.21213,1527.50729,189,112.61167,304719
59.99,668,1678.39554,1537.54113,157,93.32,334773
59.993,689,1736.85075,1661.55068,170,95.48,345351
59.996,618,1656.36915,1587.57536,158,84.12667,309058
59.992,615,1649.3598,1547.24255,173,80.77667,308705
59.99,629,1739.11696,1598.06133,177,112.26667,314831
59.99,722,1717.70826,1535.48496,164,88.185,361867
59.99,628,1703.26287,1621.59222,173,116.715,315571
59.992,613,1672.29507,1585.65974,187,149.96,307205
59.99,623,1680.2823,1545.20593,188,123.93833,313057
59.99,604,1654.38431,1597.68591,153,77.91167,303025
59.992,601,1686.90591,1535.53759,202,136.98833,301273
60.013,605,1651.54491,1571.84117,183,119.20167,302398
59.997,661,1745.76266,1522.68917,191,121.37,331782
59.99,657,1693.78051,1601.50229,177,85.19333,329060
59.99,596,1692.59709,1590.13761,187,101.86,299322
59.992,592,1697.83995,1622.55077,184,83.095,297427
59.992,696,1700.58036,1539.99266,163,88.41,348260
59.99,626,1669.60932,1575.29371,145,75.705,313835
59.99,664,1698.4057,1532.25038,177,108.90167,333816
59.991,607,1705.66891,1599.57251,194,113.95333,304448
59.99,656,1647.73152,1412.57109,152,95.735,328122
59.99,639,1718.06259,1564.32794,172,137.84,320249
59.99,618,1663.07423,1569.90561,162,120.34167,309794
59.995,574,1683.29351,1556.82709,177,111.05167,288020
