secs,gens,bestfitness,meanfitness,maxcomplexity,meancomplexity,evalcount
59.99,2011,914.13167,746.52914,99,88.115,1012026
59.99,2134,957.94658,847.8442,92,77.08667,1075928
59.99,2063,601.39224,508.29895,162,100.62,1043231
59.99,2124,791.10506,673.46629,138,92.59167,1072734
59.99,1963,743.98585,671.36099,191,102.01167,994299
59.99,2054,734.02716,518.47084,137,88.35167,1035197
59.995,2090,943.25428,837.39748,148,105.07333,1049020
59.991,2130,665.625,479.00971,147,93.26,1073450
59.99,1900,982.63147,797.32433,141,96.55667,958216
59.99,1920,928.75101,829.28365,184,132.49,963977
59.99,2113,796.01533,674.83103,113,98.6,1066697
59.993,1804,933.69508,819.18598,192,166.24,911128
59.99,2194,516.40286,391.25002,192,96.855,1107631
59.99,2288,947.29964,782.06536,140,127.55,1151816
59.99,2276,836.86341,710.77659,123,102.37,1147480
59.99,1955,499.33757,421.18466,166,104.49333,989319
59.99,1909,475.59333,380.35047,171,110.03167,965287
59.999,2153,719.96134,665.39742,111,95.42,1083341
59.99,2248,650.6448,522.25177,129,83.97333,1134990
59.991,1942,486.45779,409.30857,145,102.92167,979297
59.99,2066,985.21075,891.04942,120,102.33833,1041960
59.99,2255,893.7331,741.75731,131,72.81833,1135752
59.99,2100,793.28974,641.56856,153,89.45,1059017
59.991,2271,541.59156,448.81756,113,85.77167,1143939
59.99,2141,826.88745,738.3657,160,107.85833,1076888
59.99,1934,741.5561,570.2141,162,130.845,976731
59.99,1989,857.49037,705.12236,167,124.19333,1005213
59.99,2035,727.89967,595.76931,148,101.66,1022868
59.99,2077,880.31436,774.92606,101,76.13,1044504
59.99,2277,983.49762,747.1164,144,89.88,1149214
59.99,2291,802.48845,574.32045,117,91.49,1154932
59.99,2037,936.908,781.37592,177,144.75333,1026150
59.994,2192,554.74761,424.8675,157,102.54833,1107556
59.99,2044,713.42663,610.80062,166,120.53,1028276
59.991,2047,457.12183,371.2791,154,106.76667,1037001
59.99,2035,994.99978,930.01731,174,129.96833,1023164
59.991,2008,927.59516,820.26026,137,105.66667,1012751
59.99,2165,248.91101,172.87625,184,114.75333,1090053
59.99,2180,860.24056,659.30592,140,98.24667,1096952
59.99,2421,321.71287,277.787,157,73.235,1222742
59.99,2026,980.15352,922.24961,138,104.72333,1021378
59.99,2145,891.59779,738.94865,153,79.615,1079917
59.99,2131,736.56298,589.15938,134,102.42833,1072659
59.99,1926,966.94869,850.3497,149,80.745,970133
59.99,2157,941.99382,758.42372,146,109.31,1086770
59.991,1966,432.44172,351.50684,177,143.185,989150
59.99,2051,895.57217,718.50467,154,102.57167,1033819
59.99,2238,939.0755,812.30603,120,92.19833,1130442
59.99,2246,739.77573,632.66434,124,95.62,1130796
59.99,2113,951.8353,804.21854,141,102.085,1061438
59.99,2153,740.7497,629.04501,109,92.81167,1089811
59.99,2418,870.99474,633.36402,109,101.16,1218204
59.99,2092,786.98406,722.84952,147,105.835,1051764
59.994,1998,965.86583,790.56537,135,120.15,1004598
59.99,1958,874.2823,724.0663,153,129.69833,983152
59.99,2142,624.09847,517.60523,156,126.54667,1081172
59.992,2099,968.28914,856.27565,132,99.01,1056686
59.991,2100,798.39311,693.77406,145,89.40167,1056710
59.99,1901,724.72738,557.94134,179,112.68333,956704
59.99,2093,980.33918,883.36312,152,111.57833,1057056
59.99,2185,868.88157,739.43066,141,114.37167,1101561
59.99,1836,986.96298,825.90099,216,133.265,921901
59.99,2086,932.00238,805.67093,155,136.25333,1049593
59.99,2147,849.97378,669.75038,122,83.71,1076384
59.99,2306,717.26491,621.93631,144,90.71833,1156947
59.99,2068,929.44271,857.14012,141,120.46833,1037677
59.99,1998,971.60303,760.50463,152,105.22,1005921
60.004,1998,888.36381,788.28032,145,119.43667,1003895
59.99,1958,944.35937,839.74769,160,91.7,987790
59.99,2502,491.51302,348.35762,137,85.10833,1261979
59.993,2419,840.15812,620.23754,137,88.62833,1215273
59.99,2195,971.6297,862.62758,126,68.19,1106999
59.99,1921,793.95231,726.12221,165,101.39,965526
59.991,2007,509.87744,453.07895,126,97.37,1008950
59.99,2387,822.24424,635.05595,131,95.785,1200150
59.991,2115,840.41407,659.57827,160,107.79833,1063567
59.99,1827,931.64869,739.4714,152,96.53667,921981
59.99,1883,793.77679,669.49526,117,101.19667,949829
59.99,2297,996.15264,909.98723,133,105.685,1154245
59.991,1822,949.57234,820.24601,163,107.91,917886
59.99,2352,953.83888,835.43788,115,81.545,1186834
60.013,2306,929.74575,621.26715,154,84.40667,1162473
59.99,2551,959.144,761.26409,100,70.60833,1284958
59.99,2020,432.41122,300.61481,166,104.38333,1020361
