secs,gens,bestfitness,meanfitness,maxcomplexity,meancomplexity,evalcount
59.99,2227,532.56175,446.237,145,102.4,1121064
59.99,2108,870.52094,714.84914,127,94.25,1065184
59.991,2351,699.84462,615.44327,126,100.45167,1188038
59.99,2050,926.35974,709.45092,121,94.99333,1032384
59.99,2171,965.63442,806.61823,115,71.78,1093769
59.99,2185,940.34068,868.14577,116,86.20833,1098403
59.99,2030,424.57674,354.60219,140,75.36667,1025853
59.99,2004,982.973,801.31298,157,103.86,1010348
59.99,2284,897.91549,770.03922,125,87.225,1158487
59.99,1837,821.49674,659.55828,176,97.86667,925597
59.99,2225,619.44245,527.75486,110,93.02,1125922
59.993,2201,991.72039,841.50465,135,109.91833,1106938
59.991,2187,909.80384,829.313,127,115.35833,1101773
59.99,2318,555.93083,439.98977,137,86.37333,1170547
59.991,1925,987.61968,920.99289,117,109.62667,971283
59.99,1977,981.75794,899.42289,154,90.56833,997446
59.99,2144,701.86297,578.50975,132,79.48333,1080732
59.991,1836,607.59105,428.49178,179,122.615,931661
59.992,2360,971.71268,698.25442,108,69.37333,1195457
59.99,1980,864.2027,668.23548,163,121.37667,1000501
59.99,1986,995.11295,897.09356,136,119.92833,998344
59.99,2034,928.12416,858.99168,148,95.43833,1023777
59.99,2021,993.14518,803.71393,159,105.24,1015865
59.99,1926,570.16,472.87453,135,116.425,971980
59.99,1858,654.16607,567.78447,134,108.98833,939360
59.993,2116,954.82539,839.07716,128,106.755,1070448
59.99,2113,965.90112,886.61865,157,105.51833,1064993
59.99,2189,995.79271,912.998,142,112.66333,1105921
59.99,1879,908.49983,756.85662,150,116.715,946091
59.993,2303,788.08939,709.2347,126,104.26333,1156456
59.99,2024,953.8248,845.32967,190,111.46167,1021311
59.99,2111,832.58231,691.56852,154,94.915,1061412
59.99,2257,930.39984,790.25316,123,100.64833,1140795
59.99,2163,958.13053,765.54964,162,120.85167,1091430
59.99,2306,975.93807,812.16976,119,82.02667,1164227
59.99,2100,678.02011,585.37732,124,95.32833,1059943
59.992,2319,804.61447,586.85531,150,101.41833,1170806
59.99,2082,974.84027,884.20349,152,101.16667,1046515
59.992,2392,777.182,524.93717,140,93.115,1208156
59.99,2228,928.01232,838.01513,130,105.88,1121707
59.991,2134,489.63159,392.7073,164,84.50667,1077996
59.99,1931,799.98958,668.62334,139,128.29167,969934
59.99,2128,695.66004,598.37875,150,118.48,1074422
59.99,2441,434.09117,311.55676,95,79.60833,1231545
59.99,2006,894.67696,776.10096,124,71.24833,1009211
59.991,1707,982.76494,891.77789,138,126.41333,865280
59.99,1863,944.83002,819.4876,138,95.58833,936121
59.99,2219,812.22988,639.87718,108,94.76167,1123254
59.992,1809,850.44014,715.29649,168,138.00333,910974
59.99,2029,929.84934,726.34053,128,94.38167,1024059
59.993,2129,992.33963,831.30504,134,110.15833,1073135
59.99,2320,973.15237,809.58818,94,60.94333,1166249
59.99,2248,884.96136,765.37899,111,87.06167,1135608
59.99,2311,934.17102,711.56324,136,42.22167,1165930
59.99,1713,977.80663,774.37927,174,89.37,865852
59.99,2308,881.35101,682.66254,128,96.10333,1162580
59.99,2203,957.29429,792.99706,112,73.935,1111000
59.991,2110,790.70847,645.91295,179,138.59,1061116
59.999,2027,993.18952,891.64627,159,95.18167,1022011
59.993,1989,831.92799,659.02872,141,109.38,1002082
59.99,2086,918.03926,838.54326,120,103.85,1047979
59.99,2477,709.38698,569.93431,107,76.025,1252201
59.991,1965,922.31732,784.16165,155,105.665,989046
59.99,2521,931.63965,694.385,115,87.415,1275829
59.99,2282,636.26861,406.21888,134,96.06,1150541
59.99,2005,750.87217,631.68113,110,100.10167,1012830
59.994,2198,800.51337,640.33611,138,91.26333,1106768
59.99,1962,535.86248,378.73357,161,87.29833,981658
59.992,2128,979.24611,855.19394,126,87.81333,1068064
59.994,2094,994.69814,880.01838,132,88.865,1051704
59.99,2239,791.98499,671.2805,178,105.5,1127379
59.99,1900,830.5528,644.38314,136,120.16667,958690
59.99,2146,585.5161,353.65296,150,85.92167,1089625
59.99,2200,754.40761,651.78145,123,110.44,1109250
59.99,2104,977.06264,796.45179,114,87.09833,1062181
59.993,1972,775.20638,658.84938,131,101.90167,988560
59.99,1862,950.9386,779.18402,174,92.85333,936674
59.992,2344,946.65849,399.33811,147,108.095,1182228
59.991,2086,951.88803,760.52885,151,86.77167,1050312
59.99,2062,478.36816,368.84285,111,99.29833,1037162
59.99,2013,948.50379,785.26537,191,111.18667,1014414
59.99,2137,846.56796,735.52218,108,103.805,1079476
59.99,2424,976.4206,871.78418,97,89.64667,1219322
59.99,2404,799.58177,591.68791,144,95.735,1208306
59.99,2170,929.20196,747.62943,160,80.45167,1094034
59.99,2256,614.50425,536.50392,134,85.005,1139796
59.99,2177,938.09651,810.27859,146,106.865,1092419
59.99,2267,937.32593,744.09388,150,120.775,1141099
59.99,2016,780.52251,573.25811,134,106.81833,1016368
59.99,1813,884.0641,777.37861,166,121.67167,914269
59.99,2003,923.27429,827.62338,143,114.80667,1013919
59.991,1847,714.67812,601.62216,177,117.02,930511
59.99,1989,829.40518,651.86759,114,66.58833,1000334
59.99,2270,973.8891,809.72869,110,76.08167,1143129
59.99,1789,983.07024,823.73987,162,125.76667,903589
59.99,2112,869.84712,701.78764,193,103.31167,1065659
59.99,2075,713.28781,561.44032,129,109.07833,1043573
59.99,1972,987.78486,866.80692,197,168.55833,991491
59.99,1900,900.35981,792.53168,175,103.89667,959987
59.99,2167,665.3098,563.05927,143,106.74,1090989
59.992,2110,919.77987,725.68063,170,109.755,1064394
59.99,1917,950.57926,781.31957,175,138.66167,965153
59.99,1903,800.29787,645.34679,133,118.715,959964
60.025,2220,730.78505,579.83908,135,90.385,1119891
59.99,2171,872.03889,687.62236,145,96.60833,1092700
59.99,1904,431.72908,351.81508,153,131.24833,958223
59.99,2434,999.44571,829.18569,136,71.25333,1223301
59.991,2055,983.22747,859.12774,117,101.32667,1036216
59.99,1919,990.13421,863.44247,150,118.04333,967986
59.99,2030,983.44124,821.9589,148,99.08,1020524
59.99,2209,567.77195,494.98453,145,98.765,1115102
59.99,1918,982.54935,872.66395,198,110.59,966169
59.99,2182,997.02807,765.82642,107,77.17667,1099588
60.008,2019,741.00644,572.78532,156,97.44667,1015622
59.99,2312,971.17442,831.32193,114,81.74833,1164565
59.99,2000,725.12386,608.63153,154,139.38167,1007324
59.99,1873,757.20911,708.40573,144,130.72,946168
59.99,2130,739.74778,545.15092,125,84.78333,1076990
59.99,1977,971.71118,836.34385,146,106.50333,999302
59.99,1836,840.52524,588.10773,167,126.33667,925159
59.99,2215,924.01125,629.07743,71,61.53667,1113664
59.99,2187,898.48342,772.80284,145,97.09,1102274
59.99,1908,959.59275,856.67552,159,107.06667,957286
59.99,2406,777.59639,639.26573,105,81.41833,1212669
59.992,2026,908.01508,826.41955,136,104.67167,1020894
59.991,2124,610.13584,527.45223,153,102.70667,1069492
59.99,2072,679.0428,554.12934,145,120.96833,1045337
59.99,1791,683.93128,489.23419,123,101.65167,900271
59.991,2252,777.5624,632.53699,145,109.645,1136317
59.99,2028,598.51329,509.01358,152,96.51,1020060
59.99,2039,973.20318,896.46672,153,85.81333,1030408
59.992,2048,472.74276,401.54637,183,92.17,1036240
59.996,1944,654.17259,590.56325,132,113.54,973965
59.991,2002,742.16533,578.61689,135,81.155,1003816
59.99,2346,469.32157,411.27577,149,116.25,1186103
59.99,1998,911.99005,814.06212,173,118.43,1004298
59.994,2041,992.24433,925.68679,141,126.955,1028731
59.99,2177,827.33937,726.55731,119,80.075,1100841
59.99,2129,828.71521,682.64683,191,104.14333,1075235
59.99,1944,661.67257,564.80038,172,143.425,981158
59.99,1959,974.90459,878.5876,146,105.70833,984923
59.991,2407,970.61742,830.027,139,77.05333,1211521
