secs,gens,bestfitness,meanfitness,maxcomplexity,meancomplexity,evalcount
59.993,12242,999.99993,963.97659,0,202.25333,5876663
60.001000000000005,10030,999.90411,945.62542,0,272.68667,4815404
59.999,9315,1000,974.99469,0,266.37667,4471978
60,10809,999.99998,987.04685,0,262.61333,5189104
59.992000000000004,10605,999.99969,978.71369,0,238.235,5091050
59.99,9609,999.92848,938.15396,0,240.08333,4612835
59.991,10795,999.99608,919.68555,0,288.94,5182196
59.99,9917,999.99995,976.83442,0,279.92167,4760668
60,8126,999.42532,929.25927,0,302.72667,3901465
59.998000000000005,10136,999.99438,967.50791,0,270.85,4865932
60.002,9987,999.99291,983.03924,0,254.71833,4794755
60.003,12668,996.45531,866.32728,0,237.62833,6081370
60.003,9624,500.75828,454.80695,0,295.56667,4620260
59.998000000000005,8748,927.79796,853.31201,0,319.365,4199735
59.994,8946,999.98885,954.83714,0,296.99667,4294811
59.99,10381,999.41734,967.17228,0,277.30333,4983512
60,9593,999.99529,648.27317,0,298.96,4605529
60.004,9353,999.99774,978.40971,0,277.95333,4490165
60,10159,451.60865,270.68506,0,240.39667,4877147
59.993,11485,981.87675,849.31148,0,253.49333,5513375
59.993,9105,999.99925,893.78737,0,273.88167,4370972
59.995000000000005,8871,999.99888,953.72092,0,295.91,4258804
59.994,9541,999.99985,948.85912,0,280.98667,4580618
60.001000000000005,11299,999.70128,975.69919,0,247.11167,5424315
60.001000000000005,10363,999.97411,937.58444,0,262.43,4974904
60.003,9107,999.99965,968.04724,0,345.59833,4372413
60.001000000000005,9420,999.97662,931.53929,0,272.39833,4522357
59.996,10509,999.99984,975.90784,0,327.25167,5045075
59.991,9071,996.32289,953.94434,0,299.26333,4354653
59.994,10478,999.80763,966.10688,0,221.045,5030167
60.003,10177,1000,983.78168,0,285.86,4885634
60.001000000000005,11457,999.99991,980.68312,0,251.125,5500186
60.004,9825,999.99292,947.37195,0,262.62,4716633
59.99,10672,1000,972.759,0,310.645,5123073
59.998000000000005,8342,999.41859,925.63625,0,330.82833,4004981
60.001000000000005,8498,967.56122,869.21338,0,345.98,4079751
59.997,11043,999.96089,974.29589,0,239.46333,5301340
60.003,7716,998.14538,948.00561,0,314.71,3704370
59.998000000000005,9972,999.99999,963.30449,0,363.66667,4787280
59.993,10985,999.97347,899.56274,0,284.935,5273454
59.996,10661,999.44485,872.53219,0,228.395,5117933
60.002,9261,999.98404,919.28655,0,265.24333,4445908
59.999,9864,999.7949,970.337,0,270.65667,4735672
59.998000000000005,9741,999.99985,893.75602,0,269.36833,4676887
60.001000000000005,9704,999.88104,958.18079,0,243.46667,4658718
59.995000000000005,8350,999.99999,912.83077,0,323.97167,4008785
59.992000000000004,9399,997.37391,848.29419,0,268.66667,4512551
59.993,9499,950.66582,750.24622,0,305.15333,4560151
59.99,10099,999.89733,959.35875,0,274.46167,4848073
60.002,8006,978.83065,519.57311,0,285.73667,3844029
59.997,9014,997.27403,838.68996,0,258.49,4327514
59.99,9468,999.99962,971.7129,0,298.39833,4545606
59.997,7973,998.54546,923.23737,0,328.59667,3827980
59.995000000000005,10505,999.99987,966.67284,0,244.475,5043205
59.994,9025,999.99985,982.03987,0,336.18167,4332765
59.992000000000004,9876,999.99867,970.5191,0,278.78,4741119
59.99,9243,999.99913,944.55687,0,270.81833,4437433
59.99,10090,967.96039,774.24642,0,274.19833,4844045
60.004,8911,997.82521,680.15162,0,251.92167,4278078
59.994,9154,999.99831,913.70769,0,275.00167,4394552
60.003,11049,1000,967.09187,0,261.82333,5304102
59.993,9750,999.99626,940.85346,0,274.37333,4680681
59.991,9905,999.75937,965.01994,0,268.49,4755201
59.998000000000005,10490,999.96281,965.39801,0,269.23,5036077
59.997,11071,1000,877.92157,0,216.53667,5314890
60.002,8763,999.7837,913.47823,0,294.14333,4207166
59.998000000000005,9331,999.99684,957.59094,0,289.94333,4479612
59.995000000000005,9038,973.01521,872.06573,0,376.86,4339064
59.992000000000004,11618,999.99989,980.06798,0,241.01167,5577467
59.99,8407,999.99999,962.23183,0,331.04833,4036012
59.994,10054,999.9989,970.66489,0,240.93833,4826945
59.99,11121,999.99998,969.01698,0,252.89833,5338710
60,8010,998.77123,873.98362,0,333.74833,3845591
59.998000000000005,8873,999.99978,928.1001,0,248.37167,4260075
59.999,8662,999.99768,922.45754,0,283.22667,4158697
59.998000000000005,9320,999.99688,975.24354,0,376.66667,4474283
59.999,7689,999.95931,927.47363,0,252.10667,3691275
59.996,9046,998.37611,727.54858,0,291.16167,4343055
60.004,8983,999.91747,767.37583,0,284.00333,4312902
59.99,10158,999.99997,973.92683,0,266.835,4876379
59.992000000000004,10528,962.64546,868.72098,0,252.945,5053939
59.999,9505,999.6657,962.61688,0,243.845,4563436
60,9950,997.73099,936.85903,0,268.31833,4776723
59.998000000000005,10600,999.99715,964.73917,0,251.82333,5088728
59.998000000000005,9606,975.61211,865.27305,0,302.17,4611369
60,8045,999.70477,960.82974,0,337.00167,3862262
60.004,8594,999.99558,947.89242,0,277.93333,4125974
59.998000000000005,9921,370.71483,288.49975,0,387.335,4762855
60.001000000000005,9361,990.85445,759.57291,0,293.08833,4494197
60.001000000000005,10028,998.92649,932.12767,0,268.43833,4813906
60.001000000000005,10052,999.98965,983.21813,0,265.47833,4825820
59.99,10772,999.98966,913.24881,0,243.66167,5171114
59.996,9282,999.99568,945.07495,0,307.24667,4456198
59.996,7772,999.961,980.03188,0,348.31333,3731175
60.002,10095,999.95937,969.37174,0,298.18,4846473
59.999,9342,998.87378,573.70313,0,245.965,4485127
59.99,9696,999.99907,920.04358,0,235.84,4655003
59.995000000000005,8894,999.99985,980.42114,0,324.18833,4269749
59.99,10776,960.44397,828.78233,0,252.66333,5173192
59.993,9987,998.85666,832.09625,0,272.965,4794578
59.997,9078,994.84934,937.19514,0,293.54833,4358185
59.99,9459,999.99999,973.59977,0,305.41667,4541119
59.999,10396,999.96283,948.13753,0,248.83667,4990843
59.996,11384,999.99966,954.25796,0,208.425,5465468
60.003,9224,989.45498,851.33255,0,254.86167,4428075
59.996,9293,999.56601,942.32799,0,275.57667,4461262
59.994,9253,999.9202,929.67809,0,284.25,4442031
59.996,10349,999.99002,981.70465,0,263.99167,4968294
59.992000000000004,10051,999.97929,974.4611,0,275.61333,4825448
59.996,9437,999.85143,970.03962,0,279,4530580
59.995000000000005,8586,999.72171,891.29701,0,373.15667,4121742
59.998000000000005,9463,999.75554,947.74927,0,306.54,4543103
59.996,12133,1000,965.2497,0,238.39667,5824433
60.001000000000005,9431,999.9392,973.23839,0,316.67667,4527456
59.998000000000005,10099,999.7496,921.6628,0,276.32833,4848582
60.001000000000005,10724,999.99999,975.19003,0,228.96333,5148230
59.998000000000005,10696,708.6337,544.21086,0,306.22333,5134809
59.994,9240,999.99872,954.97763,0,258.65833,4435943
59.99,8856,999.77194,976.47455,0,433.16833,4251489
59.99,9769,999.52384,944.11533,0,275.83833,4689906
60,9646,995.22074,930.43576,0,295.30833,4630776
