secs,gens,bestfitness,meanfitness,maxcomplexity,meancomplexity,evalcount
59.99,396,1625.27003,1490.80744,94,61.08333,198313
59.99,373,1622.05456,1280.32758,106,78.91167,186600
59.992,409,1614.32821,1480.84451,113,55.99,203549
59.99,356,1599.85052,1187.27754,82,29.50667,178272
59.99,370,1599.88357,1256.60854,111,97.83833,185294
60,366,1609.75968,1444.79008,112,64.46,182698
59.99,438,1599.88695,1331.09563,110,78.29833,219034
60.001,358,1600.79851,1548.4175,83,37.97167,178106
59.996,405,1613.71224,1476.95494,89,39.275,202491
59.999,313,1628.75707,1392.5023,113,73.76667,156365
59.999,431,1617.97972,1440.58279,87,57.13667,214525
60.002,353,1635.79466,1306.41701,129,82.90333,176466
59.997,449,1603.04216,1385.09745,124,78.79333,224235
59.99,349,1599.8779,1309.68036,101,43.04833,174630
59.996,401,1608.7473,1478.98792,119,67.73667,200632
59.995,375,1603.18177,1347.9624,105,60.65667,187169
60.002,455,1612.94644,1398.03071,117,52.43833,226851
59.99,371,1612.17202,1403.39964,140,102.72333,184853
59.995,432,1600.91876,1470.79123,85,54.17,216015
59.992,410,1612.43438,1507.43765,97,58.34833,204108
59.997,392,1610.8551,1538.74303,127,62.98333,195403
60.004,394,1599.83509,1252.49657,109,86.24833,197072
59.99,384,1606.23441,1356.10274,132,73.17167,191700
59.996,372,1611.51974,1461.54331,130,54.60833,186071
60.004,350,1599.86305,1331.63076,97,63.05167,175337
59.99,337,1599.52933,1390.13914,117,66.82833,168578
59.997,364,1599.78156,1246.86178,111,35.66,182297
59.99,315,1613.3444,1474.5109,114,84.23333,157474
59.99,396,1626.39038,1431.65793,96,65.47667,197967
60.001,330,1597.83848,1401.97805,107,52.575,165112
60,410,1613.7381,1271.86504,116,78.125,204972
60.001,388,1610.89399,1498.51685,117,53.48333,193512
60.004,386,1640.44807,1567.76004,106,50.22833,193296
59.999,403,1625.93716,1324.532,114,67.85833,201705
59.991,442,1607.74269,1300.16464,127,83.80333,220534
59.995,373,1621.90312,1586.03486,98,49.20167,186822
59.992,382,1602.53507,1368.19003,92,53.875,190820
59.993,354,1604.54019,1471.3424,100,55.73833,177252
59.997,387,1599.83157,1386.03697,115,54.24167,193192
60.003,405,1599.90526,1426.8934,75,26.85333,202030
59.996,389,1628.58992,1524.20128,88,57.28333,194456
59.996,433,1600.14084,1406.1555,88,47.33667,216578
60.004,391,1599.83655,1303.82977,76,48.57333,195312
60.003,349,1605.3,1366.88955,119,77.80333,174347
59.997,430,1609.80408,1330.23136,101,56.48333,215866
59.995,366,1625.67674,1514.48178,124,41.83667,183729
59.994,413,1599.89194,1374.15976,92,61.185,205802
59.998,371,1627.01354,1556.89667,133,82.26667,185628
59.99,387,1599.78089,1336.27539,101,73.12833,193472
59.997,322,1606.7896,1533.35382,90,56.55667,161381
59.991,369,1599.90071,1340.79692,99,61.89333,184052
59.999,322,1603.78571,1444.42187,105,64.21333,161735
59.99,350,1600.23951,1379.18399,88,59.04333,175181
59.995,376,1599.88105,1290.21152,89,67.835,188663
60,426,1612.70104,1543.31495,97,41.72667,213333
60.003,342,1612.74685,1375.40031,85,54.52,171097
59.99,405,1599.98344,1161.46391,141,103.40167,202421
59.995,353,1599.83696,1407.61764,116,45.66833,175983
59.994,378,1632.43535,1520.57797,102,35.68667,189766
59.996,346,1605.74728,1287.84508,121,65.07833,173779
59.996,450,1599.88039,1342.34405,93,58.22,225076
59.99,351,1609.85832,1336.63141,111,75.79167,174987
60,360,1613.0694,1418.69768,105,65.31,180285
59.994,364,1612.78415,1516.35042,106,50.775,181705
59.992,404,1610.90333,1418.71268,121,60.135,202625
59.998,376,1630.12334,1396.43916,101,71.335,187466
60.004,383,1621.0745,1245.80384,119,99.39333,191823
60,390,1599.87097,1316.37168,91,58.225,194912
59.991,461,1602.13858,1274.50213,105,77.31667,230670
59.997,417,1600.08699,1360.70237,99,61.36833,208614
59.993,390,1599.86791,1339.15869,102,49.47667,195063
59.998,449,1616.05433,1360.85119,129,56.78667,225652
60.002,378,1599.86405,1503.78808,92,56.645,189180
60,402,1603.71606,1290.9486,104,55.595,201022
60.002,374,1607.19789,1471.56802,110,64.02167,186856
59.99,397,1604.37882,1344.88824,79,44.52333,198720
60.003,399,1599.81267,1329.26001,110,73.58333,199764
59.994,348,1604.80254,1514.77366,101,52.58333,173115
60.001,391,1623.09877,1446.18349,133,76.795,194901
59.991,410,1614.71816,1395.96779,117,68.28,204497
59.999,411,1601.00328,1257.70093,96,63.16667,204958
59.997,427,1599.90604,1391.31319,114,35.68333,213696
60,426,1603.00344,1371.16909,128,79.92333,212667
59.997,403,1591.92353,1283.59056,103,44.27,200648
59.99,401,1630.06161,1469.53791,100,60.33333,200603
59.995,404,1619.67757,1499.38557,119,81.96667,201932
59.995,374,1629.57351,1486.28992,113,68.88333,187137
59.992,407,1602.27286,1386.89075,139,58.82167,203347
59.993,402,1612.01294,1474.7956,105,59.32167,201257
59.999,363,1643.32095,1407.2905,125,76.83,181960
59.997,344,1605.81376,1593.41044,116,89.84667,172539
59.998,348,1599.88516,1401.10246,77,41.34667,173562
60.001,403,1623.12084,1368.62184,132,65.99667,201372
59.998,418,1599.86493,1414.41381,117,51.335,208535
60.002,386,1599.79007,1394.07954,110,49.68833,192857
59.994,442,1625.9918,1540.1106,145,70.16833,220620
59.993,401,1604.6426,1491.061,75,54.015,200206
59.999,418,1604.71219,1450.48607,107,57.23833,208884
59.999,395,1599.88442,1304.25986,117,59.12167,197872
59.99,394,1604.73626,1431.54537,92,46.23,196580
59.997,405,1642.73759,1418.46768,98,51.90333,202436
60.001,324,1598.60006,1516.81619,100,77.56833,162381
59.992,349,1624.15933,1547.51157,139,94.01,173822
59.991,372,1641.53565,1418.98675,101,61.08833,185533
59.997,443,1599.89116,1257.69042,117,64.19167,221377
60.002,373,1612.54966,1374.5004,113,79.28667,186038
60.003,439,1611.77007,1507.34078,99,66.31833,220129
59.994,359,1599.88303,1411.59107,90,53.20667,179860
60.004,422,1604.64287,1422.89289,113,53.685,210482
59.994,389,1603.20376,1426.86329,119,53.35,194515
59.998,385,1615.09682,1321.35563,122,73.03833,192879
60.003,405,1599.79853,1324.27372,96,56.76667,202563
