secs,gens,bestfitness,meanfitness,maxcomplexity,meancomplexity,evalcount
59.99,583,1665.50737,1442.04964,173,107.30167,292197
60.037,541,1666.75854,1594.96362,160,85.52,271431
59.991,595,1691.04761,1552.63658,179,121.02333,297961
59.996,522,1663.3919,1529.2084,154,96.59667,261526
59.994,603,1694.52504,1537.91938,132,84.28667,302225
60,557,1679.62367,1617.08166,138,84.85333,278357
59.996,624,1659.16823,1591.54487,121,73.78167,312044
60,598,1693.56146,1567.60013,170,90.96833,299292
60.004,575,1701.10351,1611.08766,165,107.11333,288375
60.003,641,1663.91697,1582.68606,136,64.39167,320345
59.996,577,1732.33946,1517.31303,174,76.9,288913
60.002,555,1673.38732,1582.60517,165,142.675,277591
59.994,529,1648.50207,1541.00457,169,101.115,264736
59.997,544,1631.39184,1560.17352,135,78.15333,272988
59.99,562,1698.82965,1440.97979,149,95.98,282755
60.003,527,1688.43823,1594.06066,140,62.03833,264179
60.002,620,1722.73863,1479.60363,149,85.55,309492
59.99,557,1656.2948,1442.38603,156,123.835,278814
59.991,579,1654.87611,1593.53895,148,88.69167,289868
59.997,546,1644.97266,1473.61528,184,132.805,273113
59.991,581,1679.97318,1538.58514,168,94.155,290254
59.993,563,1687.71998,1611.11165,162,89.31833,282072
60.003,608,1683.63914,1547.49578,117,77.025,303697
59.995,547,1691.83547,1519.8607,142,84.00333,274283
59.995,493,1635.6438,1537.81946,183,107.64667,246453
59.993,536,1655.14163,1546.36778,172,83.57667,268478
59.993,554,1625.62429,1575.02712,144,87.98,277037
60.003,607,1727.2816,1497.9296,158,111.12667,303588
60.003,622,1682.97131,1640.86608,135,69.66,310644
59.991,580,1681.47724,1606.42389,173,87.63167,290133
59.993,560,1668.1677,1535.19299,174,86.25167,280937
60,613,1681.94933,1585.60021,141,89.44,306811
59.994,596,1658.68924,1422.38395,160,106.46167,298032
59.992,644,1682.97896,1586.74757,135,85.9,322665
59.996,477,1661.47392,1525.39961,160,126.93667,238480
59.998,548,1669.41335,1548.79414,153,89.505,274324
59.993,598,1686.66743,1611.22479,172,88.415,299633
60.001,565,1709.57152,1562.74657,188,91.78833,282372
59.995,534,1646.72349,1525.21579,185,130.09333,267983
59.999,589,1668.90589,1533.62584,151,86.555,295372
59.99,561,1668.06718,1541.77055,154,92.8,281443
59.995,581,1700.55627,1612.14571,192,73.68333,291150
60.004,554,1686.60327,1599.0172,134,85.84167,277456
59.992,531,1620.66454,1477.83525,174,122.77667,266769
60.001,614,1705.05977,1609.07206,155,78.34667,307590
59.992,622,1673.91096,1545.5647,150,102.71,311247
60.001,623,1660.43323,1560.96865,150,79.265,311428
60,572,1672.86114,1595.08285,156,109.88167,286245
59.996,566,1695.90795,1476.41977,152,93.84167,284403
59.999,599,1714.43686,1592.58837,141,81.07667,299311
59.995,562,1690.39373,1629.08554,164,94.51667,281859
59.996,574,1619.84262,1431.45379,161,102.83167,287283
59.998,604,1679.41642,1441.42248,153,118.20667,303285
60.001,585,1667.07277,1549.70691,181,98.25,292558
59.996,569,1680.35463,1533.34561,173,88.905,285116
59.991,534,1699.85052,1545.29606,155,119.785,267729
60.002,608,1700.77484,1394.97168,164,114.83833,304749
59.997,551,1624.74222,1500.90514,186,106.87333,275111
59.997,590,1703.31759,1628.5011,158,86.85667,295229
60.001,580,1699.27805,1460.41169,168,87.71,291308
59.99,586,1681.81646,1582.02252,159,84.70833,293441
59.996,560,1663.9489,1542.01008,152,73.21,279929
60,603,1667.19729,1569.89174,144,69.795,302580
59.998,596,1696.97427,1644.10318,126,82.98333,298772
59.991,611,1673.25726,1506.90127,179,114.095,306014
60.001,562,1643.11321,1570.19276,158,78.05167,281515
60.003,608,1639.90709,1551.6998,159,111.08833,303881
59.992,522,1667.83697,1624.65119,176,145.63167,260101
60.002,556,1643.85952,1444.64366,157,117.10667,278180
59.995,528,1703.53737,1563.39147,164,132.19167,265480
60.004,604,1692.41804,1598.11477,152,97.44667,302804
59.998,598,1636.74244,1438.84128,186,81.515,299409
59.993,528,1650.36906,1578.80003,115,75.79167,264481
59.995,600,1683.44791,1549.23588,151,62.60667,300554
59.993,577,1682.3503,1571.88528,145,87.06333,289351
60.001,515,1663.10297,1526.17828,167,128.33333,258724
59.997,594,1709.36811,1576.62158,132,72.66,297923
60.002,634,1685.00859,1612.54964,133,55.77833,317695
59.993,576,1670.84334,1370.25241,166,92.12833,288601
59.995,523,1642.20706,1601.71765,154,77.61833,262537
59.991,561,1657.28914,1383.35733,198,119.32333,281391
59.991,588,1670.58034,1602.86957,124,68.30167,294277
60.001,574,1660.35789,1520.86919,170,97.55667,287142
59.998,578,1668.95859,1604.55903,127,90.64,289767
59.992,613,1652.58927,1430.25304,157,98.47333,306362
59.994,577,1657.59796,1578.02381,119,59.96,290130
59.999,600,1660.4599,1549.2374,156,103.44167,300755
59.998,704,1686.35866,1625.82358,131,71.845,351526
59.992,545,1647.31917,1503.28835,172,127.10833,271869
60.003,634,1694.63768,1575.18313,187,91.12,317600
59.991,559,1699.8317,1578.41488,182,113.8,281097
59.996,544,1655.67733,1438.59837,156,113.76333,271778
60.001,580,1698.05569,1544.9828,158,112.29,291093
59.999,608,1679.33242,1606.85786,142,74.30833,304291
60.001,548,1653.28488,1552.44368,165,72.96833,274344
59.999,564,1649.84042,1481.89297,184,80.56333,282878
59.996,525,1648.23526,1524.80863,133,75.98167,262801
59.995,560,1650.66493,1373.89262,167,118.47167,281507
59.998,535,1649.03426,1416.71055,182,128.98,268652
59.99,593,1703.4351,1659.69801,194,105.46667,296534
60,570,1655.59014,1522.7706,141,115.45167,284942
60.003,541,1645.23658,1590.59551,145,87.07667,271201
59.992,523,1642.84368,1510.67516,127,71.96667,261798
60,603,1660.04354,1412.11704,171,102.21,301798
60.001,546,1674.37451,1534.20311,183,126.50333,273108
60.004,532,1702.09554,1604.35584,174,92.69833,266243
60.006,510,1622.13184,1440.23847,185,90.36167,256134
59.993,555,1699.84954,1528.65227,133,97.39167,278022
59.998,575,1724.91604,1472.52131,175,108.54833,288746
59.996,527,1692.34396,1523.01277,165,98.52,264579
60.002,561,1684.07531,1553.71985,148,72.67333,280557
59.992,639,1744.97613,1532.91944,160,83.80833,319187
60.003,555,1685.26989,1521.82789,156,105.31167,279299
59.998,640,1696.89147,1547.85635,148,117.36667,320224
59.998,632,1660.47963,1450.4956,135,108.73,316728
59.99,558,1668.92587,1609.83496,148,104.32333,279574
59.993,543,1698.30715,1614.58251,155,97.465,271589
59.993,598,1674.84906,1605.27963,181,87.88833,298929
59.994,593,1689.73454,1612.41885,139,62.21,297614
59.997,561,1670.01824,1533.67519,161,91.52833,280983
59.999,594,1675.20092,1544.3173,162,97.37833,296662
59.998,579,1663.4506,1389.84931,153,119.16667,289557
59.99,574,1699.97456,1599.51302,156,112.865,287713
59.995,540,1677.87985,1519.94729,157,70.315,271266
60.004,586,1688.72962,1553.7135,154,96.31833,293126
59.996,569,1679.92636,1592.61861,170,135.80167,285923
60.003,591,1704.94071,1492.35834,155,80.80167,296526
59.998,515,1646.20597,1546.90223,184,124.985,258751
59.991,578,1660.63806,1535.95198,165,118.53667,289531
59.998,555,1681.48859,1594.01486,149,105.53,278376
59.993,662,1694.68511,1606.05328,136,78.655,331533
59.996,588,1671.97753,1600.34583,173,93.235,294663
59.995,526,1684.64294,1411.38705,186,147.345,263210
59.993,512,1620.68234,1480.20834,162,86.34667,257131
60.003,601,1705.40923,1493.79836,155,99.16667,300540
60.003,560,1695.93005,1599.17348,164,101.19,280689
60.001,484,1664.49583,1583.32393,177,96.915,243456
59.991,550,1682.29521,1469.92272,193,153.37333,275908
59.99,591,1714.46606,1558.86249,146,109.43167,295517
60.002,559,1732.48183,1618.9736,152,96.62,280275
59.992,561,1637.856,1594.76176,135,66.07333,282297
59.99,502,1659.40062,1561.2749,177,136.55167,251909
59.994,557,1630.73353,1532.96001,164,95.38833,279111
60,567,1637.44215,1524.1164,166,71.865,284316
59.995,585,1708.33508,1593.36732,150,76.16,292538
59.999,587,1687.854,1556.00402,168,119.09,293743
60.004,611,1665.50444,1511.6499,178,99.09833,306888
59.992,605,1679.03856,1463.9133,145,92.00833,302863
