secs,gens,bestfitness,meanfitness,maxcomplexity,meancomplexity,evalcount
60.004,623,1641.15896,1449.38682,121,59.52167,312338
59.99,577,1641.46658,1559.49457,131,67.2,288946
59.996,577,1659.62317,1384.48651,109,84.85,288479
60.003,621,1625.40676,1297.26236,134,107.94167,310931
59.99,633,1613.42512,1459.2078,132,65.46667,316776
59.994,558,1659.2854,1608.06993,115,74.85,279921
59.991,627,1641.75805,1288.05927,165,124.195,313518
59.997,588,1684.67332,1561.30466,137,84.38167,293859
60,531,1650.09892,1591.62474,141,74.03833,266311
59.991,562,1674.16305,1502.20905,203,97.135,281525
59.997,558,1644.5436,1416.97794,182,105.67,280484
59.995,585,1682.24349,1523.07421,163,93.78333,292699
59.993,574,1646.78749,1428.54648,162,94.03167,287083
59.99,598,1672.231,1325.69779,161,125.07333,301476
59.997,574,1646.29807,1479.61542,156,72.85833,286549
59.999,596,1599.47263,1341.33905,114,78.675,297685
59.996,571,1637.48056,1549.2079,135,57.09167,286589
59.992,613,1640.63412,1405.44196,145,127.14167,307054
60.003,608,1644.33842,1270.16441,164,96.14333,305636
59.99,586,1686.07085,1505.78485,166,93.445,293733
60.004,639,1624.50856,1573.43319,139,67.77333,319752
59.996,550,1641.74253,1563.57369,147,106.27667,275602
59.99,576,1631.04777,1401.76489,141,83.43167,288411
59.998,634,1641.84081,1430.99994,170,103.73667,316272
59.998,583,1649.36944,1548.92559,154,48.62333,292357
59.994,623,1662.71025,1255.22016,161,129.66,312147
60,551,1609.52962,1363.75356,158,95.57333,276383
59.99,559,1610.21084,1308.98436,155,121.68167,280412
59.997,549,1653.80958,1572.21349,153,97.73833,275500
59.995,545,1737.70008,1626.58853,128,87.32167,272922
59.995,621,1682.92478,1516.59382,140,66.26167,311521
59.997,536,1642.17035,1541.10504,127,59.12,268277
60,557,1622.43071,1555.99884,141,67.47833,279615
59.99,562,1660.14997,1587.45026,179,94.76,281644
59.997,604,1683.04139,1607.28086,127,84.665,303546
60.003,601,1658.17127,1569.13625,123,59.53833,301594
60.001,558,1657.97796,1406.32697,160,75.64,280589
60.003,567,1673.01277,1588.47894,121,80.94667,283804
59.99,603,1631.02829,1511.81751,160,82.685,301470
59.994,560,1659.89308,1415.27402,160,75.16833,281249
59.992,543,1645.87219,1371.21601,143,110.23667,273102
60.002,575,1667.60916,1459.20001,165,95.43,288597
59.998,527,1682.68646,1333.43716,159,126.52667,264413
59.997,563,1638.46796,1452.16705,169,59.685,281095
59.996,556,1668.91319,1613.12665,174,59.84833,279299
59.998,569,1630.94318,1437.56846,166,98.63833,284846
59.996,602,1657.64979,1597.64126,164,81.03167,301304
59.99,531,1613.28089,1423.79294,157,110.175,266087
59.999,547,1682.38828,1640.7504,163,85.13333,274047
60,608,1682.5728,1540.33833,162,97.935,305403
59.998,584,1660.55948,1425.42484,175,106.44833,293615
59.99,544,1624.90077,1433.38056,174,81.02667,272101
59.995,560,1661.68784,1441.73632,156,105.77667,280954
60.001,646,1655.90084,1462.63346,153,106.78833,323245
59.995,615,1682.87778,1570.48703,148,131.38167,308294
59.991,571,1693.24356,1538.05186,127,88.35667,286464
59.998,604,1599.62648,1350.2357,173,104.87167,302615
59.999,502,1691.66389,1498.99215,164,66.80167,251095
60.003,603,1628.42177,1365.04367,126,79.07,303001
59.993,584,1695.61014,1505.10471,147,108.045,293571
59.99,575,1599.38466,1396.99156,138,90.60167,287233
60.003,562,1679.84394,1496.27729,168,108.405,281710
60.002,499,1671.22944,1522.72744,156,86.805,250619
59.991,602,1744.51216,1638.35793,112,72.605,301447
59.99,572,1622.35195,1399.36752,169,137.08833,286069
59.993,628,1653.90662,1526.12471,170,109.31667,314817
59.996,568,1654.3872,1567.3209,163,107.51167,284053
60,554,1609.33902,1443.04559,156,64.76333,277139
60,598,1617.52119,1376.38561,136,92.65833,299115
59.999,609,1667.34876,1551.12667,118,60.66167,305519
59.994,619,1650.64911,1538.90123,150,80.325,309825
59.993,621,1660.08863,1374.54169,140,94.36,310864
59.996,603,1669.39983,1507.90811,134,80.05667,301056
59.991,582,1681.07264,1562.65236,118,52.36333,292298
59.996,560,1613.44781,1480.88366,133,76.19333,279652
60.004,559,1641.8982,1435.71655,160,110.40167,279424
59.999,561,1656.04956,1482.86242,192,85.205,281894
59.99,576,1624.77553,1471.29356,128,85.18833,288834
59.995,560,1651.87047,1607.14085,169,120.99333,279669
59.996,571,1669.11148,1571.87552,157,88.55333,287374
59.991,575,1663.85635,1449.77799,178,108.09167,288321
60.002,624,1664.23292,1492.84615,117,64.525,313156
59.992,577,1650.15549,1451.93823,155,98.55667,289030
60.001,581,1616.91685,1456.73151,188,75.90333,290851
59.991,551,1637.26009,1610.25341,126,97.74333,276369
59.99,555,1654.28469,1597.36021,139,79.69,277646
60.001,651,1714.66175,1395.62654,147,94.81333,326143
59.991,707,1641.80184,1457.15746,125,57.46167,353910
59.997,517,1624.50128,1504.4855,144,84.34167,258645
59.99,558,1637.09345,1353.24908,181,87.15333,279931
59.99,562,1599.5183,1406.14885,166,95.94833,282264
59.995,596,1627.42101,1480.04869,155,101.4,297937
59.99,545,1631.25875,1323.20656,177,115.6,273675
59.99,536,1612.61403,1541.82666,188,65.77833,268214
59.99,581,1647.12268,1382.02962,127,87.57167,291122
59.992,561,1610.64971,1587.8904,119,92.04167,279998
59.993,491,1635.04231,1598.25605,160,140.08833,245511
59.995,566,1600.78125,1362.0615,141,76.825,283817
60.001,625,1667.17433,1527.70778,162,79.81167,312975
60.001,645,1690.0857,1508.51452,141,82.87333,324476
59.996,548,1646.90614,1231.98352,141,75.90833,274787
59.999,615,1632.67367,1347.69412,118,78.52,306686
60.001,535,1599.44729,1336.15449,156,93.50667,268406
60,584,1636.02222,1234.08184,165,121.62167,292711
60.001,565,1617.50466,1440.68385,151,76.88667,283492
60.001,623,1679.32701,1575.21007,128,64.495,312550
59.992,538,1651.16146,1502.11926,171,76.97833,269037
59.99,532,1714.19733,1544.62593,153,90.02167,266214
59.999,602,1667.98021,1535.7279,154,65.98667,301347
59.99,602,1673.28991,1559.1905,169,57.23,301022
60.002,622,1629.65941,1585.10431,168,92.62833,311396
60.003,595,1644.50582,1308.68075,141,108.28,299154
60.002,574,1636.72281,1492.91828,178,81.70167,288124
59.992,591,1650.03361,1564.15159,125,64.30167,295668
59.99,538,1648.09207,1554.94533,124,78.65667,270282
59.998,603,1672.58355,1495.18245,179,120.805,302099
59.996,571,1651.26199,1499.09986,136,72.47333,286771
60.002,573,1657.58728,1262.69667,195,139.255,286992
59.997,625,1643.22254,1540.88562,174,124.45667,313262
60.001,590,1632.71314,1332.80177,152,103.76167,294552
59.994,543,1663.5136,1500.83903,128,68.31167,271582
59.993,655,1647.06835,1444.44552,145,89.39333,326627
60.003,580,1636.16644,1545.93479,175,106.79167,290932
59.99,556,1637.36386,1544.62121,182,98.46833,278504
59.995,603,1611.79576,1570.00521,144,80.23333,300693
59.995,469,1607.89142,1581.07188,159,88.51333,234744
60.002,561,1632.73658,1325.53172,201,150.45667,281359
