secs,gens,bestfitness,meanfitness,maxcomplexity,meancomplexity,evalcount
60.001,468,1626.13484,1439.95836,115,55.09,233573
60.004,437,1630.07628,1508.86158,97,55.285,219318
59.999,372,1626.86966,1502.98266,127,55.13167,186696
60,404,1599.58882,1366.95061,107,80.54167,201266
59.993,390,1670.62463,1567.02199,123,69.98833,195111
59.998,419,1670.95006,1451.12578,99,58.80833,209941
59.999,400,1674.16341,1543.12696,131,69.385,199732
60.001,366,1626.62731,1541.08531,114,85.455,183400
60,391,1608.31435,1540.78897,113,43.20167,195734
59.992,388,1632.29492,1351.23491,91,73.705,193819
60.003,418,1619.91683,1343.74118,103,84.34833,208975
59.99,422,1667.58269,1571.54713,119,72.54167,210638
60.004,423,1623.86192,1540.61196,96,49.24,211688
60.001,425,1647.4255,1546.76267,112,48.825,213158
59.993,361,1641.26162,1310.95541,115,93.70333,180645
60.004,414,1634.65387,1522.62221,83,51.76667,206878
60,401,1608.84031,1436.76218,117,65.20833,200298
59.997,377,1608.7508,1537.41652,114,59.03,187932
59.999,441,1607.09461,1311.37509,122,53.20667,220775
59.992,407,1619.00133,1480.46795,112,50.54833,202533
59.995,355,1612.40704,1504.38245,124,87.56,176677
59.993,401,1619.20368,1540.68566,112,63.48,200342
60,380,1616.11067,1468.42112,120,60.02167,189888
59.998,375,1599.59082,1487.53207,121,48.505,186607
59.999,394,1605.64497,1564.84135,118,80.44667,197095
60.001,402,1618.80995,1535.3925,128,62.415,200683
60.001,458,1641.07894,1558.99219,87,48.865,228417
60.001,408,1659.40351,1235.69476,127,92.21667,204443
59.991,406,1647.91519,1449.34729,121,71.955,202625
60.001,426,1635.9861,1486.52114,135,95.07167,212495
59.992,434,1623.09842,1371.01599,109,61.05167,216997
60.001,398,1619.04078,1538.39811,132,71.81667,198936
59.991,419,1608.82582,1510.82898,101,37.06167,209438
59.996,396,1631.44015,1540.42634,108,60.88667,197701
60.003,416,1639.40755,1481.42896,117,82.21167,207439
60.001,435,1641.76968,1572.34681,110,68.56833,216638
59.998,453,1607.63203,1419.80884,115,50.01333,226066
59.99,490,1667.59049,1562.08103,104,68.28833,245158
59.995,444,1602.78844,1307.89276,116,61.69833,221775
59.994,441,1617.73559,1508.41419,107,79.205,219599
59.991,446,1659.10252,1580.76238,109,77.845,223089
60.004,461,1643.71305,1512.20359,107,40.45167,230194
60.004,440,1646.38879,1554.24205,134,47.68333,220241
59.998,390,1649.19432,1424.21421,138,53.5,194845
59.998,437,1612.35101,1429.58583,151,62.575,218852
59.997,384,1629.26962,1487.86216,110,80.19,191227
60.004,422,1639.65864,1546.76488,101,58,210749
60.001,443,1646.76739,1477.25351,99,60.18167,220896
59.993,460,1641.31058,1514.16057,106,53.74667,229795
60,365,1603.58783,1574.01394,103,79.14333,182552
59.997,436,1599.583,1294.16446,118,82.60333,218746
59.996,434,1619.51513,1364.8163,112,76.79,216842
59.995,401,1612.6415,1485.87233,86,49.76,199428
60.002,426,1659.87553,1464.46858,117,59.72,212940
59.991,420,1613.97885,1379.11252,97,50.20167,210020
60.001,420,1626.64366,1521.24938,90,62.495,210006
59.993,420,1639.66302,1449.93655,107,69.26167,210649
60,419,1599.57416,1302.90964,119,69.77333,209040
59.992,429,1628.22591,1444.28521,127,55.73167,214317
60.003,484,1627.23446,1572.03086,111,63.63833,241589
59.999,478,1671.0871,1422.80278,126,61.97667,239242
60.001,412,1621.94117,1518.49733,101,58.34833,207049
59.992,410,1623.28306,1525.49759,120,72.22833,204500
60.004,456,1625.14211,1524.61131,106,59.78833,227063
60.002,438,1599.57772,1342.30148,133,81.56,218334
59.993,454,1645.60269,1559.45085,111,57.77333,226444
60.004,450,1639.22338,1383.11952,95,48.745,224104
59.998,403,1613.3813,1578.27153,113,79.40667,201175
60.004,466,1630.21584,1412.0706,108,81.07833,232517
60.002,443,1667.14191,1457.5313,121,70.81667,221926
59.995,422,1649.95044,1525.42031,102,50.99,210471
59.991,413,1659.64829,1460.32429,129,70.095,206730
59.993,456,1659.10844,1540.22222,100,44.81667,228050
60.001,411,1638.1847,1412.7041,117,61.72,205189
59.992,448,1606.53558,1518.29178,84,54.10333,223595
59.992,434,1623.61215,1555.7669,115,61.45333,216841
59.996,452,1635.33256,1364.54139,117,76.31167,226364
59.992,401,1638.43633,1560.37947,123,48.16,201334
60.002,461,1639.41653,1580.96282,111,69.40833,229871
59.991,418,1632.54116,1494.48603,115,57.01,209084
59.993,437,1661.9291,1448.26022,113,63.97833,218887
60.002,441,1651.28719,1481.06605,117,63.33,219385
60.001,402,1636.50633,1533.28821,121,69.775,200827
60.002,465,1613.94849,1431.514,101,56.97167,232594
59.994,412,1612.85386,1514.58593,112,59.63833,205564
59.99,453,1646.34177,1436.89425,145,67.60667,226118
60,386,1599.56709,1305.22541,128,87.51833,192920
59.993,418,1628.75315,1548.09244,106,48.03333,208692
59.999,462,1635.80167,1501.57439,112,80.12833,229391
59.99,491,1636.37034,1499.31111,85,54.34667,245039
59.994,459,1611.95655,1499.72337,89,66.17167,228930
60.003,466,1642.25504,1556.91595,108,64.955,232413
59.994,414,1671.06441,1612.08265,108,77.18333,206844
59.998,474,1646.51893,1546.9844,100,58.15667,236472
60.001,411,1639.15541,1544.88907,116,55.815,204839
59.99,416,1606.26113,1321.59425,120,75.155,208400
60.002,353,1600.65958,1469.34608,104,73.11167,176912
59.994,462,1628.17635,1429.76775,105,58.44,231102
59.991,425,1616.9153,1567.90719,117,54.905,212375
59.995,479,1640.59983,1593.6939,120,48.615,239831
59.998,435,1664.73,1370.20234,105,72.75167,217456
59.991,435,1651.41347,1384.01238,89,64.125,217014
60.001,416,1627.50987,1516.44739,105,51.26667,208249
60.004,390,1614.16861,1502.68014,149,96.595,194887
60.001,384,1624.47737,1558.60056,117,58.215,192390
59.991,425,1627.16242,1581.33699,138,60.43833,212565
59.99,485,1619.58257,1308.86098,105,58.165,241822
60.001,413,1646.04599,1392.3146,151,95.50167,207229
60.003,383,1618.20344,1482.17967,110,52.85833,190853
60.001,432,1617.48526,1435.63106,88,52.27667,216326
60.003,425,1616.59875,1537.38246,143,54.00667,211545
59.997,379,1599.609,1478.18121,131,80.29,189348
60.001,423,1650.6212,1471.90822,101,54.25,211481
59.99,438,1610.84455,1533.24135,133,49.32167,218709
59.99,430,1641.16292,1479.41969,108,52.63833,214192
60.004,424,1617.46196,1344.0747,120,44.75833,212312
59.992,425,1614.52677,1542.17914,115,81.21,212700
