secs,gens,bestfitness,meanfitness,maxcomplexity,meancomplexity,evalcount
59.995,667,1607.58396,1394.88673,149,94.84667,332890
59.995,670,1599.99498,1311.08752,173,100.14167,334687
59.991,651,1648.02621,1379.67269,148,94.445,327220
60.001,679,1695.44521,1514.86014,109,52.97667,340347
59.99,613,1645.56589,1358.57763,141,92.92333,306351
59.994,597,1646.12011,1532.67925,194,99.74333,299190
59.998,593,1633.04762,1464.90571,194,94.61833,296622
59.99,627,1622.21929,1284.44948,178,100.7,313456
59.994,717,1609.81309,1537.01323,106,78.63833,357858
59.99,639,1665.21913,1338.33089,168,127.19333,319723
59.99,645,1657.12408,1363.9124,155,98.095,323900
59.997,573,1599.99818,1431.33669,153,66.06667,287411
59.993,603,1644.92782,1351.21523,183,96.345,303068
59.993,612,1640.10521,1389.1185,199,117.48167,306365
59.993,574,1614.26978,1255.43342,191,127.295,287825
60.003,651,1635.28228,1323.66698,175,116.04333,325922
60.001,658,1599.99992,1366.59596,157,93.34667,328837
60.001,655,1659.97158,1396.496,181,95.81333,327931
59.997,570,1623.68307,1497.15414,162,127.47667,285357
59.99,715,1666.28963,1341.04139,149,94.26833,357210
59.994,643,1599.99877,1315.6325,138,85.91667,321779
59.992,581,1627.4146,1390.11126,168,78.82,291089
59.995,675,1641.55328,1526.49196,147,113.56833,337374
59.992,718,1655.32414,1444.16481,127,73.485,358839
59.99,645,1686.67368,1387.37634,162,118.37667,322595
59.991,633,1677.64625,1530.76579,186,108.47333,317877
59.992,670,1624.86363,1463.30069,205,60.16,334498
59.995,699,1633.38863,1427.0114,146,78.32,349320
60.002,620,1666.14808,1436.20164,155,87.94,309830
59.991,653,1653.19204,1509.2816,183,57.50667,327117
59.996,666,1628.68942,1506.64395,140,61.69,333460
59.992,611,1629.6194,1345.66386,158,102.6,306709
60,638,1599.99933,1344.12688,153,93.93167,318846
59.992,657,1655.53622,1454.93516,146,75.74333,329110
60.001,678,1636.98943,1374.99507,135,90.37167,339262
59.998,671,1662.28624,1260.0407,172,113.63,337176
60.003,638,1663.31326,1309.67375,156,118.105,319118
60.001,717,1656.37917,1316.64666,154,113.34167,357704
59.999,619,1636.41379,1248.59456,151,93.94833,308903
59.996,697,1624.21317,1447.8149,127,62.175,347894
59.99,624,1648.08318,1558.84329,158,90.54833,312547
59.991,626,1655.56661,1336.46159,205,145.98833,314027
59.997,598,1640.53704,1449.10214,159,120.015,299302
60,589,1639.87014,1493.18379,124,60.94,294573
60.001,611,1644.96998,1283.23429,173,124.36,305890
60.003,635,1620.41844,1289.61244,165,107.99667,318445
59.998,647,1650.67006,1498.97828,155,77.135,323385
59.995,666,1656.23675,1409.6694,135,108.19167,333529
59.993,635,1599.99988,1298.20842,172,121.875,317770
59.996,642,1659.68598,1362.71337,165,100.58333,321847
59.998,744,1634.72172,1499.73576,144,72.56,370873
60.003,638,1634.29532,1206.25622,167,124.06,319259
59.995,635,1641.5261,1306.71601,187,161.80167,317543
59.997,596,1604.94975,1327.81259,151,92.695,298932
59.99,632,1639.34565,1388.66568,172,120.535,315809
60.001,601,1599.99544,1228.02901,193,110.75333,301022
59.998,693,1634.52362,1524.44101,140,109.45667,346153
59.992,685,1636.78351,1417.13996,178,69.01333,342115
60.004,714,1612.79395,1493.7943,132,69.15333,357682
60.001,612,1661.53815,1429.66156,157,82.55,306102
59.998,680,1621.61528,1489.61603,154,71.20667,338998
59.993,665,1599.9991,1447.64926,148,72.66667,333634
60,641,1599.99999,1351.0332,159,93.63,319898
59.994,678,1622.18852,1526.59878,125,50.78,339593
59.996,653,1621.34819,1348.0059,171,95.27833,327858
60,623,1717.72262,1524.89182,180,84.14333,311392
59.994,706,1608.49827,1323.6428,176,136.145,353405
60,660,1695.44321,1400.14996,197,125.27167,331386
59.995,634,1646.30183,1316.01522,162,130.07333,317578
59.995,695,1654.40912,1291.27644,153,131.21,347980
59.993,660,1623.5848,1480.06259,158,65.455,329941
60.001,675,1611.22605,1272.67403,167,107.35833,337494
59.991,582,1626.93306,1482.37568,181,129.82,292061
59.991,698,1599.99723,1248.07495,159,101.675,348418
59.99,639,1627.68578,1587.73545,182,114.66333,319184
59.993,657,1638.22127,1304.38849,141,93.36667,328720
59.99,599,1615.75421,1346.18516,171,108.375,301068
59.996,714,1599.99999,1373.51437,162,77.30667,357094
59.997,707,1631.8975,1473.56991,143,70.01333,352493
59.996,644,1616.51387,1275.67745,152,112.44167,321713
59.994,608,1607.5472,1312.78447,144,115.655,304725
59.996,648,1632.66228,1276.65834,163,104.95167,324415
60.002,648,1646.7997,1430.89577,188,98.07,324444
59.994,674,1629.59198,1418.9719,159,66.835,336312
60.003,661,1599.99991,1410.9838,143,71.235,329385
59.998,660,1599.99955,1379.38424,135,69.17667,330290
60.002,603,1624.21534,1319.65075,179,90.38,302407
59.995,668,1599.99999,1427.40078,144,66.90667,335597
59.998,675,1633.79413,1414.5693,147,93.62833,338258
59.99,625,1622.20045,1292.63056,159,132.82,312518
59.997,598,1599.99969,1294.27116,160,97.74167,299525
59.999,672,1660.20117,1467.47187,167,89.76167,336975
60.004,608,1601.66504,1380.87661,155,91.895,304024
60.001,596,1650.87067,1500.44701,166,76.73167,299580
59.99,674,1611.96713,1326.66456,168,80.99333,336821
59.993,583,1599.99792,1290.55069,150,95.42167,292784
59.997,721,1648.81017,1316.91619,146,108.27333,358906
60,648,1599.99988,1366.17585,168,88.735,324180
59.995,570,1599.99966,1292.43576,149,74.875,285887
59.99,633,1646.35477,1395.45395,166,115.71167,317491
59.993,726,1627.23691,1558.44589,121,82.02333,364098
59.998,666,1657.18519,1531.6567,165,85.905,333552
59.993,667,1656.28311,1376.69569,160,93.59333,333339
59.992,648,1614.5051,1276.97286,159,86.22667,322888
60.003,657,1608.85914,1259.55047,151,107.79167,327501
59.999,632,1599.99788,1284.53611,147,89.24,315613
59.99,646,1630.48904,1529.16275,181,62.05167,323556
