secs,gens,bestfitness,meanfitness,maxcomplexity,meancomplexity,evalcount
59.99,640,1679.06885,1606.44544,106,82.755,320059
59.99,511,1660.45403,1601.62677,137,71.605,256659
59.999,567,1650.95266,1343.97372,128,90.975,282257
59.991,476,1615.17255,1587.47664,157,115.70333,238598
59.994,571,1629.78614,1512.25838,153,68.04167,286249
59.999,509,1640.40222,1562.67837,145,58.88833,254881
60.003,487,1646.81852,1529.65948,149,72.77333,242843
59.994,546,1635.92221,1452.68637,150,85.645,273056
59.996,553,1648.96416,1428.7684,168,117.57833,277386
60.001,526,1655.73919,1619.66775,141,101.76833,263239
59.997,486,1621.43293,1527.74513,123,75.53833,243111
60.002,592,1672.12245,1441.56991,126,79.36167,296940
60.004,559,1643.19183,1545.70051,141,58.65333,279986
59.998,626,1624.10035,1594.98051,127,77.27333,312551
60.003,483,1615.6822,1333.0252,148,110.065,241702
59.994,558,1624.84942,1566.66249,132,88.55333,279295
60.001,544,1648.75823,1587.18168,120,64.28667,272817
60.004,642,1657.42144,1414.3143,122,81.41167,320761
59.99,504,1650.18279,1498.72713,170,107.40833,252080
60.004,613,1669.80144,1497.63343,160,99.855,306509
59.996,544,1686.27209,1442.57792,147,106.26167,272600
60.003,556,1663.81227,1467.94194,153,77.53833,278797
59.999,508,1644.81727,1511.67751,137,71.89333,254401
59.996,485,1637.39439,1387.81868,164,137.01333,242442
60.004,544,1697.8313,1431.14887,149,89.50167,272103
59.998,607,1628.11245,1502.45422,146,106.93,302878
59.996,521,1653.81423,1548.8763,167,100.12333,260434
59.999,491,1620.04028,1533.35916,136,78.39167,245123
59.992,536,1678.00425,1588.32478,149,105.77,267843
59.997,523,1631.13493,1594.1907,150,76.545,262106
59.999,597,1672.40327,1542.45672,122,80.275,299118
59.991,572,1631.05889,1498.98631,126,76.875,285781
60,607,1677.59008,1556.80506,127,56.595,304201
59.99,564,1640.74018,1571.4844,155,97.15167,282923
59.996,563,1623.92544,1466.12274,130,71.46167,281816
59.99,543,1625.06182,1538.65241,138,72.92,271568
59.99,568,1634.70913,1403.62439,125,91.83333,283631
60.002,596,1656.90535,1348.62153,113,73.19667,297130
60.003,519,1637.17194,1481.1059,139,91.25167,258972
59.993,557,1620.68017,1328.6784,149,111.42,278609
59.995,582,1671.62676,1573.21597,144,96.90833,291846
60.004,460,1599.61261,1316.40209,167,103.32,230694
59.999,611,1622.43974,1374.78243,125,80.30167,305559
59.992,483,1649.10054,1604.83025,144,62.78,240841
60.003,537,1645.51805,1446.47109,134,96.18333,268935
59.992,513,1655.39063,1562.25097,132,60.03667,257058
59.992,568,1632.90486,1561.32751,111,65.875,283595
60,541,1669.28576,1429.20534,164,99.775,270477
59.997,539,1676.34656,1325.5324,150,112.43667,269483
59.99,564,1629.00148,1381.40895,125,74.44333,282994
59.999,508,1631.0576,1531.64171,185,65.27,254272
59.997,523,1599.64384,1547.37881,122,42.985,261916
59.992,505,1613.01231,1460.88752,155,122.18333,251646
59.99,560,1637.10609,1425.19984,152,100.41167,280768
60.004,553,1673.87282,1483.9468,165,82.67,277488
59.994,528,1653.57276,1435.40185,158,94.345,264610
59.994,506,1629.77604,1478.18042,116,65.25667,254081
59.992,525,1698.86871,1539.94159,155,115.01167,263441
59.999,545,1641.07183,1380.88755,143,84.815,272513
59.994,532,1666.6299,1534.40881,123,71.30333,266217
59.996,608,1621.37513,1559.79736,117,56.21833,304328
59.996,546,1625.57563,1494.1237,139,68.875,272477
59.999,573,1641.51935,1494.42816,144,86.36667,286791
60.002,508,1658.45595,1448.24946,152,80.335,253477
60,591,1665.74451,1301.27951,166,119.715,296068
60.002,552,1668.98189,1450.92336,151,103.27,277674
59.998,558,1635.28061,1330.97703,144,105.785,279850
60.003,542,1675.87909,1580.49003,134,78.23667,272545
60.002,511,1669.43359,1588.05972,132,60.94833,256357
60,527,1646.45431,1350.49971,185,114.85667,264461
60.001,531,1642.04438,1337.62405,142,103.34833,265054
60.001,612,1647.53084,1546.17969,133,85.045,307209
60,549,1673.36966,1554.27046,115,92.41667,275496
59.99,508,1599.63076,1341.97662,142,73.72167,254338
60.003,554,1637.61341,1461.84872,110,71.53833,277686
