secs,gens,bestfitness,meanfitness,maxcomplexity,meancomplexity,evalcount
59.992,609,1664.41011,1560.63764,134,77.54167,305505
59.99,565,1652.49328,1602.9604,165,115.56833,282412
59.994,636,1673.19316,1607.02898,160,101.92,317956
59.99,597,1689.22117,1585.40213,182,67.77667,298530
59.99,535,1697.31717,1591.0705,148,55.59167,267907
59.991,583,1697.92773,1573.75571,183,87.76,292692
59.998,587,1696.41193,1583.84186,192,117.97667,294319
59.99,598,1709.74781,1649.26105,173,82.47,299113
60.003,548,1631.38902,1521.6212,184,132.945,275248
59.99,592,1665.14231,1531.56406,176,69.23167,296279
59.997,619,1665.49129,1322.45221,131,66.22333,309656
59.995,570,1653.98774,1467.62075,179,124.46667,285290
59.999,629,1677.19767,1581.99719,155,109.87333,314874
59.993,600,1685.59298,1620.90214,159,100.86833,300172
59.999,585,1664.41251,1496.02105,125,110.79167,293637
59.991,630,1680.3111,1599.36441,149,90.80833,315500
59.992,639,1696.71124,1595.15353,162,101.68333,319194
60.002,610,1638.15698,1442.68672,178,92.32667,306074
59.99,574,1658.12786,1580.24105,209,109.98,288028
59.99,659,1665.75436,1566.88431,132,76.25333,330496
59.99,584,1703.35234,1475.59499,153,109.71,293013
59.996,636,1657.44275,1567.82732,142,78.65667,319378
59.99,628,1693.71743,1603.27632,172,108.76667,314894
60,622,1662.06301,1439.74898,169,93.21,312110
59.99,636,1676.77765,1473.39818,178,134.64667,319028
59.994,582,1653.64825,1557.00421,203,133.885,290348
59.999,598,1639.04466,1561.2909,133,84.96833,299465
59.99,609,1703.20547,1553.24537,153,70.58333,305425
60,641,1722.73115,1613.207,146,98.03667,321001
60.002,648,1657.84324,1495.03471,132,84.50167,323399
60.004,570,1641.44255,1529.09072,150,44.73667,285324
59.998,661,1665.68673,1498.59337,138,96.26667,330558
59.99,599,1664.69541,1628.41626,152,95.38333,299840
59.99,678,1690.63871,1464.74774,162,73.62667,339892
59.99,603,1668.28191,1569.14629,168,78.62333,301715
59.99,589,1678.52694,1556.63137,167,106.83,294007
60,602,1653.11485,1304.11681,146,105.38167,301862
