secs,gens,bestfitness,meanfitness,maxcomplexity,meancomplexity,evalcount
59.99,598,1606.58124,1386.376,137,71.74333,298321
59.99,533,1634.98558,1304.32297,156,113.87167,265724
59.99,649,1642.9575,1455.65657,110,56.25333,324349
59.99,578,1631.59581,1283.45768,134,97.54333,288705
59.99,528,1668.08364,1426.37682,155,86.29333,264477
59.99,577,1613.57378,1365.68835,118,74.40667,287941
59.99,566,1599.99643,1389.79974,113,87.61333,282917
59.99,573,1652.62171,1292.89405,149,111.54667,286659
59.99,632,1617.69407,1352.47986,96,56.08833,315612
59.99,603,1610.12299,1333.28089,150,78.48167,301187
59.99,562,1651.93316,1349.24607,113,71.76833,281371
59.99,557,1620.1775,1306.87706,159,73.97333,278311
59.99,584,1643.58346,1460.72067,130,60.40667,291673
59.99,564,1630.30955,1465.51981,138,106.22667,281836
59.99,582,1631.87421,1317.9097,157,113.45333,291221
59.99,614,1613.60391,1540.93194,114,91.24,306828
59.99,590,1631.99647,1323.97696,151,109.125,294735
59.99,613,1632.47778,1342.36432,132,88.14333,306413
59.99,571,1622.80253,1466.08491,130,58.01167,285584
59.99,548,1632.79788,1463.50252,157,68.15833,273723
59.99,553,1627.83028,1300.30848,156,81.91333,276094
59.99,566,1618.83212,1337.57906,170,99.51333,283318
59.99,558,1669.32496,1397.81801,174,69.09833,279157
59.99,610,1634.28208,1236.9423,137,103.845,303961
59.99,544,1616.57254,1312.95442,140,86.73833,271647
59.99,544,1657.53218,1504.70612,138,60.03,271787
59.99,601,1615.36158,1429.02467,133,74.17667,300621
59.99,546,1626.14012,1520.39349,173,65.76667,273223
59.99,556,1617.48514,1281.69107,162,102.62667,278268
59.99,523,1623.98765,1444.2177,132,99.22,261791
59.99,605,1626.87204,1266.59039,172,126.205,302838
59.99,663,1625.84153,1398.03979,124,73.35167,331163
59.99,589,1636.68803,1459.11699,147,71.73167,293430
59.99,619,1640.40113,1217.96162,173,128.01167,308717
59.99,667,1621.76942,1440.73791,111,57.54167,333087
59.99,534,1621.82368,1391.51908,164,73.225,267717
59.99,569,1647.22095,1419.83866,185,94.75833,285557
59.99,736,1612.06048,1397.56199,103,81.65833,366953
59.99,620,1658.10292,1423.39363,116,65.28833,309188
59.99,627,1606.08232,1332.73898,142,96.80833,312256
59.99,593,1625.89086,1332.97634,144,101.62833,296536
59.99,608,1634.08331,1507.57764,132,97.35,303481
59.99,503,1612.81686,1245.33459,157,124.98833,251359
59.99,588,1665.60391,1529.52789,129,89.83833,294457
59.99,500,1612.96848,1372.5918,148,89.09833,249506
59.99,533,1635.65408,1376.52618,162,92.25833,266791
59.99,608,1622.34764,1547.90803,140,48.235,304365
59.99,575,1637.69736,1327.28096,147,94.07167,287475
59.99,591,1649.25164,1559.32479,123,75.03,296302
59.99,678,1683.5797,1440.43947,124,64.26667,338496
59.99,575,1617.47875,1409.47552,131,62.02833,287864
59.99,654,1605.69908,1281.91088,138,95.13167,326592
59.99,498,1619.70499,1198.85776,177,132.265,249307
59.99,572,1599.99151,1412.74289,128,54.75667,286135
59.99,574,1649.692,1281.99036,176,104.65833,287261
59.99,654,1619.67366,1454.2428,134,68.35833,326197
59.99,520,1616.08114,1334.95852,155,110.67,260111
59.99,532,1638.64997,1349.31237,166,95.61167,265668
59.99,562,1642.81742,1557.33985,126,60,280667
59.99,603,1637.30451,1337.8828,114,86.41333,301257
59.99,543,1628.66973,1374.8552,147,88.925,271969
59.99,594,1633.97058,1322.43712,167,127.08333,298082
59.99,540,1647.14271,1361.31057,149,104.605,270060
59.99,641,1659.63469,1520.3874,126,56.625,319689
59.99,549,1639.48902,1425.94061,167,68.46,273830
59.99,566,1675.78808,1433.02254,140,98.2,281822
59.99,491,1609.12457,1277.11287,174,101.07,245244
59.99,562,1622.83418,1304.03495,134,81.58,280869
59.99,619,1635.94119,1336.77688,136,86.37,308175
