secs,gens,bestfitness,meanfitness,maxcomplexity,meancomplexity,evalcount
59.993,575,1679.36768,1523.01699,149,93.93833,288922
60.004,532,1639.04484,1620.78573,106,68.775,265743
59.997,511,1618.62092,1508.5033,139,77.45167,255270
59.991,558,1638.49241,1533.63193,123,77.53833,278974
60.004,596,1648.46409,1576.78026,141,84.00333,298704
59.99,617,1693.70958,1541.54435,140,78.61667,308833
59.999,487,1617.19133,1350.45688,150,113.52833,244455
59.993,523,1647.78166,1484.05265,148,87.285,261243
60.003,565,1677.88835,1514.94429,163,76.305,282220
59.99,569,1642.67736,1546.50271,117,75.895,284291
59.998,515,1647.59897,1572.19016,170,76.81167,257610
59.99,534,1648.89036,1409.75288,151,77.39333,267039
60.004,520,1656.50115,1491.40846,152,68.74833,261476
60.003,561,1658.64567,1460.00908,143,116.73667,280866
60.001,547,1614.1389,1350.51337,155,97.81,273182
60.002,565,1641.78996,1510.28917,159,88.05333,282931
60.001,562,1597.57509,1366.47282,129,78.69833,280715
59.991,505,1638.05502,1579.90498,126,63.94333,253439
60.002,591,1693.00565,1359.98753,149,115.73667,296275
59.999,647,1599.23696,1501.91669,119,60.46667,324061
59.991,675,1654.24768,1517.78633,147,65.08167,338182
59.991,690,1681.2818,1436.34132,135,89.6,346504
59.996,624,1644.22271,1563.53492,135,67.56333,312909
59.997,551,1643.51151,1577.79127,177,95.76333,274880
60.002,580,1625.19612,1565.80035,160,96.16333,290465
59.997,557,1645.07739,1460.32222,149,103.865,277419
59.99,648,1688.84065,1578.58635,172,81.79167,323950
59.997,655,1648.49469,1465.92909,143,114.05,328732
59.992,619,1617.39434,1540.84861,140,99.65667,309162
59.991,605,1618.44807,1525.25341,140,66.51333,302570
59.994,593,1609.27403,1514.71324,138,104.55167,296890
60.003,566,1640.43256,1460.49636,130,100.58167,283207
60.001,573,1637.29621,1387.15152,156,109.035,286711
60.001,536,1649.27613,1607.94058,176,92.15833,267503
59.99,524,1608.54629,1568.33828,195,120.65333,262076
59.994,542,1636.04256,1606.20402,112,100.02,271328
59.997,592,1637.74635,1626.42071,130,92.38833,296778
59.996,585,1640.24917,1451.70347,146,95.215,291772
59.99,572,1654.97832,1521.16447,175,99.20833,286904
59.995,604,1694.88684,1561.38004,167,94.18,302509
60.004,555,1597.55898,1381.58586,142,39.49167,277743
59.996,554,1597.42571,1407.20887,166,92.85167,277323
60.004,565,1647.47178,1396.98533,161,120.31833,282736
60,598,1626.2202,1450.42783,126,73.98333,300387
59.99,535,1617.90002,1472.7422,166,89.95667,268913
60.001,616,1649.27484,1540.51303,108,72.01667,309181
59.996,537,1651.01571,1531.36471,143,77.25333,269132
60.003,581,1647.44199,1544.09934,172,122.60667,291139
60.003,619,1645.44729,1473.16364,141,106.29167,310086
59.994,598,1671.47189,1456.59828,154,122.465,299448
60,664,1697.01064,1616.04632,146,74.05,332138
59.992,593,1696.26982,1373.15062,129,96.49333,297500
60.003,569,1648.08585,1600.59252,198,134.88167,284878
59.998,584,1614.99078,1257.51181,157,131.53167,293390
60.002,614,1632.65364,1385.95805,182,87.46333,308030
60,582,1647.77203,1409.39097,167,127.55333,291576
59.995,611,1636.20899,1563.89121,136,101.07,305517
59.993,605,1663.04961,1476.98352,163,123.99167,302284
60.001,584,1653.72368,1584.30218,183,118.84333,292627
59.991,599,1633.29318,1505.98697,151,62.12833,300567
59.993,580,1639.58775,1409.25049,147,106.30167,290853
60,678,1650.60033,1443.83747,145,86.91833,339968
60.002,568,1684.72308,1544.4869,190,54.70167,284627
59.99,584,1651.56153,1598.93398,188,110.95167,292228
59.997,581,1640.04457,1592.31892,134,100.11167,290641
60.003,669,1637.0583,1456.54302,175,107.305,336487
60,514,1647.19931,1614.47162,161,103.76833,257246
59.998,613,1629.92872,1422.64368,162,85.32833,307888
59.993,622,1627.2432,1542.78224,161,100.97333,311451
60.002,599,1618.8684,1453.20845,148,83.35,298690
59.995,590,1653.39336,1591.19246,128,80.06333,295072
59.998,605,1672.07579,1565.49754,128,84.49333,303305
59.99,658,1679.30576,1584.25168,153,62.07667,329355
59.992,616,1635.71467,1498.70815,137,90.895,308336
59.991,542,1641.6732,1446.62604,138,105.32833,271519
59.996,587,1620.06505,1418.46679,150,90.85833,294136
59.999,562,1609.14705,1541.41326,170,67.87,280889
59.991,659,1651.77113,1514.33041,160,70.41833,330315
59.999,615,1656.68064,1389.34516,165,129.73,308531
