secs,gens,bestfitness,meanfitness,maxcomplexity,meancomplexity,evalcount
59.993,518,1630.06944,1581.79096,156,84.62167,258677
59.998,528,1695.97728,1561.69539,101,54.54,264426
59.995,548,1641.40665,1578.27826,140,64.51167,274024
59.99,449,1671.79694,1590.27349,144,125.35833,224956
59.993,502,1664.85407,1409.07716,145,89.05333,250912
59.991,497,1655.21489,1569.87339,132,82.46,249064
60.002,495,1667.74061,1573.75031,131,83.82,248379
59.992,481,1672.22111,1520.84357,156,77.93333,240045
60.004,524,1633.24642,1562.52522,135,92.69333,263012
60.003,508,1651.17977,1558.21144,137,77.94333,253611
59.993,509,1636.37635,1561.41018,133,55.49,253378
59.99,543,1650.79035,1571.87851,131,65.17167,272530
59.99,441,1681.70048,1533.70961,132,83.07667,221174
60.004,505,1665.34298,1606.78521,139,109.89167,252730
60,549,1679.6051,1544.86406,140,93.855,274913
59.99,511,1646.96454,1448.77659,164,114.915,256568
60.001,525,1638.97933,1576.23825,151,71.52667,262141
60,483,1672.30066,1502.90866,157,93.79167,241522
59.993,520,1624.59014,1521.22425,155,85.32167,260412
59.995,543,1646.52585,1517.37272,138,84.27833,271067
59.997,512,1670.93526,1484.51563,166,130.41167,256597
60,504,1654.57951,1516.38118,131,63.44833,253447
59.99,492,1650.78971,1598.09612,117,70.015,245203
59.99,446,1627.8682,1560.72376,172,108.335,223390
60.002,546,1674.02102,1556.64405,162,69.52167,271726
59.99,522,1652.44805,1541.36918,144,68.22333,261222
59.996,554,1727.64686,1626.95454,133,77.08,276762
59.994,508,1669.19822,1591.36429,122,65.56833,255063
60.002,506,1676.3176,1597.33818,151,104.445,253334
59.99,462,1591.97971,1357.85312,154,106.01667,230920
59.992,537,1634.03154,1585.9953,130,80.25833,269955
59.991,539,1656.03181,1575.78631,129,95.695,269194
59.99,528,1675.72665,1571.44176,158,112.40833,264884
59.99,462,1654.09467,1560.78734,143,62.39667,231199
59.998,486,1651.38896,1397.75173,120,82.36667,242945
59.993,502,1651.56195,1567.94324,141,81.25667,251351
59.99,487,1665.15497,1593.2053,146,71.845,244179
59.994,505,1683.53802,1600.54615,145,77.81333,252985
59.992,497,1661.89716,1529.74406,129,67.545,249140
60.003,550,1682.39134,1597.70473,125,84.62833,275334
59.99,498,1699.13101,1577.18623,144,87.1,248920
59.993,479,1650.12391,1561.00979,156,104.765,239643
60.004,563,1627.60652,1547.08251,146,67.125,281553
59.994,500,1672.6824,1555.7833,124,79.875,250924
60.002,472,1661.09949,1556.36322,138,94.97833,236756
59.998,506,1660.29848,1581.75658,136,56.09833,253705
60.004,490,1662.53043,1573.27446,136,91.51333,246301
60.003,548,1649.06788,1562.5401,116,63,274004
60.003,476,1691.985,1565.17617,143,86.35833,237890
60.004,551,1683.24841,1584.50696,131,88.42333,276147
59.991,490,1693.74575,1562.88106,124,86.29167,246519
60,463,1635.79277,1415.79329,124,78.12167,231249
59.998,518,1747.23525,1540.01892,133,72.48667,258875
59.99,516,1666.05202,1589.02628,144,101.22,258638
59.994,516,1676.04546,1482.43568,144,111.17333,257374
60.004,530,1650.87909,1340.03681,143,69.825,264746
59.997,490,1631.02368,1558.82401,140,81.13333,245718
59.995,508,1715.15447,1608.69449,142,64.79833,254225
60.002,524,1668.58587,1545.72069,131,89.44667,261004
59.994,550,1673.88086,1552.51875,149,75.89,274827
59.992,489,1652.55832,1578.58631,161,92.87333,245736
60.001,518,1656.63251,1467.33361,132,60.81333,258538
59.993,492,1702.38527,1543.22833,136,63.36,246020
59.99,481,1636.8695,1591.29455,128,79.68167,241323
60,526,1651.43317,1569.60426,165,79.70333,262728
59.993,473,1668.84804,1573.33083,185,92.56667,236870
59.995,552,1671.77305,1533.82738,126,81.575,276328
59.995,516,1646.78843,1578.15942,142,64.82,258313
60.003,538,1670.92315,1610.36491,147,82.54833,268652
59.991,478,1670.44928,1594.51088,148,69.93667,238534
59.996,551,1637.30762,1418.18834,146,89.01,275253
59.998,539,1655.94456,1531.48037,146,64.73667,269863
60.004,468,1611.3874,1568.15947,143,89.18667,234189
59.992,455,1657.09719,1523.45323,136,78.81667,228190
59.99,484,1642.1354,1496.72228,153,83.22,242000
59.995,523,1662.17372,1558.22311,129,81.83167,261664
59.991,478,1654.37267,1559.01855,145,112.96167,239982
59.99,496,1627.91424,1475.63633,177,108.86833,247834
59.996,479,1638.20105,1369.37882,144,114.75167,239866
60.002,491,1659.40293,1541.74815,121,57.79167,246231
60,491,1700.65458,1546.07717,154,93.095,246108
59.991,503,1666.84057,1596.67836,144,84.39167,251369
59.991,485,1633.49132,1542.11956,125,73.59,242982
59.991,498,1627.1741,1514.99276,166,91.26333,249728
59.991,474,1663.85856,1561.20756,145,51.83,237544
60.003,523,1634.2917,1495.00093,134,49.95833,261450
60,487,1646.01287,1479.30952,126,68.105,243423
59.991,515,1652.84803,1610.80491,121,111.76,257481
59.993,467,1686.24629,1589.48913,138,78.19333,233174
59.991,560,1656.70961,1567.76001,140,77.60833,280359
59.994,502,1661.5168,1575.33179,134,98.135,250770
59.994,491,1679.87031,1564.64064,175,131.46,245707
59.994,475,1636.57,1565.01734,149,80.82,238004
60.002,466,1638.93059,1596.19442,135,75.7,233159
60.001,490,1641.24938,1477.95761,150,105.465,245173
60.001,545,1643.63526,1522.55672,132,57.695,272315
59.997,476,1617.54834,1428.98948,154,113.555,238554
59.99,537,1642.12692,1548.95901,139,62.67333,267493
59.999,564,1692.94963,1623.20151,123,56.06333,282326
59.99,529,1672.18954,1582.31303,133,71.085,263927
59.992,480,1629.75856,1563.61688,145,82.85667,239951
59.991,538,1646.42653,1510.13052,135,64.39667,269303
59.995,551,1624.51399,1420.44969,121,81.22833,275039
59.998,484,1612.0919,1506.4618,141,92.28,242135
59.992,492,1599.99638,1381.41855,116,75.23,245734
59.999,517,1685.63565,1613.96124,134,91.70167,258267
59.994,499,1722.33084,1618.69497,165,75.04167,250084
60.004,503,1675.46658,1532.43612,164,95.06833,252235
60.004,510,1673.67718,1533.49938,129,81.24833,254942
59.998,512,1652.96948,1573.10536,119,61.96,255714
60.001,458,1653.3393,1594.67271,159,94.71333,229747
60.002,506,1630.86941,1461.69595,125,83.71333,252803
59.997,492,1647.31489,1558.36794,128,63.28167,246563
60.001,496,1619.11875,1394.39045,150,78.82,247797
60.003,536,1637.40489,1546.86198,156,75.58667,267644
59.992,528,1651.37981,1598.95392,150,90.48833,264962
59.991,519,1697.71923,1600.80534,143,109.50167,259676
59.998,535,1684.35021,1610.54607,123,68.735,267692
60.003,467,1675.3444,1464.03128,151,89.28167,234328
60.003,514,1667.11247,1567.8932,132,79.70333,256641
59.999,509,1642.04917,1449.65399,157,89.91833,255213
60.002,504,1730.97431,1486.47678,149,108.345,252153
59.996,516,1637.20542,1480.8919,168,99.76,257802
59.998,547,1664.44701,1588.31749,138,57.05667,273217
59.995,537,1632.28468,1509.65154,125,86.61833,268255
59.992,503,1671.82737,1532.67435,146,64.335,252393
59.998,458,1666.04698,1591.14272,152,108.85167,229214
60.002,519,1661.62329,1594.44596,138,83.59833,260132
60.004,501,1628.40322,1545.08339,156,56.55833,249928
59.992,501,1695.04578,1619.74661,145,89.85333,250719
59.99,511,1682.12205,1540.83296,118,91.22667,255184
