secs,gens,bestfitness,meanfitness,maxcomplexity,meancomplexity,evalcount
60.004,598,1638.23087,1391.74631,151,80.83667,299084
59.995,567,1625.28338,1524.77338,141,72.38667,283370
59.995,616,1630.32645,1434.06167,143,70.58667,308877
59.999,549,1654.46335,1541.3827,140,79.37333,274536
60.001,596,1599.99837,1342.83974,152,106.95167,298452
59.996,551,1702.76684,1406.7736,159,112.73,277024
59.993,552,1642.85804,1488.18503,153,68.96167,276530
59.991,619,1636.9228,1580.65238,153,83.36167,311008
59.991,624,1661.94392,1489.91608,155,58.39667,312658
59.999,557,1677.48404,1459.55359,179,102.44167,280314
60.004,631,1649.14486,1515.34731,138,75.44333,316183
59.992,614,1629.37043,1510.86815,162,95.80667,307948
60.001,564,1622.05574,1417.29672,129,56.78667,282544
59.998,604,1654.21033,1600.68738,126,66.92,301253
59.992,606,1652.78101,1594.38331,159,93.99167,302985
59.998,570,1620.22684,1520.53112,134,79.84,284953
59.99,601,1756.46965,1493.47217,168,114.76833,301153
60,611,1652.15426,1502.9667,155,110.86333,306541
59.996,611,1623.7547,1516.2856,145,83.17667,306193
59.994,602,1653.05658,1532.5255,116,62.565,302176
59.998,611,1675.52275,1507.97432,140,99.95833,306080
59.998,614,1652.83415,1309.41421,153,107.99167,307230
59.998,614,1672.24872,1540.45708,160,108.515,307483
59.99,606,1649.26623,1597.64332,146,111.66167,303378
60,602,1651.5462,1548.99614,157,102.88333,301911
59.997,612,1646.90169,1344.9627,168,126.235,306603
59.999,595,1656.66137,1445.69167,148,93.08,297650
59.994,535,1650.96482,1540.71826,172,121.77,268190
59.996,603,1627.61655,1466.09971,152,81.265,301921
59.996,627,1667.67376,1420.35203,164,116.395,314621
59.995,634,1607.41441,1432.12525,116,85.1,318208
60.004,631,1677.55812,1585.8205,146,83.74167,316487
59.99,658,1647.8183,1403.16525,174,96.24167,328984
60.003,642,1641.59804,1480.31378,177,87.87167,321599
59.996,612,1599.99619,1339.8484,156,96.91667,306734
60.003,611,1670.54043,1586.70203,157,93.74333,305827
60,628,1613.66903,1288.26997,150,107.91333,313706
59.999,585,1621.87566,1518.8313,173,119.08167,292523
59.993,553,1639.12116,1549.39606,160,73.16,276983
60.002,603,1624.44759,1519.69151,142,84.04,300198
59.996,619,1641.55552,1395.09,155,112.06333,309805
59.995,658,1673.93387,1321.12413,128,47.66,328767
59.99,614,1667.80475,1330.32465,172,122.29,307366
60.004,531,1628.97539,1571.16942,163,103.50333,265209
59.995,597,1660.54438,1429.03952,122,80.57167,299034
59.998,563,1632.60062,1567.72523,172,86.42167,281419
59.999,591,1662.97671,1612.04905,155,99.89,296103
60.004,608,1615.80139,1427.57951,128,91.06833,304073
60.004,562,1647.2915,1578.19478,160,117.98,282008
59.997,618,1680.29484,1547.98154,142,64.27333,309842
59.998,569,1603.75866,1524.23617,159,122.77667,284563
60,589,1643.91444,1594.07005,121,69.86833,293947
59.997,659,1661.87958,1558.19752,117,77.02667,330566
59.995,630,1655.21005,1540.60745,152,90.85,314840
59.992,592,1599.99753,1261.94988,153,123.285,296064
60.004,618,1630.23879,1534.06101,141,89.82833,307847
60.003,629,1637.01353,1570.4008,135,76.50667,313983
59.998,566,1599.99309,1270.13018,178,116.04667,283412
60,577,1643.71529,1528.32254,141,65.42167,288676
59.992,611,1689.02565,1537.32891,124,84.455,305881
59.99,681,1657.17267,1562.30187,141,61.5,340388
59.993,620,1672.92763,1394.28963,181,131.12,311852
59.992,594,1622.95947,1437.75427,150,74.03667,297631
59.997,598,1650.94344,1559.92578,124,73.67167,299553
