secs,gens,bestfitness,meanfitness,maxcomplexity,meancomplexity,evalcount
59.991,1609,777.0175,562.4068,164,105.62667,814012
60,1452,902.98055,750.63439,138,115.07667,734521
59.991,1624,771.08374,312.96805,140,93.525,823852
59.992,1842,885.62081,709.22458,167,67.06333,932726
59.999,1761,909.27422,746.80552,162,119.255,890628
59.997,1860,635.16124,461.29043,95,74.55,947859
59.994,1524,499.6629,399.52153,173,129.935,770362
60,1637,301.33896,223.71244,205,90.27,829830
59.998,1622,946.31775,606.23061,120,91.27,819627
60.004,1509,902.35408,773.05447,154,92.36,762893
59.999,1820,722.26781,529.14736,145,84.97833,919899
60.001,2230,966.03506,813.09976,132,73.24667,1129328
60.004,1493,837.39399,668.94229,185,117.935,752637
59.998,1476,930.40578,732.40961,152,127.74833,746501
59.993,1918,879.30639,743.77278,123,103.315,968140
60,1600,414.82615,317.2496,152,128.675,810234
60.002,2060,360.74768,266.11887,148,93.865,1051805
60.003,2054,650.61129,472.96228,131,69.075,1038170
60.001,2238,946.82068,827.09091,106,74.79833,1133695
59.996,1597,635.80408,484.98153,121,104.89,806933
60.003,1534,723.52371,602.93689,126,93.30833,772468
59.994,1610,849.14313,651.78082,146,118.73667,815948
59.994,1513,645.34216,422.17658,170,112.87,762912
59.998,1627,770.83361,604.57766,113,73.65833,824941
59.997,1683,928.56565,779.93688,148,101.65167,851454
59.992,2042,927.18295,600.74335,107,83.96167,1037391
59.996,1576,673.35672,590.38216,118,91.65333,800228
60,1816,880.71186,767.79734,164,121.35667,911351
59.993,1723,800.13612,628.16433,148,114.47,871103
59.993,1939,761.64546,609.08026,135,109.00333,979086
59.991,1459,691.7785,498.76957,160,105.61833,742198
59.99,1509,900.6037,739.13455,152,117.68,763194
59.996,1616,655.37523,394.95549,139,75.42167,818960
60.004,1868,901.80343,764.29739,105,78.95667,951543
59.999,1666,788.45382,666.13142,130,82.97167,845277
60.004,1712,800.97735,662.13375,135,103.70167,865671
60.001,2146,605.66453,359.11287,140,78.915,1098631
59.997,1762,901.71635,799.70561,133,93.15167,896525
59.995,1656,661.83532,517.75891,155,106.71667,838715
59.99,1753,686.58623,509.64993,156,84.40333,889138
59.99,1533,545.46185,300.52883,165,145.945,776199
60.003,1854,695.95694,566.72442,125,66.795,935260
59.995,1689,837.43336,660.67398,135,100.36667,850116
60,1607,929.4687,709.38836,165,102.055,811700
59.991,1634,653.21435,559.06324,136,91.22,822593
60.002,1483,688.3609,516.23696,143,122.67333,749047
60.002,1565,545.68039,308.93166,221,92.54667,797590
59.99,1716,531.77906,431.98355,126,75.64333,873545
59.991,1640,745.15312,577.12229,123,99.43667,831520
59.995,1761,754.02079,544.71811,109,98.62167,892058
60.002,1640,939.79043,793.33931,146,105.02833,828571
60,1660,396.01627,306.21992,133,111.98167,834087
59.999,1794,909.89634,811.93345,119,77.07667,909579
60,1788,957.05459,849.95618,135,97.60167,902493
