secs,gens,bestfitness,meanfitness,maxcomplexity,meancomplexity,evalcount
59.99,2003,609.05678,452.50461,126,76.19333,1008464
60.003,1867,434.92943,302.80576,134,53.86667,938129
59.992,1830,73.7328,44.05125,185,104.175,912982
59.99,2278,750.48299,547.34031,113,93.47,1147522
59.99,1925,533.11768,408.6376,117,77.47167,970730
59.993,2005,732.33991,643.39762,145,111.22333,1008104
59.993,2190,795.91487,480.51424,88,45.21,1106241
60.001,1869,823.21171,695.29158,129,94.99833,936588
60.002,1888,906.09289,775.59586,103,96.18833,954879
59.997,1822,614.75831,490.24218,88,73.46167,912534
59.995,1718,356.74446,212.07214,167,91.84167,865334
59.992,2077,68.87752,41.98742,162,111.87833,1039772
59.99,1982,96.24474,44.23623,142,86.05333,991637
59.997,2145,988.59229,859.64265,135,92.57333,1077896
59.999,1892,647.28674,560.14677,181,105.53667,951643
59.99,2135,816.14466,704.55907,133,102.66167,1075598
59.994,1931,709.76631,500.55102,149,77.085,976480
60.002,2011,750.3805,607.40252,143,103.34167,1009471
60.003,1874,329.38573,259.60087,141,73.36167,946065
59.997,1760,910.11942,771.90711,160,123.04167,886454
59.996,1953,946.88742,796.3176,156,96.29667,984067
59.994,1982,146.42133,98.04688,135,102.02333,996887
59.99,2268,979.34726,822.28476,124,64.305,1142334
59.997,2026,336.68756,197.93884,135,74.01167,1017557
59.994,1827,663.25459,474.11556,132,96.31167,919506
60.001,2184,326.83376,280.76217,136,76.87167,1096372
59.999,1917,290.47764,219.5359,116,91.06833,959512
59.992,1882,60.21781,46.20451,132,98.96833,942102
59.991,2040,436.54074,377.54769,141,95.80667,1023996
60.002,2028,53.68437,42.4914,147,100.51,1012659
60.004,2021,532.08552,451.62665,144,94.14167,1024523
59.995,1872,81.33829,66.57148,204,107.12667,934027
59.998,2533,861.87824,673.38326,115,68.98667,1272322
59.996,2041,456.49434,397.13971,140,74.18667,1033951
60.001,2082,936.87709,725.08549,131,99.46,1046642
59.99,2422,933.72961,720.05137,117,84.58,1218161
59.996,1763,672.66944,533.44817,159,111.80167,890324
60,1800,134.59406,98.12723,115,98.32667,898817
60.003,1837,857.41897,572.76744,151,94.385,930805
59.993,1790,467.43957,364.45336,170,90.44167,905680
59.993,1716,555.56474,397.12506,175,118.975,865758
60.001,2217,267.31382,115.74836,106,59.63167,1104684
59.998,2564,663.08896,442.97296,84,44.43833,1288821
60.002,2110,150.14765,89.15906,159,64.70333,1060966
59.995,1811,286.43845,231.06704,140,124.70667,907688
59.99,2027,93.43726,47.19198,125,78.71833,1012411
59.995,1865,197.85881,135.32396,130,56.65667,933178
60.021,2290,304.91414,89.50737,76,62.54167,1150503
59.992,1899,853.27812,724.21383,147,105.61667,953762
59.993,1958,875.02438,764.23883,151,101.34833,985579
60.003,2650,784.6336,630.54503,130,70.94,1329486
59.999,2206,943.14135,795.60958,132,70.33167,1110423
60.002,1975,818.26855,688.24038,126,72.33167,994059
59.998,1855,632.58764,454.87871,163,119.15,937226
59.991,1854,454.30392,380.67919,145,116.17167,929219
59.995,1950,906.12841,662.93928,152,84.02333,980290
59.992,2234,466.65966,366.25832,121,101.15333,1125167
59.999,1792,611.61477,493.53389,180,122.035,906880
60.001,2046,709.18489,561.4669,83,50.30833,1023048
59.995,2156,520.92921,440.96562,123,110.93167,1083539
60.003,2088,170.99074,63.46413,128,85.805,1050321
60,2038,989.19314,870.54289,157,82.97667,1024549
59.99,1856,644.57827,574.73337,115,98.75333,935561
59.996,1944,383.28843,254.66116,168,79.55667,979601
60,2035,952.67127,852.23027,121,81.67333,1025978
59.993,2132,426.66178,330.67111,103,57.565,1069446
59.993,1915,90.69037,61.68048,131,103.9,956828
60.003,2254,353.06042,235.25815,123,60.46833,1134296
59.99,2179,307.45798,216.44964,139,52.565,1091092
59.996,1865,631.42784,280.5682,86,57.585,940158
60.002,1988,920.89194,725.93889,135,74.98,1001749
