secs,gens,bestfitness,meanfitness,maxcomplexity,meancomplexity,evalcount
59.99,2228,151.61416,82.0908,93,78.64833,1117781
59.995,1944,159.09847,113.65192,193,95.36,975296
59.995,2074,186.59851,150.88819,146,106.13167,1044962
59.997,2693,346.13461,257.3415,100,55.18667,1349682
59.993,1727,339.70551,228.75799,206,97.69167,868442
60.001,2708,356.16375,82.23707,110,64.62,1362687
59.993,1851,46.61289,38.67338,207,151.07167,926484
59.998,1877,96.12203,56.00575,152,92.27667,940586
59.992,1937,158.38842,60.15589,142,85.29333,968886
59.99,1973,149.98502,125.96497,139,93.47667,988646
60,2164,96.49774,48.17686,143,99.71167,1082206
59.998,1782,296.82247,174.60873,155,113.35167,893894
59.992,1924,48.02909,43.43139,154,101.085,959661
60,2015,140.06441,64.1482,144,77.99,1010748
59.993,1979,430.44043,361.52402,136,107.51667,993583
60.002,2233,254.39521,121.52684,111,61.395,1123264
59.996,2370,102.74964,50.98778,140,75.52833,1186604
60.003,1872,308.05604,252.92762,163,108.99,939546
59.993,2078,289.54652,236.01757,160,89.14,1039857
59.992,2366,475.28847,402.7703,144,92.96667,1187819
59.993,1955,86.91882,52.30043,129,102.34833,978513
59.99,2104,112.43659,48.13027,143,100.77167,1049732
59.998,2347,353.06884,267.95681,146,87.17167,1182982
60.049,2184,271.51244,133.84088,132,72.48667,1099847
60.004,2033,64.43958,44.80432,128,59.355,1013789
59.994,2181,610.0245,443.10814,139,97.93,1096715
60,2384,716.31575,563.88791,132,93.30667,1196394
59.994,1817,422.13635,325.04478,140,127.97167,910169
59.99,2058,300.25442,218.36678,126,86.73833,1033678
59.997,1879,574.17193,417.83193,152,105.32167,944378
60.004,1885,177.17976,129.59395,164,61.26333,946804
59.991,1971,324.62946,242.33518,117,99.4,987438
59.999,1785,81.01456,60.72675,158,108.16667,891242
59.996,2338,170.08789,85.33267,111,72.70333,1169445
60.001,2484,115.08986,57.60381,92,42.685,1243135
59.991,2228,280.48012,80.91164,117,97.68333,1121360
59.995,1979,103.45952,67.4156,161,86.42833,991616
59.993,2107,258.1744,83.24245,123,77.56333,1057988
60,2691,380.65543,166.74764,113,63.915,1347746
59.998,2286,134.0569,48.87338,142,105.02333,1144640
59.993,2568,487.72326,358.56329,107,59.20833,1283879
59.99,1975,114.29219,37.54122,104,64.55,990608
59.996,1969,68.29849,43.18738,143,84.97,985891
59.996,1934,80.65143,47.14172,143,115.055,966844
59.995,1895,162.56357,114.58332,155,87.905,950276
60.004,1867,587.04346,524.42402,172,129.47667,943670
59.99,2478,421.73413,355.55953,109,57.50833,1244062
59.998,2061,253.79563,182.84323,156,93.31167,1032865
