secs,gens,bestfitness,meanfitness,maxcomplexity,meancomplexity,evalcount
59.992,2521,991.72622,832.32045,123,94.42833,1269659
60.003,2196,987.55172,799.18105,153,133.09667,1100610
59.997,2001,971.09227,673.88114,106,82.74,1011845
59.993,2121,926.0035,751.13752,108,73.655,1072929
59.999,1942,943.99849,732.42454,113,84.99333,978934
59.99,2119,989.00606,809.67216,107,80.89667,1067120
59.992,2457,999.41607,906.42107,147,94.99333,1238908
60,2013,313.60482,240.76595,137,82.39167,1017106
60.002,2280,958.58458,852.64542,135,117.78667,1145292
60.002,2211,993.88325,787.44787,118,109.37,1118309
60.001,1967,75.60018,35.13162,139,65.545,985209
59.991,1841,843.69783,662.07049,139,99.445,932111
59.991,2159,963.78379,777.2589,104,80.415,1091779
59.99,2380,948.95362,703.21235,126,88.29833,1205875
60.001,2431,985.9644,781.11962,112,79.28,1225508
59.996,2383,996.54262,924.798,117,87.23,1201739
59.993,2092,919.24715,785.61811,126,89.97333,1050560
60,2514,490.19429,421.55406,95,62.57333,1269743
59.996,1996,699.31905,628.86029,145,102.7,1005521
59.996,2044,983.73502,773.17058,139,112.39833,1032719
59.999,2283,499.18109,405.67715,87,60.34167,1150825
59.994,2493,777.1971,670.97362,86,73.38667,1248738
59.999,2001,957.43309,834.36264,163,132.68333,1007579
59.999,2137,976.1145,771.71739,123,83.08833,1079932
60.004,2006,400.22068,368.55436,155,104.81667,1009601
60.002,1843,365.45541,278.044,160,105.70167,929540
59.99,2049,871.17836,742.0146,130,78.08667,1029651
60.003,2435,957.51767,709.20124,96,55.48667,1231354
59.99,2078,968.28236,747.85833,153,82.315,1047515
59.993,2510,998.96821,875.69507,101,76.94667,1263934
60,2033,987.14145,866.098,156,128.88,1024854
59.996,2215,999.49918,857.17222,133,83.275,1116274
59.99,2225,897.1711,788.34146,108,95.24833,1126100
59.994,1975,781.75461,629.87728,158,116.895,994213
59.991,2181,999.83662,841.48545,113,48.65667,1094798
59.994,2196,958.27992,799.28564,140,98.37,1104256
59.99,2546,902.71383,750.83039,115,93.66,1281127
59.99,2121,998.80185,869.73736,107,89.32667,1071447
