secs,gens,bestfitness,meanfitness,maxcomplexity,meancomplexity,evalcount
59.994,2007,567.63888,456.47103,136,94.56833,1013846
59.998,2501,309.03718,235.20507,122,71.27667,1255719
59.991,2868,719.82522,527.02357,62,53.67667,1444488
59.998,2259,391.42718,312.8678,131,84.38333,1134250
59.992,2228,401.76908,270.94242,136,64.50167,1117112
59.992,2273,658.29995,353.02607,168,112.735,1143779
60.004,2029,188.23827,53.32668,160,129.42667,1018696
59.996,2058,428.99725,289.0003,143,99.53667,1034161
59.99,2138,540.97475,319.15146,126,103.68333,1078797
59.993,2279,83.59868,44.27537,137,75.765,1139703
59.999,2204,160.80661,106.17573,96,67.00833,1108284
59.999,1895,405.56138,308.76348,158,95.83167,954796
59.997,1966,249.04263,166.26583,149,81.38167,985281
60.001,1893,274.8599,225.32972,141,109.67,947160
60,1999,81.37829,46.057,150,124.39833,997821
60.025,1727,311.32164,242.26208,167,115.68333,868479
59.992,2311,508.70881,361.65226,152,73.04167,1169264
59.999,2418,653.98846,605.52778,141,96.92333,1214013
59.994,1778,207.48667,155.52265,183,103.02,891448
60.002,2688,675.80073,423.33079,116,68.65167,1350900
60.003,2066,512.45687,416.00218,177,98.67667,1041692
59.99,2804,351.37234,91.55631,97,66.935,1405175
59.994,2055,737.70304,589.10195,124,103.095,1027039
59.994,1897,146.37053,112.48959,160,117.485,949574
59.996,2107,359.04742,287.4652,132,106.745,1059060
59.993,1770,577.60939,394.4663,177,115.935,893409
59.996,2227,95.66679,39.65642,107,73.65,1115006
60.001,2122,289.00048,114.9405,135,104.32833,1063759
60,2185,252.73389,141.16796,121,78.355,1096362
59.99,2090,843.01742,698.98991,131,105.66333,1053812
60.003,2450,337.13757,281.56175,104,59.4,1235350
59.99,2044,47.86669,33.26259,178,125.11167,1022887
59.999,2306,517.08398,438.96881,125,90.95,1159949
60.003,2232,340.6196,241.71904,104,74.20333,1122298
59.999,2253,176.37567,67.9077,134,86.515,1131619
59.991,1821,125.80783,56.13514,224,148.12333,913180
