secs,gens,bestfitness,meanfitness,maxcomplexity,meancomplexity,evalcount
60.004,2020,285.61277,217.46546,109,48.115,1013762
59.994,1992,322.637,188.21259,135,71.98,998959
60,1641,267.25339,239.28065,188,114.92,823477
59.993,1819,265.09489,77.83539,162,119.50833,908403
59.995,1983,262.09704,144.35742,127,61.84,997067
60,2492,648.54963,537.83204,117,78.10833,1253856
59.99,2627,415.49807,112.2817,156,72.28,1310589
60.001,2019,260.63529,199.30438,148,82.75833,1011144
60.003,2146,172.96473,130.42404,136,83.825,1071010
59.993,1921,210.71354,98.99785,116,84.16,964364
60,1963,118.77441,63.06093,139,76.47,981366
59.997,2229,376.79632,138.03137,169,113.755,1115461
60.002,2137,210.37334,61.49241,137,85.32167,1075233
59.992,2276,728.45289,526.72761,135,92.57667,1150690
59.992,2118,867.23466,673.50659,172,117.915,1070466
59.996,1876,713.40611,561.84106,159,105.625,946305
60.004,2220,98.73592,62.42666,92,50.785,1110670
60.003,1738,610.16966,520.8609,156,123.42167,872934
60.003,2110,510.57438,445.39961,158,110.53667,1057812
60.002,2122,629.94846,523.30638,140,65.96167,1062904
60.004,2138,707.32543,609.68889,124,105.12667,1071565
60,1773,140.6805,63.76978,164,108.14,889085
59.991,1916,55.32664,44.26138,117,82.14,958120
59.997,2154,322.19689,163.68725,128,53.37333,1080112
60.002,2110,355.3553,179.09472,119,85.17167,1063120
60.004,2054,495.77532,349.35841,97,73.14667,1031342
59.995,2043,129.02102,45.47815,129,98.19833,1019777
60.002,2065,100.42113,44.83909,153,111.91667,1034212
59.997,2189,161.10457,65.46348,130,88.44833,1095450
59.998,2123,198.88121,65.11377,138,94.445,1069144
59.992,1984,161.90134,80.65572,114,62.66167,994195
59.99,2303,960.35167,810.71518,151,109.98,1156920
59.992,1955,633.59445,510.45874,170,147.85833,977593
59.993,1923,344.07135,257.74345,140,64.26167,964578
59.99,2041,170.4172,102.17771,133,122.68833,1022251
59.992,2370,373.48942,315.94079,126,97.01833,1184171
59.995,2022,101.20968,42.61416,123,63.62333,1013529
59.992,2032,142.22401,88.73406,115,91.69,1014670
59.993,1949,98.17939,45.15656,144,100.31667,972438
60,2165,210.99195,135.4133,150,46.7,1082477
59.99,2598,312.78098,102.35247,81,68.05833,1296741
59.994,1862,130.0631,92.16489,125,91.97667,931123
59.99,2044,110.76593,58.43543,150,48.17,1022426
59.992,2022,260.09907,167.00852,131,115.6,1019937
60.001,1917,729.33721,680.55117,126,104.1,958952
59.992,1940,468.88245,276.1222,119,78.97667,975279
59.998,2077,132.03227,46.03855,155,84.92333,1038643
59.996,2050,466.3487,413.18423,134,85.73167,1030034
59.992,2139,124.15447,43.20384,78,35.12667,1072589
60.001,2031,196.80667,74.96441,111,74.15,1012398
59.993,1694,407.73744,331.18275,214,136.24833,853128
60.002,1855,130.13311,103.42911,156,96.61667,930109
59.995,2108,142.36488,90.57256,115,70.695,1057064
60.004,2260,143.59505,76.14817,133,97.38167,1130841
59.991,2338,497.53893,425.76106,126,73.29167,1177634
60.001,2431,195.80095,47.36314,156,71.90833,1219155
60.016,2015,153.29392,48.76865,111,79.03,1006768
59.996,2531,228.15675,64.94773,123,93.15167,1269604
60.004,2094,399.59253,265.79739,128,90.08167,1052785
60.004,1996,335.10882,178.46943,157,88.58667,1005298
59.99,2262,682.00089,581.1521,107,82.63833,1130914
59.998,1832,378.18071,185.782,145,73.29333,920671
60.003,1912,315.70977,182.60118,142,91.97,961404
59.991,2262,475.48342,362.03427,133,68.955,1138518
