secs,gens,bestfitness,meanfitness,maxcomplexity,meancomplexity,evalcount
59.997,2075,951.76297,856.17778,126,105.46,1040453
60.003,1667,411.90072,350.32287,98,78.25667,838388
59.99,2064,387.97671,308.15832,79,48.615,1033064
59.999,1744,389.35709,229.28128,153,50.58833,882049
60.003,1825,766.04926,558.78038,164,73.08167,920478
59.994,1754,959.45118,755.2909,145,96.35667,883695
59.999,1762,914.78749,786.82084,158,114.62833,885833
59.991,2180,976.07305,869.52953,108,92.29833,1098288
60.003,2038,342.54316,250.07526,102,89.31,1019051
59.996,1783,937.1013,780.60089,149,91.505,897020
60,2341,356.0086,250.549,122,95.71167,1179419
59.991,1847,545.88029,443.60056,123,92.65333,926503
59.999,2159,722.10377,503.31646,98,81.54,1084660
60.002,2323,92.06858,43.82709,88,72.85667,1163340
59.996,2751,362.04518,259.2322,117,58.19667,1384598
60.003,2081,486.33174,380.39459,134,67.11667,1048321
59.997,1996,970.51527,814.07776,108,98.14667,1004513
60,2164,844.22131,533.76473,136,83.05667,1086155
59.996,1968,904.37288,728.9052,144,126.63833,989794
59.996,2188,877.8742,786.81201,150,88.745,1098654
60.003,1958,808.09723,756.04043,133,104.56667,985246
59.998,2392,740.12596,673.05067,124,78.345,1196112
60.003,2130,891.61397,729.80462,126,102.85833,1071161
60.003,2430,633.87635,517.4057,122,78.705,1221590
59.998,2653,655.07838,552.36767,122,94.61167,1329438
59.991,1957,494.35963,434.78176,189,121.72333,985760
59.995,1850,760.97155,649.80388,157,106.66167,927546
59.998,2088,845.30754,762.90704,136,109.05833,1051675
59.995,2062,768.24656,570.38175,98,89.56667,1036550
60.003,2105,268.54912,213.43922,148,74.335,1055608
59.997,2209,892.78543,757.16506,131,87.775,1109371
60.003,2114,948.04726,801.98043,148,101.285,1063907
59.995,2009,190.53576,155.67899,149,87.11833,1008333
59.997,1919,741.00491,596.66303,151,80.275,963949
59.998,1864,615.26181,497.6738,163,106.045,939446
59.996,2091,369.25189,317.80709,152,93.35833,1047509
60.001,2108,414.95621,330.90718,163,89.97333,1059663
59.991,1937,995.99536,853.53754,142,98.57167,973052
59.995,2006,567.74196,437.62134,133,100.27833,1008055
60.003,1851,769.69254,649.53504,157,129.14333,935520
59.995,1964,903.41367,790.2531,170,133.33,987050
59.992,2122,953.8051,887.51012,126,98.23,1066831
59.993,1957,624.38668,459.61603,182,142.63333,985441
60,2099,438.03306,369.87163,117,105.34,1058609
60.001,1940,131.08336,114.98468,144,92.33667,976849
59.99,2021,515.07144,432.45285,156,89.37667,1015605
60.001,1761,745.44192,667.77818,131,100.7,882640
59.991,2115,468.10132,390.09379,127,108.50333,1058329
59.994,2546,712.05426,563.799,113,96.045,1276589
59.999,1976,679.95825,540.03765,159,137.61,995847
59.998,1907,586.95163,391.78249,126,117.065,959756
59.992,1853,852.95612,649.15892,156,105.81333,933348
59.996,2262,508.10678,446.14328,132,95.46833,1135354
59.994,2347,922.8718,733.56487,130,98.79,1173002
59.991,2114,395.98713,331.82891,122,97.665,1061910
60.004,2360,997.58898,892.37633,124,77.72,1187098
59.997,2081,819.85536,706.36286,115,98.80333,1047020
59.994,2384,493.5247,325.59862,82,75.655,1205864
59.994,2168,925.67691,700.40075,122,87.25,1088874
60.002,2371,72.65552,42.09399,117,65.50167,1186646
59.99,1945,956.4812,804.10398,149,116.19333,980464
60.002,1864,479.43819,381.61063,182,84.68,940378
59.99,2217,763.22288,640.97793,146,79.10667,1110195
59.99,2010,885.05337,765.95141,153,90.52667,1008371
59.99,1898,408.65542,335.87787,93,62.115,957939
60.001,2058,788.19175,646.07008,128,87.29167,1033297
59.992,2318,997.53535,889.6086,163,113.44167,1162641
60.001,2167,678.71049,597.97737,112,89.85167,1089967
59.996,2091,762.85449,563.32971,140,90.315,1056019
59.99,2189,582.34704,417.21472,106,63.38667,1100181
59.991,2711,314.0036,173.07972,115,51.90667,1365768
60.001,2224,416.06365,345.88322,157,102.45833,1113091
60.003,1965,385.59404,309.32056,166,103.96167,990264
59.998,2233,982.97272,881.28384,112,83.25,1124150
60.004,2154,558.18028,438.51194,145,85.95333,1087306
59.997,1999,682.34928,604.95699,155,105.39667,1003126
60.004,2022,979.45393,851.80464,133,99.32167,1015430
59.994,2644,185.14187,66.92276,109,84.235,1324428
60.001,1923,784.61652,623.0011,131,70.59,965957
60.004,2168,76.85651,43.87179,133,99.955,1085483
59.996,2075,732.5964,641.97809,111,49.015,1038353
59.991,2570,820.75505,482.25512,87,68.35167,1288568
59.996,1956,987.97665,830.28999,128,91.745,983537
60.004,2331,66.04463,54.32735,119,60.005,1164949
60.002,2018,364.56117,261.74529,103,81.26833,1013978
59.996,1996,372.8073,299.88023,165,95.865,1003682
60.002,2098,622.34985,393.21608,148,72.67167,1058656
59.991,2163,775.57337,684.33945,110,79.59167,1093907
59.993,1986,479.43307,389.70727,171,121.82833,1000479
59.997,1975,122.1856,81.47368,146,86.45167,988639
59.992,2093,669.39742,524.24106,127,85.35667,1052558
60.003,1900,938.62227,784.62612,117,98.60167,952209
59.999,2006,358.06182,267.80904,157,98.24667,1006536
60.001,1964,584.01398,502.58024,162,102.45,985210
59.99,2195,811.03839,654.3847,132,110.64833,1100009
60.002,2328,739.45817,609.07238,114,93.59167,1167078
60,1976,700.54692,582.42981,122,75.99833,988916
59.999,2033,53.91062,40.1018,120,96.91667,1016664
60.005,2167,698.67015,533.24667,115,62.765,1091378
60.003,2067,924.34929,732.17466,93,54.115,1040299
60.001,1623,840.66178,750.53063,141,116.65,817465
59.999,2148,799.66474,677.65781,121,87.17333,1080213
59.992,2135,831.27001,777.07008,108,77.25667,1069809
59.999,2049,775.13398,673.13296,152,109.58167,1027881
59.996,2182,992.68988,855.53564,137,95.92333,1092913
59.991,2128,298.2258,175.42693,125,102.21833,1066062
59.99,2352,909.84648,749.59747,123,96.54667,1182215
59.999,1995,884.34444,792.58013,148,96.67,1003256
59.992,1885,932.2647,808.601,159,94.81167,944577
59.993,2152,906.68035,677.72554,131,108.04,1081408
59.991,1852,667.52674,544.04824,168,124.97667,931281
60,1898,601.63274,440.72047,171,118.88667,950956
59.995,2411,771.48502,639.29506,112,98.45833,1218891
59.999,2067,982.93353,755.86686,145,126.24667,1042414
59.997,2222,929.5901,597.74753,116,46.44,1115757
59.998,1938,653.95577,532.87508,98,80.565,975408
60,2017,496.82898,383.88874,149,116.74167,1010984
59.994,2009,730.76809,458.9935,127,109.265,1011078
60,2205,986.11687,759.74228,100,72.46667,1110317
60,1938,282.31814,242.37591,154,101.93167,967315
60.002,2439,797.86788,699.93871,114,69.7,1230009
59.992,1872,473.90844,306.22857,144,103.585,942739
59.998,1917,842.08328,720.09106,131,115.67333,963106
59.99,2076,445.23966,266.29479,179,83.32,1040992
60.004,1844,864.05034,765.72384,176,129.95167,924329
60.002,2416,336.901,244.88665,104,76.825,1213513
59.996,2207,862.55364,568.18576,114,97.335,1111712
59.999,2230,947.71423,792.80759,143,81.43833,1123400
60.001,1999,929.93324,854.37083,132,94.72,1005741
59.993,2218,234.97621,200.61428,151,103.71,1115141
59.993,2031,573.31647,373.88158,114,74.42,1023698
59.999,1996,855.70476,688.86252,168,101.355,1002332
60.001,2402,830.43808,708.59499,140,101.275,1208280
59.993,2441,936.46459,603.31959,138,81.89667,1230140
59.993,2215,374.50092,169.08533,116,42.43167,1116095
60.002,2138,674.01369,617.02409,114,88.34833,1075596
59.99,1982,994.16773,904.48315,158,93.51333,995223
