secs,gens,bestfitness,meanfitness,maxcomplexity,meancomplexity,evalcount
59.99,1910,877.60841,691.99951,171,84.16,962228
59.99,2059,317.49818,153.28638,118,71.84167,1045815
59.99,2085,557.93209,424.00331,96,72.51333,1052484
59.99,2112,385.69071,320.12302,135,102.23833,1057536
59.99,2202,144.65934,123.31497,116,62.34333,1108534
59.994,1893,487.55949,373.26526,155,118.93,956755
59.99,2206,389.42513,338.40409,114,93.965,1110845
60.003,1837,914.36901,631.22179,112,104.99167,933607
59.994,1976,86.93998,35.43255,138,70.91333,988969
60,2586,404.75821,323.30624,94,80.76167,1297765
59.998,2179,763.40468,637.99715,138,100.52667,1099180
60.009,2298,312.25146,116.73314,101,60.34667,1157050
59.993,2700,414.52462,229.99521,79,45.67667,1355144
59.99,2186,548.13302,385.6495,117,91.50667,1105611
59.993,2458,357.08863,259.35512,128,65.15,1235362
59.996,2153,375.0886,304.73945,142,88.01833,1088604
59.993,2499,565.22145,338.92831,93,80.365,1251262
59.991,1798,461.63311,346.64245,192,101.73333,906083
59.994,2218,137.43595,40.99429,145,89.435,1110287
60.003,2313,603.05375,490.50381,126,83.78,1161444
60.004,2800,404.99138,289.74487,91,43.11833,1401003
59.999,2254,211.04161,73.31424,97,35.97,1126451
60.001,1983,449.56715,226.12113,164,121.71,997702
59.992,1888,279.39745,207.21089,131,86.48167,944332
59.99,2224,641.85262,472.28675,98,83.37167,1123700
59.999,2049,547.62995,367.04226,163,78.08667,1035297
59.99,2513,485.41185,416.04103,149,104.56833,1265222
59.997,2553,572.43263,507.99749,135,77.90667,1279260
59.994,1986,130.58307,58.61821,137,66.35833,1002385
60.039,2085,164.18292,57.83009,126,74.65833,1047402
60,2324,784.26532,584.90969,117,88.53667,1169476
59.994,2194,642.15021,401.07058,120,102.3,1106557
60.002,1977,52.8513,31.43552,119,108.63167,992651
59.99,1883,783.03163,541.71556,159,105.06333,952503
59.998,2065,533.18986,399.83978,129,89.84833,1041145
59.993,2141,52.28788,38.87211,112,90.08,1070570
59.99,2636,332.40311,258.52273,86,37.44167,1316375
59.995,1909,681.2146,533.97522,167,135.31667,962583
59.99,2103,638.52023,497.36141,137,95.57333,1056149
60.004,2025,454.78722,402.12268,125,101.485,1021293
59.992,2090,667.00864,488.06313,159,120.625,1055011
59.995,2595,277.37485,109.85354,108,48.095,1299869
59.992,2145,705.65303,542.43142,121,82.76833,1087556
60.001,2157,488.94118,427.57178,151,92.48833,1085201
59.993,2002,98.26839,44.36298,101,56.09667,1006092
59.994,2177,98.27241,42.92323,97,58.365,1091817
59.997,2376,269.20268,176.03315,109,55.80167,1203032
59.998,2173,940.9355,847.22324,139,67.75,1091040
59.991,2163,247.63006,148.89634,110,50.325,1095500
60.003,2296,640.75337,501.86195,127,76.45,1150820
59.992,2182,383.78141,315.19595,140,97.27333,1101319
59.993,1944,319.07173,259.09101,138,109.87,975172
60.003,2396,238.85802,66.81653,98,69.735,1204933
60.003,1963,744.38109,655.3543,147,108.30333,988252
60.003,1860,46.04132,31.5628,115,80.37,931737
59.994,2144,586.3751,405.894,154,77.70667,1084850
