secs,gens,bestfitness,meanfitness,maxcomplexity,meancomplexity,evalcount
60.003,1953,153.92646,96.10916,171,76.44167,978857
60.002,1926,145.73597,98.02746,141,90.05,965359
60.003,2441,255.48801,64.89844,95,64.30333,1244895
59.99,2556,327.62211,191.76794,121,69.26,1288541
59.997,2030,103.231,74.35864,105,65.00833,1016154
60.001,1850,427.5572,279.07014,160,77.99167,931126
59.997,1909,216.45936,84.49213,172,137.90667,966195
59.992,2184,257.2248,196.51338,146,81.925,1096328
60.002,2128,220.55142,122.13703,106,52.21833,1068317
60.003,2072,241.30671,157.31447,131,77.73333,1034306
60.004,2011,84.68526,42.46779,111,52.06,1002560
59.998,2115,93.56192,42.05488,117,71.25833,1056608
59.998,2002,78.19449,46.08353,138,78.085,1000783
60.003,2010,112.36106,59.33191,157,100.51167,1007033
59.99,2139,240.78372,112.77448,108,50.57667,1075561
59.998,2172,299.50318,149.69846,189,86.67,1100964
59.994,2194,101.28499,45.45587,89,60.73167,1098476
59.997,1854,185.45595,86.29555,186,88.47833,934575
59.995,2099,253.24566,143.09907,144,85.77167,1051822
59.99,2263,254.71812,69.06319,122,78.14167,1133187
59.99,2046,202.8133,178.12422,161,80.145,1023395
59.99,2383,159.16219,65.4209,106,63.17,1208050
59.997,2053,502.08598,439.75636,149,120.3,1027965
60.001,2113,447.27911,396.61655,133,105.635,1061539
59.994,2915,330.72759,251.0974,118,68.90167,1486579
59.996,1988,182.82251,64.90394,160,80.53833,996896
60.004,2600,198.78455,65.61035,135,104.605,1300268
59.991,2910,473.27609,168.0047,93,35.80333,1464480
60,2537,304.36289,193.19885,112,64.37667,1280008
60.04,1875,134.81477,75.44529,161,98.13167,939002
59.993,2053,226.76087,96.38201,135,99.37167,1027515
60,2277,253.4063,207.58261,102,79.98,1145391
59.998,1730,253.90757,205.88636,176,125.885,870762
59.992,2184,205.59081,180.97481,165,87.31833,1092230
59.995,1784,84.82297,66.00989,166,124.25667,891554
60.007,2155,228.7442,180.33419,123,57.42833,1082498
59.991,2157,159.26842,68.30714,128,73.95333,1086871
60.001,1984,89.35957,44.66631,139,90,992492
59.996,2000,142.07623,57.50198,168,101.31833,998178
59.997,1979,181.89303,53.90092,96,82,996016
60.001,2156,81.66179,38.01582,82,52.56,1081422
59.997,2231,121.65369,76.21922,146,111.89667,1113200
59.998,2253,178.92225,54.26316,95,74.81833,1130624
59.99,2199,279.22097,175.04818,121,63.25333,1102396
59.994,2171,84.88271,52.99961,120,88.43,1081216
59.992,2283,361.26902,304.88932,134,81.61167,1145582
60,1958,189.56645,134.69285,156,130.72667,986241
60.003,1889,105.61551,55.94469,160,104.885,949822
60.004,2159,424.42056,337.94654,117,77.64833,1092152
59.994,2087,86.56772,38.18181,143,114.14833,1044260
59.994,1941,116.74607,86.49593,168,107.17833,971201
59.998,1902,297.2052,201.85431,182,102.09,951962
59.997,2050,133.77853,87.46203,126,80.45167,1025013
60,2668,324.07966,239.4095,109,59.23167,1343657
59.994,2130,81.10742,41.93833,152,72.255,1070792
59.992,2134,74.53392,44.54941,139,101.615,1066471
59.993,2035,85.3491,47.48878,173,121.025,1014374
60.002,2035,71.06081,38.70677,118,90.41833,1018314
59.996,2334,255.9694,90.01906,156,77.90833,1168108
60.004,1859,295.3825,227.8166,140,106.2,932409
60.003,1928,301.09407,195.15976,156,90.13667,969792
59.996,2078,367.93261,296.99814,144,111.52167,1045983
59.992,2288,215.56425,132.96362,122,85.365,1150958
60.004,1757,290.93819,228.67002,171,105.245,881174
60.003,1865,84.58699,60.5901,137,100.855,932662
59.997,2138,213.30869,166.63045,173,54.43667,1074890
60.003,1991,116.48437,48.19911,169,115.02167,995265
60.002,1912,96.51761,57.5416,150,123.44,954803
60.001,1993,96.18483,50.26554,141,93.8,997133
59.992,2037,267.28928,166.59706,124,80.76167,1026809
59.993,1850,91.61776,45.86777,175,104.50833,924697
60.002,2129,230.13361,143.2199,142,81.235,1063863
60.003,2384,166.74241,129.34359,119,76.61833,1191231
60.002,3174,661.39225,296.36226,95,54.09167,1616303
60.002,2044,112.18191,68.24395,111,56.01667,1022125
59.995,2065,293.97495,199.88564,158,60.32333,1035875
59.993,2398,337.99252,252.4695,134,87.44667,1209258
59.992,2190,491.54025,341.04738,144,88.16,1102865
59.999,2737,163.78323,111.34049,103,77.77167,1373839
60.001,2077,163.84176,52.04938,111,85.03833,1045702
59.99,1954,124.13221,51.20314,156,92.42167,978573
59.99,1899,117.7131,58.80865,166,99.90833,950274
59.997,2459,202.61554,116.10061,127,64.61333,1238348
59.993,2239,347.51528,216.2613,152,87.54833,1128852
59.993,2048,279.9429,195.83648,157,121.83667,1025177
59.996,2360,222.3528,143.76336,143,53.48,1183607
59.995,2083,138.42267,85.48877,135,79.025,1043785
59.998,1999,175.15449,113.65319,111,57.43,1001115
60,2106,309.34166,162.77869,134,61.085,1065751
59.994,1925,161.73066,54.37601,147,91.73833,970433
60.004,2132,236.74869,181.35482,177,75.12333,1067456
59.999,2268,134.07205,68.55586,151,125.38167,1142888
59.994,2113,107.99432,74.76428,151,111.185,1055928
59.997,1755,72.93746,44.6965,180,103.98667,878960
59.992,1960,211.91119,147.99422,146,85.61333,987308
60.004,2265,248.35232,67.68998,111,71.535,1142198
59.998,1950,120.2161,51.29331,175,107.82333,974497
60.001,2218,226.58236,108.02306,118,66.13833,1111350
60.003,2808,293.14972,190.52562,155,74.64667,1416471
59.997,2093,223.95187,104.08867,107,58.63667,1053843
59.992,2225,213.07857,103.777,126,72.18333,1116139
59.99,2552,306.25419,224.55916,96,62.46,1284346
59.993,1986,82.65394,48.50575,135,84.555,992359
60.002,1909,417.89965,378.0538,167,118.02167,959750
60.003,1869,354.9931,279.00357,173,143.25,938604
60,2295,279.51593,198.56821,131,43.96,1159191
59.992,1938,278.41037,199.3512,138,94.28167,969578
59.994,2144,86.10249,44.15422,135,93.75667,1070027
60.001,1824,131.10161,90.5836,145,112.02167,912605
59.995,2462,74.79319,41.65022,150,121.775,1227263
59.993,2105,89.14685,57.76924,114,66.875,1053529
59.99,2299,302.55186,246.97754,141,67.02833,1161246
59.993,2001,129.02194,50.89663,181,93.30667,1000370
60.003,2076,66.44967,43.28239,118,82.41667,1033979
59.993,1989,293.0161,229.92486,132,65.165,1001008
60.001,1972,188.3462,129.73516,138,50.88667,993001
59.992,2787,247.94137,152.57872,79,67.74,1406690
59.993,1975,122.94123,44.08693,163,118.31833,991417
59.99,1875,120.33519,55.10328,186,96.61,937999
59.992,2237,201.40275,69.43707,106,71.895,1125180
60,2047,232.2299,135.787,180,74.45167,1025199
59.99,2298,389.96249,322.1063,152,95.89667,1152319
59.993,1889,274.58755,212.64403,170,107.56667,952977
60.001,1975,114.08131,41.17288,168,130.26333,989430
59.991,2026,195.91683,74.00698,120,59.115,1017544
59.993,2186,322.41085,268.52514,136,90.8,1100285
59.998,2292,296.2511,235.58654,133,90.445,1152838
59.99,1952,306.8591,244.81069,134,94.41667,978699
59.996,2160,352.69356,266.04558,133,103.015,1088629
59.994,2265,255.88556,98.64341,120,89.30167,1136735
59.992,1982,160.86915,75.76634,157,60.915,993824
59.997,2528,535.84605,469.74626,123,71.605,1285841
59.991,1908,164.97605,126.32332,112,103.96833,956277
59.997,1935,117.79344,76.86004,136,59.27667,968181
59.992,2507,205.37581,138.40231,131,89.57167,1262797
60.001,1918,292.8401,207.61448,140,106.52167,962517
59.99,1663,310.04127,204.81477,184,127.27167,836582
59.992,2135,194.80948,88.67126,86,67.22833,1091963
59.999,2135,122.51545,49.39265,129,101.05833,1066615
59.991,1952,115.93764,73.22022,178,106.67833,979443
60.004,1908,343.54078,247.32153,162,104.07333,957452
60,2557,403.33456,94.66426,132,61.20333,1285701
59.997,2245,359.09639,246.01863,167,86.46333,1127901
60.003,2125,122.51198,56.10798,115,67.84833,1063750
60.004,2246,106.9519,47.95122,136,65.64167,1128782
59.991,1900,146.80517,90.03157,139,63.20167,954406
60.004,1985,428.85949,355.74959,162,130.61,1002369
60,1998,462.80676,374.66529,122,96.52,1002964
60,1927,107.08898,75.84894,169,74.455,962685
59.994,1835,218.01022,124.27033,137,71.21333,920862
59.991,1941,238.6733,163.098,122,62.63833,978017
59.997,1941,185.50188,128.79343,146,94.815,974967
60,2108,381.13944,252.10976,139,85.02,1061421
59.99,2179,140.41875,85.78777,145,75.995,1086161
60.001,1825,156.25773,64.259,166,131.68667,912533
59.996,2048,335.36027,268.02759,142,108.63833,1030234
59.99,1962,330.02355,155.55716,143,72.60833,992067
59.996,1947,114.97556,51.72376,102,79.04667,973702
59.992,2259,203.05548,65.64429,137,91.76167,1136784
59.993,1875,226.2395,115.58532,151,109.79667,942456
59.996,1829,127.60562,54.25021,153,130.165,917607
59.998,2155,273.00087,207.16007,163,67.915,1075839
60,2142,278.97293,167.39736,111,75.93,1082436
59.99,2019,121.79239,52.21756,71,35.29833,1012162
59.99,2480,525.95211,264.42899,112,66.95167,1255815
59.995,2555,410.65941,335.20805,129,98.795,1280870
59.994,1907,86.44735,49.40247,169,108.93333,952832
59.99,1907,283.93791,169.87702,138,99.98,959831
59.992,1989,268.26843,194.03651,114,104.71667,1003515
59.994,2229,272.3264,201.44991,179,84.04167,1123964
59.996,2195,156.2163,49.34822,116,81.6,1103550
60.002,2076,159.71602,57.1894,127,65.38833,1044292
59.998,2034,122.90323,61.15906,155,91.93667,1016528
59.992,1930,72.59687,44.23381,163,130.53,964682
