secs,gens,bestfitness,meanfitness,maxcomplexity,meancomplexity,evalcount
60,1941,818.27149,666.68152,146,85.645,980139
60.003,2527,324.91661,163.25811,78,50.755,1266224
59.991,2051,394.72556,258.05261,151,75.60333,1033194
59.994,2022,385.56337,330.54201,194,123.74333,1021393
60,2124,789.08048,622.20872,126,89.34,1073826
60.001,2462,307.35954,216.71657,100,64.55167,1241460
60,2045,592.91966,451.61099,111,79.56833,1032256
59.995,2408,255.24293,211.15853,78,49.91167,1208545
59.998,2301,990.47004,882.47384,143,81.87167,1156085
59.998,2069,423.00275,369.51278,108,89.03333,1039419
60,1957,427.81669,344.49572,164,99.11,985842
60.003,2156,343.07431,199.45215,103,64.59333,1077193
59.999,2377,117.0613,51.7219,87,60.33167,1190248
59.991,2357,291.30278,151.79231,104,52.72167,1181339
59.997,1984,109.5165,49.15295,152,91.65833,993469
59.994,1994,67.57757,41.55518,117,98.16333,997745
59.997,2013,413.51463,335.7266,144,102.68,1019206
59.992,2118,279.79444,235.78043,142,127.63333,1067143
60.003,2064,96.88694,81.62871,125,54.09167,1033057
59.992,2105,519.75986,360.56222,111,103.54667,1058929
59.999,2185,718.62446,557.07574,61,39.03833,1088598
59.994,2300,772.58315,654.1001,113,80.32833,1154998
59.994,1661,102.6589,64.54677,183,122.55333,830245
59.99,1823,470.82179,354.155,183,98.15833,917454
59.995,1955,60.43305,38.34113,160,97.42833,980133
59.999,2173,256.60127,157.71038,136,54.36333,1088023
60.003,1869,208.15518,105.8582,156,94.45667,939924
59.993,1817,698.41232,546.71274,138,117.88,911148
60,1705,844.23785,619.75013,86,72.81667,859445
59.995,1901,74.51667,44.48921,147,84.115,949452
60.029,1814,806.02575,753.51387,147,112.85,911384
60.025,1785,71.7655,45.49282,137,91.61667,892353
59.993,2098,443.18257,363.30598,133,97.11,1051877
59.992,2052,525.94476,364.4825,142,96.64333,1036804
60.003,1671,448.37858,338.62591,163,105.88833,841789
59.998,1828,198.74477,115.58614,142,62.33833,912150
59.998,1847,311.81763,267.20137,161,110.47167,931836
59.992,1908,590.89126,330.05827,162,89.745,960992
59.998,2072,518.12265,445.85589,145,84.73167,1044804
59.999,2178,923.67471,774.76885,117,63.63333,1096196
59.994,2062,998.5731,846.74765,137,86.63667,1039901
60.004,1801,123.56045,67.24083,145,74.73167,901098
60,2270,635.90312,526.42231,123,65.8,1133703
59.996,2228,249.00056,182.02066,147,76.95333,1117217
59.993,2347,840.45078,686.30067,115,81.79333,1177285
59.992,1970,402.22002,327.33807,106,81.24,988998
59.998,2343,995.64009,820.89494,73,65.77833,1175332
59.999,2102,849.2147,574.35773,99,92.39333,1060053
59.998,1967,337.63009,295.29695,116,82.01667,986682
60.002,1780,424.88746,385.92153,166,118.955,895728
59.992,1987,920.35958,785.6734,171,125.045,1002902
59.992,1719,561.8959,411.06416,179,109.50833,861447
59.996,2213,144.42208,97.52134,93,71.42833,1113971
59.996,2165,214.42725,132.21667,99,46.40167,1084182
59.99,2114,615.1997,392.86707,127,64.66333,1067742
59.991,1964,311.81034,182.19304,122,68.1,982763
60.002,1635,442.00501,341.86992,189,140.24333,820624
59.99,2187,379.30863,312.12156,101,66.11333,1096222
60.002,2187,941.5044,850.90262,139,118.16333,1097798
59.996,1793,793.30971,510.66824,157,115.405,903447
59.992,2011,836.67484,576.66097,171,119.055,1010261
59.99,2319,546.12928,443.73589,121,68.29333,1167761
59.997,2182,466.87596,390.3909,110,79.28333,1095607
59.991,1926,718.38771,628.20445,151,109.97167,968959
60.002,1782,616.29284,484.91119,145,77.98833,894273
60.002,2071,105.43892,50.80007,103,81.58333,1032780
60.001,2080,681.19867,606.89112,111,77.04667,1047428
59.99,2206,909.75316,669.81713,126,83.61833,1113536
59.996,2007,60.33466,38.99405,147,130.64167,1006466
59.995,2130,446.02872,316.53607,166,130.62667,1070322
59.995,1857,381.48007,315.07157,120,113.53167,931213
59.994,1742,299.65032,229.82718,147,125.42,877708
59.995,1848,429.58575,347.28496,142,89.48833,936774
59.996,1928,252.02233,125.45892,168,73.38667,968547
59.99,2009,127.03087,49.07288,104,94.79167,1009609
60.04,1811,585.92194,393.30685,165,147.18333,908461
60.004,2123,201.8179,59.45764,107,85.21,1060827
60.002,2046,435.9794,386.8617,150,90.645,1026706
59.991,1802,990.00837,746.59824,183,151.78167,909993
59.998,2172,769.80292,672.59441,136,85.10333,1092440
59.992,2005,59.3644,49.04231,152,87.12333,1001301
59.995,1813,83.17569,52.37152,139,54.76333,906971
60.003,1922,333.97399,260.78274,188,81.33833,969984
60.003,1854,660.55694,556.56217,154,116.305,932983
60.003,1951,772.76641,560.2726,150,110.11833,983965
59.993,2037,995.37299,739.00984,136,87.92667,1018371
59.99,1973,507.73878,402.60594,150,103.565,993928
59.997,2005,94.39859,44.09345,140,97.79167,1002755
