secs,gens,bestfitness,meanfitness,maxcomplexity,meancomplexity,evalcount
59.99,2035,77.53031,43.96784,135,91.625,1016054
59.99,1796,94.40613,49.1537,168,102.76167,897265
59.99,2205,314.09276,249.13108,121,73.50167,1105331
59.99,1941,149.83523,116.22546,215,109.56667,973932
59.99,2042,47.59451,42.6597,152,77.50333,1017936
59.99,2039,161.94451,49.63841,144,79.59167,1020925
59.99,2162,760.63172,306.11127,162,83.70333,1091514
59.99,2152,219.2275,133.73891,105,63.52833,1078167
59.99,2032,483.10697,356.15403,153,90.44667,1020821
59.99,1892,659.84691,578.2725,145,84.04833,954115
59.99,1669,660.39171,528.32797,168,124.315,841663
59.99,2600,171.54136,64.08273,82,41.35833,1301039
59.99,1917,354.84404,232.1602,137,107.93167,961576
59.99,2188,46.81141,41.76039,127,63.63333,1091686
59.99,2011,153.88015,66.77997,137,82.29667,1006263
59.99,2037,47.89822,40.80764,126,84.39333,1019218
59.99,1642,158.74919,63.17423,187,114.855,823709
59.99,2293,268.58543,162.34309,167,66.30167,1149654
59.99,2172,235.27596,59.30962,126,71.31,1084073
59.99,1880,758.54793,650.21998,167,125.015,948397
59.99,2007,799.81091,699.83653,183,102.60833,1003672
59.99,2121,82.43136,54.0453,121,107.72167,1056657
59.99,1930,747.19264,515.22447,113,90.43833,970246
59.99,1993,150.73016,77.36428,158,58.695,999482
59.99,2130,361.74471,161.92291,111,78.635,1069247
59.99,1984,52.75992,40.33654,116,86.27667,991502
59.99,1873,233.69079,138.24978,174,131.21333,940476
59.99,2156,390.65932,343.64543,132,113.805,1083403
59.99,1934,131.53406,51.56093,141,106.175,965905
59.99,1759,109.12335,77.24602,185,113.72833,883010
59.99,2145,100.89023,49.85468,136,85.04,1073392
59.99,1992,442.93346,329.61353,185,97.985,1000492
59.99,2047,210.29477,145.99836,130,75.74667,1024433
59.99,2031,99.05899,47.25273,131,105.02667,1014772
59.99,1846,79.13991,60.84623,191,117.35167,925699
59.99,2247,168.93266,53.37366,142,85.06,1123647
59.99,2330,366.78941,203.0703,82,75.78667,1164362
59.99,2186,61.75163,38.94453,148,111.03333,1091611
59.99,2221,80.6275,42.91441,156,109.22667,1109949
59.99,1909,280.96409,216.79806,144,104.39167,961542
59.99,2291,85.91136,45.95907,121,87.43167,1146639
59.99,1859,465.62251,380.86368,176,100.895,931060
59.99,2191,461.32403,274.01125,108,77.98333,1097910
59.99,1772,321.36124,250.15147,178,116.02833,888503
59.99,2193,472.2846,376.47318,97,61.12833,1098480
59.99,2362,362.54005,258.46855,106,83.32833,1184511
59.99,2093,47.27591,42.47467,129,97.35167,1044339
59.99,1929,315.12931,223.39222,180,86.64,966592
59.99,1932,252.19357,142.3205,143,85.81833,973212
59.99,2297,635.21508,452.69583,133,90.27833,1162103
59.99,1942,201.03451,73.57121,150,91.00833,972921
59.99,2016,345.56266,241.54074,171,105.73667,1014235
59.99,2294,126.12774,45.89323,128,112.42,1149370
59.99,2836,649.07492,499.8686,89,52.62167,1419077
59.99,2226,499.58184,341.36131,92,64.89333,1124644
59.99,2100,131.9623,85.57595,132,85.43333,1051077
59.99,1970,192.89062,158.47379,157,88.66667,987718
59.99,2043,770.62189,646.33043,147,83.11333,1026599
59.99,2072,227.22015,97.62231,116,42.13,1034956
59.99,1954,47.779,38.01438,147,80.41667,976742
59.99,2064,62.62244,54.51729,146,86.16,1029401
59.99,2324,128.05322,55.3544,126,75.79333,1165987
59.99,2298,276.23459,179.64321,122,44.135,1154765
59.99,2263,163.28339,62.27994,132,86.21,1131114
59.99,2132,256.33903,178.91765,152,85.41,1075783
59.99,2150,206.14943,187.01175,139,105.43333,1075367
59.99,2203,193.82152,87.82581,144,71.91167,1103201
59.99,2136,291.30325,83.50348,125,101.23,1070989
59.99,2390,117.42271,48.39789,115,64.37667,1199078
59.99,2009,417.86649,367.53155,124,84.615,1006460
59.99,1951,126.82229,84.49575,150,88.80167,974982
59.99,2435,542.58805,413.87989,143,94.82833,1221347
59.99,2160,67.78857,43.46641,138,82.175,1079649
59.99,2156,376.89295,290.65438,165,107.215,1081275
59.99,2254,298.97441,234.41796,110,81.47167,1133913
59.99,2181,592.52599,391.85314,199,76.44333,1094264
59.99,2070,47.66601,42.30024,124,68.485,1037229
59.99,2002,88.59735,43.85134,150,92.06333,998993
59.99,2245,62.28037,33.2923,151,116.35167,1123010
59.99,2086,195.96411,126.26056,149,92.28667,1050947
59.99,2124,78.29839,44.38096,140,106.70333,1060368
59.99,2147,48.92082,41.22414,99,66.47667,1070783
59.99,1997,99.87523,46.68904,182,93.63333,999064
59.99,2207,175.64198,105.13749,147,94.615,1103742
59.99,2066,94.60945,50.97385,147,104.25833,1031431
59.99,2100,70.72775,48.84683,148,93.665,1048001
59.99,2204,104.24604,54.8634,137,80.71,1102470
59.99,2097,166.70097,101.29963,129,73.865,1051871
59.99,2375,52.3658,41.28825,147,114.21667,1183805
59.99,2192,117.81828,60.87008,160,98.60333,1094944
59.99,2154,181.24701,53.98457,135,89.25,1077966
59.99,2348,495.38622,378.17495,130,56.23167,1174046
59.99,2079,262.75842,142.77975,151,99.13,1042349
59.99,2064,375.60051,296.70776,174,109.02,1037919
59.99,2089,273.1632,227.78274,128,109.39833,1047941
59.99,2005,175.93623,88.6802,147,81.66667,1004733
59.99,2380,228.67029,123.8505,97,49.965,1200730
59.99,2412,158.36136,63.16336,110,66.415,1213002
59.99,2127,488.61856,422.13625,184,140.24667,1064736
59.99,2357,177.2387,62.66755,119,50.91833,1187808
59.99,2140,102.79921,42.11727,154,90.88,1069516
59.99,2059,50.50238,44.47802,119,79.05333,1026877
59.99,2027,135.6276,69.85372,135,69.63,1014200
59.99,2531,196.78885,52.11002,103,40.67,1266724
59.99,2313,202.13015,66.2735,116,75.79833,1156443
59.99,2264,71.98975,43.86438,121,84.62167,1130230
59.99,2179,337.49188,276.83489,132,76.3,1094357
60.006,2046,117.05101,46.50224,153,94.10833,1024114
59.99,1993,224.74668,193.39937,145,90.96167,995411
59.99,1963,137.30537,113.60626,98,88.73833,979726
59.99,2056,116.86612,67.43067,130,97.93,1025841
59.99,2272,675.87052,558.53651,140,92.57167,1135350
59.99,2371,110.96827,47.45764,96,63.30833,1182063
59.99,1944,192.60918,76.02565,137,94.99,973699
59.99,2001,120.26963,86.11877,185,95.00333,997852
59.99,2093,334.95802,258.93826,98,45.35,1052227
59.99,2013,61.01272,39.10773,139,63.42167,1004780
59.99,2092,98.21574,70.43521,145,85.1,1043721
60.014,2162,47.45508,39.90805,131,71.05833,1077635
59.99,2324,656.13569,560.46937,128,86.87,1165488
59.99,1953,292.97486,118.23238,175,88.29833,976883
59.99,1945,372.36517,187.45075,165,46.81,981643
59.99,2792,661.45232,473.8273,128,99.10833,1404856
59.99,1948,153.38973,69.70276,159,101.43833,976747
59.99,2344,151.00489,81.57031,133,89.65333,1172578
59.99,2188,53.03458,42.86633,131,102.175,1090992
59.99,1812,498.03627,301.75689,173,105.38833,916617
59.99,2164,105.87594,41.9346,116,84.64667,1082903
59.99,2423,111.94733,45.18271,132,88.16833,1211475
59.99,2124,547.34451,423.33772,109,71.89167,1063993
59.99,1940,45.16126,39.85722,159,77.54,971064
59.99,2113,96.17264,55.99015,165,88.06167,1053991
59.99,2032,436.67123,347.1787,138,85.16833,1022466
59.99,2223,298.61277,206.37352,103,78.13667,1113615
59.99,2055,149.77797,57.60615,150,81.71,1032154
59.99,2277,221.39635,63.37124,98,60.42333,1141570
59.99,2893,277.36035,49.38502,91,66.095,1445861
59.99,2124,78.445,42.12219,124,94.20833,1062725
59.99,1879,497.45424,368.82798,124,95.40167,950357
59.99,1845,240.23529,172.52373,141,110.935,925687
59.99,2070,53.51971,40.79182,140,87.95167,1033297
59.99,2242,302.73216,230.33678,112,67.19333,1126723
59.99,2037,69.55135,48.39628,147,83.53833,1018445
59.99,2194,207.52823,106.39205,125,34.77667,1098438
59.99,2301,272.49143,86.66197,92,40.09833,1154302
59.99,2392,627.00973,370.25899,136,77.79667,1208778
59.99,2240,146.10991,48.79082,158,130.18,1124923
59.99,2009,102.62602,60.71794,140,78.46,1002070
59.99,2144,91.09237,39.79666,150,97.3,1072399
59.99,2067,99.32359,51.50769,131,84.82833,1029977
59.99,2001,792.60927,219.36373,246,92.05,1013530
59.99,2237,218.54357,96.8916,161,76.31333,1117296
59.99,2108,261.82843,70.92554,125,88.41,1059035
59.99,2455,871.69685,710.86892,89,63.48333,1226222
59.99,1976,171.03838,61.09764,149,120.98333,987369
59.99,2142,520.59646,421.56934,122,86.525,1073552
59.99,2501,673.19166,527.6203,147,79.03833,1257550
59.99,2158,121.49998,59.58859,139,108.87667,1076021
59.99,2265,68.94772,44.39575,127,80.185,1128960
59.99,1958,120.15919,46.18337,173,105.055,982768
59.99,2183,91.26254,44.71648,144,94.685,1091004
59.99,1762,376.99847,264.20277,166,117.58333,883902
59.99,2183,171.8877,91.89191,158,82.98333,1093513
59.99,2360,187.63234,102.05646,104,50.71333,1184817
59.99,1852,204.28899,64.57239,141,64.785,928029
59.99,1888,50.0844,42.55964,192,152.18167,942893
59.99,2197,192.87723,120.18522,118,59.01333,1101378
59.99,2207,109.73623,58.44646,158,91.51833,1103788
59.99,1845,344.7758,253.32487,130,87.80833,927509
59.99,2408,282.57138,166.62532,122,43.85833,1205906
59.99,1765,278.9026,197.61647,147,125.055,889660
59.99,2386,83.18875,56.31764,141,52.31667,1186419
59.99,2161,122.77184,68.95911,162,82.16333,1078689
59.99,1924,147.634,75.581,145,79.135,964658
59.99,1992,52.92458,44.60075,178,116.94167,993263
59.99,2362,163.54242,48.07135,139,98.06333,1190205
59.99,2005,154.76475,94.55345,115,100.31,1007013
59.99,2086,384.5605,345.39229,137,88.75667,1047881
59.99,2032,347.17314,252.86761,117,70.045,1019812
59.99,1926,396.59209,162.5674,120,113.315,967414
59.99,2322,137.75885,85.25503,117,84.79,1157738
59.99,2825,407.23126,280.44755,84,62.92667,1409730
59.99,2083,196.64841,118.80646,127,95.29833,1041867
59.99,2064,128.59289,49.27083,113,76.21833,1029594
59.99,2115,174.23349,113.91891,102,61.05333,1059871
59.99,1932,358.13965,292.14224,153,115.09833,967154
59.99,2001,141.86259,58.77824,120,80.09833,1002651
59.99,1979,83.91002,42.24826,157,95.1,987063
59.99,1935,536.02114,431.95679,158,97.98,970413
59.99,1972,70.15211,43.81287,143,66.79833,984662
59.99,1964,72.00534,41.30703,173,78.92333,981799
59.99,1921,582.93881,446.45571,151,107.13,968877
59.99,2029,166.64885,66.35429,127,100.82,1015308
59.99,2518,375.94646,183.7848,129,104.66167,1266243
59.99,2274,134.37966,94.90362,99,73.69667,1136988
59.99,1989,530.32707,406.58693,147,82.48833,996686
59.99,1856,50.27343,42.79022,142,92.855,926008
59.99,2047,167.35418,49.16593,109,92.71667,1032101
59.99,2396,199.79003,54.417,122,72.73167,1200397
59.99,1935,79.32392,45.72345,150,102.35833,967257
59.99,2093,154.77089,70.21876,122,76.465,1051067
59.99,2032,124.9521,64.96144,132,85.10833,1012434
59.99,2158,642.25234,539.10974,139,108.01333,1081454
59.99,2520,236.92081,75.17649,95,56.905,1275566
59.99,2122,90.57859,46.43647,139,96.54333,1059373
59.99,1888,117.8091,94.70553,188,103.67167,944523
59.99,2218,159.92789,47.8252,93,56.00167,1110492
59.99,1939,405.22904,346.75722,126,87.09667,979807
59.99,2090,75.85958,43.65574,147,113.18833,1044009
59.99,1877,261.01475,185.30798,143,98.89833,942371
59.99,1980,158.17071,46.999,159,104.56333,988317
59.99,1926,418.88525,177.90731,147,89.95,966399
59.99,1953,545.90171,413.02354,154,98.28667,980752
59.99,2356,71.72222,42.2968,113,76.03833,1175851
59.99,2255,497.31338,430.37848,137,79.68667,1130432
59.99,2027,395.83532,325.78185,139,131.72833,1016167
59.99,2211,147.72329,75.54059,142,81.37167,1107145
59.99,2194,50.09636,37.79885,140,77.855,1096866
59.99,2102,206.21106,99.72749,139,89.90333,1051137
59.99,2234,112.51433,71.54595,112,63.835,1114481
59.99,2444,128.5474,50.69566,106,64.97167,1223321
59.99,2199,154.41833,84.95367,139,46.64833,1101139
59.99,1886,81.79243,48.11448,161,102.56,940769
59.99,2042,136.58086,87.2752,156,79.74167,1025846
59.99,1915,193.98448,99.46046,157,104.13667,957925
59.99,2399,138.48873,85.11807,129,77.9,1197870
59.99,2145,71.85181,43.30043,141,86.50333,1071142
59.99,2005,215.46011,125.38262,141,62.79833,1000985
59.99,2146,501.86544,400.85873,138,81.36167,1074289
59.99,2208,95.88638,43.14932,133,86.30667,1102289
59.99,2162,86.39053,50.59242,138,83.805,1074685
59.99,1969,44.53295,40.49814,136,88.05833,982616
59.99,2390,192.85254,55.42995,98,71.86,1200899
59.99,2256,166.461,110.11762,141,71.11,1133224
59.99,2067,197.81956,119.08899,159,84.695,1033498
59.99,2256,244.51595,199.22727,133,71.94667,1129080
59.99,2034,212.24614,176.59829,143,107.17667,1018422
59.99,2320,73.81957,41.88848,122,93.15667,1158684
59.99,2128,48.14935,42.67779,116,78.64167,1063361
59.99,2320,89.53281,43.26948,123,58.38167,1155130
59.99,2470,364.83699,231.70378,138,88.915,1235958
59.99,2131,672.03837,555.51475,169,111.435,1070400
59.99,2082,370.69289,264.34507,140,109.72167,1049244
59.99,2360,247.08003,134.60193,99,45.115,1184100
59.99,2196,260.93728,201.63643,143,81.545,1100036
59.99,2143,271.02782,234.09053,163,92.32667,1070282
59.99,1891,337.14998,266.5367,158,118.39833,944498
59.99,2310,701.56672,535.25258,162,99.20333,1163660
59.99,2219,266.48195,112.8174,138,73.30667,1108665
59.99,1751,72.63902,48.96059,171,91.43667,877476
59.99,1959,210.82189,56.33238,175,111.71833,980981
59.99,2027,175.56682,53.36515,116,90.14333,1014535
59.99,2397,169.85586,83.79912,94,81.165,1201255
59.99,2074,128.7698,69.50586,115,58.935,1037927
59.99,2257,257.23823,179.15142,116,51.255,1139970
59.99,2090,224.91036,138.48957,112,81.44,1051449
59.99,2473,183.31901,45.57121,89,71.17667,1246451
59.99,2086,277.99169,176.44475,152,96.07667,1046135
59.99,1858,275.82289,167.25872,171,90.33833,937722
59.99,1991,196.63556,66.10299,178,93.34833,1002611
59.99,2197,154.04147,49.83481,128,97.995,1099095
59.99,2085,338.01174,171.84062,147,67.37167,1043171
59.99,1929,100.04113,56.62301,146,60.715,965439
59.99,2132,87.73945,44.50216,138,91.25333,1063069
59.99,1906,194.41864,106.18882,131,86.29667,951636
59.99,2012,103.71951,52.39248,157,70.935,1006332
