secs,gens,bestfitness,meanfitness,maxcomplexity,meancomplexity,evalcount
60.006,471,1599.59881,1535.39387,38,29.215,236403
60.001,426,1642.53208,1532.30637,32,20.18333,212888
59.99,483,1616.42235,1523.78716,39,22.975,243427
59.99,498,1681.99233,1533.73278,40,28.78833,249358
60,474,1604.12192,1549.97636,33,27.41667,238779
59.998,430,1604.6607,1514.6016,44,31.83333,214501
60.009,460,1663.44829,1396.58484,36,28.86667,229884
59.993,461,1658.28076,1575.7355,37,31.90833,230643
59.994,502,1600.91937,1539.7547,43,35.03833,250860
60.003,394,1614.45456,1493.66482,45,32.38167,198005
60.002,400,1685.41919,1569.73453,50,39.205,200640
59.999,456,1650.55282,1548.86295,43,27.71,228118
59.996,396,1607.09352,1559.50621,41,25.44667,198352
60,464,1631.63913,1505.16423,36,31.69,232592
59.998,516,1623.48991,1537.38135,41,33.01167,260160
60.002,547,1626.44736,1517.02636,43,19.80167,273948
60.003,471,1610.82413,1529.42306,41,30.685,236136
60,496,1672.96423,1537.81889,33,16.75833,249472
60,450,1599.59507,1402.08033,41,35.03,224883
59.998,481,1686.54295,1539.85161,46,40.11167,242217
59.995,461,1622.5401,1502.24285,42,29.88833,230527
59.993,485,1599.59836,1514.89961,37,29.81833,243197
60.004,545,1685.43007,1552.40017,37,20.69667,273247
59.993,427,1643.84355,1529.4169,45,34.24333,213446
59.995,433,1620.47387,1527.55161,47,41.02,217471
60.003,412,1630.98938,1318.88724,43,34.95333,207024
59.991,456,1649.45128,1448.17751,40,19.55833,228478
59.996,509,1640.79968,1512.6834,45,23.56333,255219
59.996,508,1664.77179,1542.77904,44,23.32167,254934
60.004,464,1599.6005,1490.85371,35,26.995,232901
59.999,500,1639.95741,1434.93844,33,25.26167,250769
60.003,520,1661.49788,1521.48376,39,33.30667,261468
59.99,481,1665.04815,1477.50857,49,41.35833,241046
60.001,512,1650.23895,1514.31293,45,35.97167,255114
59.993,492,1644.70836,1521.84413,42,29.74667,246828
60.008,461,1651.1885,1409.37449,31,24.56667,229955
60.006,430,1599.59479,1459.89655,38,29.19833,215856
59.995,483,1630.76046,1508.56116,44,20.53333,241730
60.001,474,1628.54595,1477.05261,43,36.49,238041
59.995,507,1618.76364,1435.58902,40,25.115,252848
59.996,497,1647.58545,1527.847,34,29.45167,249470
60.012,414,1627.08291,1562.2601,37,26.115,207778
60.004,508,1639.73423,1554.72339,40,31.11833,254572
59.999,516,1655.0102,1543.32645,45,31.77167,258779
59.992,538,1599.60014,1528.72848,36,20.395,270140
60.004,439,1620.34668,1488.11271,39,31.46833,219949
60.02,424,1623.79632,1414.51757,43,27.48333,212881
59.999,446,1606.51402,1535.52958,35,29.42833,223778
60.011,469,1627.99685,1505.41489,45,34.55333,235204
60.004,466,1642.78612,1491.69974,40,30.03333,233498
60.001,494,1613.6705,1539.88848,43,31.72,248282
60,548,1666.72846,1449.55131,40,34.11333,274876
60.004,518,1599.59782,1513.01807,37,25.73167,259428
60.001,423,1658.86276,1544.47417,53,43.155,211756
59.994,496,1607.67015,1480.68807,33,28.82167,249470
60.004,408,1599.59862,1554.78559,45,33.12,204005
59.992,431,1600.35172,1558.16613,42,35.99833,214879
59.99,442,1622.05243,1581.36713,43,26.90333,222442
59.995,468,1654.89709,1403.8715,42,28.79167,234805
60.002,443,1629.86691,1460.06232,45,27.97667,222552
60.001,479,1658.42915,1530.28016,33,25.55333,239938
59.997,419,1650.38855,1429.64009,39,25.90167,210709
59.992,507,1599.60064,1436.05484,35,30.54,254542
59.997,477,1605.40868,1528.65527,44,29.80833,238489
59.994,459,1619.26679,1380.12251,36,24.93,230281
60.004,433,1599.59999,1546.52813,40,34.02833,217116
59.992,508,1619.35743,1551.28867,35,27.78667,255725
59.995,509,1599.59815,1550.0227,32,24.39833,256220
59.995,483,1599.5999,1554.60981,47,36.69667,241582
