secs,gens,bestfitness,meanfitness,maxcomplexity,meancomplexity,evalcount
59.997,321,1605.05928,1487.00818,91,46.855,159959
59.991,373,1627.1244,1336.37762,88,44.235,186988
60.004,312,1605.61609,1547.12891,86,57.47333,156317
59.991,330,1624.0472,1588.2886,108,40.61667,164808
59.999,394,1619.1948,1527.14423,97,54.335,196855
59.999,368,1642.0256,1416.04885,98,76.40833,183376
60.004,379,1628.68468,1541.51346,76,52.44167,189213
60,373,1611.18031,1471.88412,102,72.235,186142
60.001,290,1611.34689,1462.00293,115,60.3,144610
60.002,344,1619.40578,1570.22501,97,48.17667,171871
60.004,340,1623.87868,1266.7086,123,81.42167,169838
59.999,315,1645.14556,1446.11225,150,86.91167,157813
60.005,368,1650.54245,1436.57136,86,41.60167,183440
59.992,325,1625.1157,1554.77106,103,36.13667,162599
59.994,360,1620.90265,1553.81027,87,38.52667,180192
59.995,391,1663.69973,1407.59174,93,54.76333,194612
59.999,341,1608.94538,1293.5221,108,75.235,170686
60.001,349,1610.33917,1434.31252,100,60.49667,173978
59.992,333,1624.3594,1537.98249,99,72.52167,166197
59.999,349,1611.28211,1456.12488,121,69.65,174132
60,366,1629.7251,1585.65019,115,60.42333,183451
59.991,355,1611.97438,1320.18941,110,72.20833,177104
59.996,376,1626.83656,1443.18968,96,66.46667,187950
60.001,378,1632.83302,1545.40453,92,50.84,189465
59.994,392,1619.88996,1532.34414,73,46.83,196144
59.996,337,1640.51122,1469.79625,119,57.27,168688
60.007,349,1617.21974,1439.34375,114,58.615,174822
60.001,362,1629.17572,1509.34754,102,63.95333,180790
60,391,1641.14038,1594.00156,90,71.56667,195661
59.995,350,1644.7938,1470.53468,104,61.775,174956
59.997,372,1599.59253,1516.71205,113,59.33667,185631
59.996,344,1625.70458,1572.84795,99,55.335,171540
60,375,1613.89344,1546.69835,102,80.185,187570
60.001,378,1670.62557,1565.67183,108,36.45,188130
60.006,355,1599.56387,1334.9798,101,59.62667,177415
59.99,368,1605.17074,1449.94529,81,52.6,183480
60.006,365,1617.52307,1519.38419,121,61.00667,182007
59.996,396,1599.57419,1305.95751,103,63.39167,198148
59.99,330,1617.07664,1398.70998,104,60.635,165438
59.999,383,1620.57512,1440.72691,90,44.8,191548
59.993,358,1599.56367,1316.04375,96,32.15167,178761
59.995,388,1599.5537,1346.25082,85,61.44,193285
60.016,373,1606.05909,1566.91716,102,40.73167,187103
60.003,355,1611.41902,1526.60989,109,63.47833,176701
60.006,378,1631.74012,1382.09405,100,65.69333,188252
59.999,361,1645.98181,1580.46337,91,68.02,180751
59.99,329,1629.69465,1447.927,117,57.99167,163503
59.998,363,1624.36523,1395.83085,79,48.12167,181458
60.001,353,1630.71825,1306.49537,88,65.30833,176303
59.991,384,1604.67334,1575.07959,89,52.855,190349
59.997,312,1628.88053,1404.94881,112,78.46333,156729
59.992,373,1609.54919,1487.79248,98,49.00333,186271
59.999,316,1635.83229,1491.94159,92,63.75,159254
60.001,351,1600.27125,1555.52807,92,61.02333,175641
59.994,352,1625.46216,1481.15567,100,54.185,175700
60.003,323,1610.67541,1577.19348,111,67.92833,162021
59.996,362,1639.38268,1439.14931,107,75.18833,180964
60.003,368,1632.6691,1604.20507,103,60.23667,183896
59.991,370,1606.94663,1500.72985,113,47.78167,184451
59.994,359,1599.58318,1360.40444,86,63.06167,179100
59.99,343,1618.78656,1568.23927,108,52.835,171536
59.992,407,1651.27424,1521.80435,101,73.50167,203416
59.994,327,1599.58151,1324.24971,108,68.08167,163409
60.003,375,1624.56815,1265.79882,115,73.415,187198
59.99,352,1613.61351,1451.45957,89,59.54667,175980
60.003,388,1643.27924,1548.44291,58,41.61333,194679
59.991,385,1630.31381,1457.96235,65,45.71667,192723
59.997,359,1599.57548,1329.8074,89,56.755,179003
59.994,337,1606.69651,1416.11353,99,58.42667,168516
59.995,410,1620.62965,1341.53246,109,54.135,204487
60.001,394,1647.80779,1467.22677,114,54.09833,196634
60.014,347,1605.29752,1583.04949,86,69.34,173741
60.009,367,1602.43102,1489.76642,118,57.84667,182868
59.997,389,1629.46242,1600.51671,97,51.37,194678
60.006,381,1624.14703,1570.50507,93,38.28833,191285
60.002,360,1616.59793,1466.75855,125,71.275,180088
59.999,365,1632.65486,1500.56209,95,58.77333,181857
59.994,347,1650.31499,1299.58458,103,59.26833,172469
59.992,328,1615.11171,1478.32315,107,51.57,165026
59.995,385,1607.94399,1551.51618,87,54.55,192283
59.994,381,1610.00733,1536.90939,133,63.935,190207
59.998,327,1642.80428,1495.24185,95,65.09333,162943
60.004,388,1609.6248,1387.94594,72,52.73333,194001
59.998,328,1666.36279,1387.18784,117,68.52,164052
60.003,399,1626.79197,1529.90224,97,63.69167,199275
60.011,344,1599.53053,1402.3178,77,42.44167,171449
59.993,377,1608.89268,1481.74171,97,39.735,188338
60.008,410,1634.18822,1503.49682,91,34.065,204765
60.003,387,1628.63757,1585.1628,103,42.49167,193046
60.002,397,1614.22556,1425.32261,80,37.13667,197891
60.021,360,1614.02062,1486.24388,80,46.42333,179690
60.003,351,1614.44318,1452.10099,96,61.97167,174860
59.996,364,1599.58254,1395.41343,77,44.10333,182221
59.993,341,1622.42393,1569.37148,109,57.36,170628
59.998,369,1667.14148,1584.01924,114,61.16167,184928
59.998,313,1599.55448,1328.31067,131,89.99,156464
59.99,328,1623.63937,1600.962,101,61.06,163790
60.004,337,1647.93171,1436.47666,123,74.38167,167828
59.99,320,1606.6896,1576.63622,113,75.49667,160237
60.001,368,1605.75871,1314.79277,113,67.25,183269
59.99,334,1622.55871,1557.82776,81,60.24167,166591
60.005,350,1602.50135,1581.38675,80,47.75833,174886
59.998,332,1599.59836,1450.87585,99,61.75167,165892
60.002,403,1646.3044,1537.52904,97,68.84667,201241
59.998,339,1599.36813,1312.0471,105,69.755,169005
59.994,342,1599.55082,1272.02395,111,76.97167,170521
59.997,384,1645.35523,1344.64797,118,86.75833,191689
59.999,368,1599.5743,1353.72031,122,70.17333,183829
59.99,355,1631.57627,1410.99935,89,50.37667,177293
59.998,303,1622.18632,1538.23637,125,49.06167,151391
59.99,405,1628.74361,1536.94218,94,47.84833,202012
60.002,375,1625.67602,1400.36562,106,78.37,187483
59.998,373,1615.42868,1379.15608,95,48.05167,186158
59.991,354,1623.10312,1355.76323,102,46.13,176890
59.998,335,1625.08496,1447.44677,92,56.75667,166444
59.999,338,1648.18061,1346.59964,102,41.255,169242
60.009,371,1648.47809,1399.09455,95,59.88167,185474
59.996,319,1616.68472,1351.80905,91,56.34,159440
59.994,352,1611.79217,1474.26732,90,47.21,175531
59.992,381,1630.30387,1528.79561,91,39.635,190570
60.001,356,1607.13464,1483.39818,60,46.85167,177385
59.996,346,1599.57281,1306.99945,112,64.69,173067
59.996,347,1623.43806,1463.36767,111,54.8,174158
60.004,318,1645.349,1460.53352,106,45.87667,158691
59.998,343,1599.57781,1323.64138,99,50.14667,171273
59.99,367,1608.65682,1433.18696,88,61.47833,182388
60,389,1614.62742,1400.08166,92,60.90333,194452
59.994,391,1630.40675,1513.29385,114,47.97,195707
60.001,382,1618.8263,1528.99631,89,56.85667,191169
60.01,390,1620.88621,1508.04223,106,37.51833,194753
59.999,401,1637.78616,1570.68176,69,42.6,200103
60.001,344,1604.58284,1339.0563,101,68.49667,172279
59.996,423,1648.41961,1366.5069,95,71.16333,211481
60.008,390,1652.94377,1593.68144,91,67.05167,195064
60.003,365,1604.20925,1424.76037,83,62.92167,182441
59.99,337,1617.37878,1553.77523,102,62.26667,167916
60.005,372,1644.20763,1552.5772,94,61.34333,187223
60.002,347,1620.49679,1548.99676,108,61.87,173262
60.004,341,1619.028,1508.78543,72,42.28833,170417
60.004,362,1599.59874,1447.59909,116,69.05,181334
60.001,349,1613.52413,1535.7774,114,61.26,174449
60.001,363,1605.73143,1557.89992,103,39.415,181166
59.997,366,1619.81615,1583.96439,95,69.25,183180
60.002,391,1703.35352,1584.137,75,48.61167,194758
59.992,340,1630.14711,1588.12662,94,62.07,169700
59.99,359,1612.33884,1474.58074,95,53.90333,179348
59.999,339,1629.83773,1443.96892,84,53.26,169766
59.998,402,1616.00686,1517.3983,85,63.655,200575
59.998,353,1648.41854,1561.98864,112,69.055,176882
59.99,359,1599.41859,1445.43347,90,53.93167,178412
59.998,347,1605.21901,1292.00355,113,64.98167,173498
59.993,386,1652.8017,1576.45243,70,58.605,192450
59.997,459,1617.27612,1496.71179,100,31.70167,229394
60.004,347,1639.40345,1487.25828,113,69.49667,172854
59.99,402,1602.36028,1510.88561,87,50.77333,200946
60.002,368,1611.01632,1306.43393,99,69.17833,184016
60.005,354,1609.73242,1557.63442,99,46.81833,177219
59.992,386,1615.59451,1566.1362,73,51.485,193371
59.99,360,1625.25438,1540.11582,88,54.87833,179488
59.997,389,1608.04969,1471.83067,95,64.82167,194417
60,336,1604.88832,1526.61391,102,61.58333,168168
59.99,366,1647.28862,1576.19568,100,61.66333,183401
60.003,361,1634.88034,1565.88052,107,53.75833,180422
59.997,330,1599.58395,1454.42821,89,55.3,164601
60,358,1640.64152,1346.92129,98,69.77667,178660
59.997,385,1616.97824,1483.71791,111,43.78833,191741
59.992,349,1599.51311,1470.75635,103,64.96833,173820
59.99,366,1612.03624,1405.93624,98,63.24,182397
60.001,353,1599.50455,1303.61715,116,83.695,176032
60.007,385,1632.30598,1558.5813,112,49.10167,192201
60.001,383,1600.78067,1501.25467,94,55.29833,191244
60.001,372,1634.55241,1558.36264,80,58.08333,186595
59.991,321,1599.57213,1556.55828,108,74.855,160317
59.999,339,1611.11886,1391.88686,121,68.77667,169080
59.996,352,1608.97152,1482.38503,116,49.69167,175968
59.998,394,1603.28084,1546.85139,89,64.22667,197260
60,376,1612.77862,1348.17023,91,59.46167,187472
59.991,365,1676.06281,1533.57241,107,60.795,183121
59.99,363,1600.58188,1539.15645,97,52.31833,181380
59.995,399,1642.97204,1573.1581,79,54.33,198868
60.005,320,1607.18637,1428.37427,103,54.49333,160080
60,330,1613.94205,1512.86562,118,68.96833,164509
60.004,313,1608.9096,1511.4747,109,75.33667,156317
59.99,366,1629.602,1573.12263,90,65.82333,183226
60.003,379,1630.36199,1569.03322,120,75.89667,189029
59.991,440,1681.41179,1576.74909,80,40.71833,219802
59.999,399,1643.71067,1484.70541,115,44.10667,199342
60.002,350,1612.30884,1475.17983,99,36.27167,174116
59.999,372,1632.12077,1473.14487,88,49.06667,185622
59.994,375,1626.68932,1272.44728,114,75.96167,186745
60.007,333,1622.66663,1292.41845,128,91.41,166606
59.996,396,1618.58479,1527.57167,67,57.61167,197462
59.994,353,1629.85669,1588.92765,91,66.90167,176256
59.997,364,1642.99727,1527.61396,92,59.93667,181996
59.99,369,1653.99317,1556.54113,80,39.62,185053
59.99,382,1642.08682,1560.40223,107,63.96667,191960
59.998,378,1619.39917,1525.92779,109,41.05667,189688
59.995,354,1603.83442,1477.58327,100,43.48167,176607
60.004,385,1607.97789,1582.50657,86,50.08833,191582
60.002,369,1645.46452,1592.00497,104,74.26833,185624
59.99,408,1648.20158,1561.81326,96,54.35667,203674
60,302,1614.76392,1458.55124,92,51.79667,150748
60.001,334,1613.85395,1541.34755,81,51.27333,166904
59.996,339,1607.95498,1386.41039,102,61.77167,169486
60.006,365,1599.56558,1308.47851,106,62.68833,182500
59.991,392,1626.83811,1497.42893,94,34.285,195817
60.003,318,1609.81809,1466.60986,112,44.40167,159161
60.004,341,1632.15144,1535.50462,89,61.665,170164
59.994,406,1629.30272,1571.78506,102,77.20667,203084
59.998,397,1674.18125,1536.75944,99,65.49833,198185
59.991,349,1599.5682,1251.58548,77,33.38833,173685
59.99,383,1642.133,1530.94384,108,46.23667,191159
59.99,363,1615.22408,1478.53572,107,65.44333,181619
60.002,368,1623.44507,1437.05491,98,60.37167,183856
59.997,352,1611.27512,1342.73384,118,70.265,176226
60.006,395,1627.04735,1377.47437,111,83.455,197997
59.997,370,1659.35698,1427.41677,116,60.79167,184674
59.994,395,1615.13015,1563.26451,97,32.98167,197336
60.002,343,1621.66416,1546.80183,98,51.01667,171049
60.003,365,1628.74292,1525.81285,85,38.03667,182269
59.99,374,1631.4185,1393.65359,90,60.00333,187115
59.999,375,1661.1402,1576.00087,97,47.31667,187763
59.993,386,1636.34222,1483.17965,86,42.28333,192525
59.998,445,1644.17127,1425.46268,117,59.77333,221595
59.995,403,1639.26292,1550.69604,91,46.65167,200934
59.999,386,1644.40588,1521.31083,99,70.805,193768
59.996,418,1599.49925,1380.49131,70,40.88833,208211
59.99,346,1599.54099,1256.49911,91,55.41,172938
59.994,330,1615.37335,1508.4571,91,50.915,165525
59.991,343,1600.94899,1437.80592,91,56.15333,172071
60.003,324,1610.2887,1378.89051,103,88.27667,161910
60.003,330,1619.08543,1466.92787,113,61.835,164596
59.999,404,1612.8177,1504.22905,72,32.05333,201607
60.004,350,1616.76972,1587.37605,112,50.18167,174755
60.007,339,1605.09462,1444.70458,117,56.94667,168716
60.009,345,1602.88344,1541.04867,99,61.76,171993
60.002,377,1619.38023,1513.22268,96,38.26833,187757
59.999,365,1634.82249,1525.33434,99,55.09,183118
60.002,410,1666.98506,1500.64826,128,56.88333,205461
59.993,352,1607.00405,1477.76413,95,56.07333,175996
60.009,387,1599.58316,1285.62352,101,57.875,193604
60.003,333,1627.75877,1366.34135,111,77.65833,166481
59.994,348,1609.58243,1576.5576,90,64.68667,173656
59.998,350,1636.37607,1481.72826,103,68.88833,175007
60.003,370,1612.04506,1375.28091,84,63.13333,184986
59.99,360,1633.88449,1358.58273,104,63.08167,179499
60.003,371,1643.19945,1362.2112,87,65.09167,185154
59.995,344,1604.56011,1239.89063,108,75.87667,172317
60.015,321,1606.22331,1571.29259,90,70.71833,161009
59.999,367,1605.66464,1384.50013,109,57.37833,183689
59.99,346,1610.77698,1572.12709,86,44.96167,173143
59.99,376,1606.27104,1472.14461,91,49.39167,187989
59.998,380,1608.81743,1578.79075,83,54.42833,189893
60.001,368,1644.27723,1469.12378,95,23.62667,184241
60.001,357,1606.89468,1494.05158,98,60.64833,178512
59.997,365,1610.56567,1550.20066,77,49.30833,182383
59.99,394,1633.52471,1571.50511,115,47.69667,196900
59.995,371,1622.48024,1529.3639,87,33.25667,185932
60.003,367,1622.81541,1509.84858,125,43.25333,182852
59.99,369,1607.81315,1570.2926,97,56.80333,183645
60.003,373,1604.75572,1415.20149,85,43.40667,186181
59.99,350,1631.56461,1564.6885,109,69.89667,174986
59.99,336,1621.777,1430.63497,113,66.61167,167250
60.009,380,1611.47906,1534.36068,90,56.82333,189863
59.99,317,1621.46989,1592.80603,96,70.69333,157882
59.998,348,1669.08729,1598.37999,99,68.59667,173992
60.003,399,1641.40013,1557.5687,82,55.35833,199247
59.998,345,1632.17228,1439.6827,102,75.23833,172728
59.997,362,1633.67431,1488.00939,86,40.995,180157
60.003,395,1618.94717,1534.86257,99,70.27667,197631
59.993,338,1647.04665,1271.20328,106,85.35167,168928
60.006,390,1603.32493,1460.35664,87,46.08167,194065
59.99,367,1603.37167,1390.05247,86,63.91167,182980
59.993,314,1626.9826,1458.75145,69,49.88667,156897
59.992,360,1640.08123,1527.01671,88,56.265,180040
60.003,366,1612.39825,1562.14007,83,61.84333,183083
59.998,324,1613.73492,1493.13841,116,67.065,162112
59.992,340,1616.70986,1509.35714,87,50.755,170206
60.004,365,1620.12941,1425.03574,90,70.055,182780
59.993,347,1599.50431,1333.36117,98,57.25833,173255
59.998,406,1634.60353,1366.52195,96,58.72667,203332
60.002,353,1617.74218,1467.57329,107,67.37333,176581
59.992,326,1617.92701,1354.44246,89,56.41833,163380
59.999,315,1609.94973,1535.51673,138,110.215,156796
59.999,342,1613.19065,1529.62624,82,48.825,171217
59.992,384,1609.99912,1483.21293,94,55.715,191640
59.994,317,1622.96074,1554.53649,99,45.56,158676
60,386,1623.27516,1574.39897,105,83.15833,193117
59.991,324,1606.75891,1537.73957,90,55.485,161936
59.991,369,1599.58219,1379.58911,98,83.43333,184286
60.009,348,1642.84014,1594.69866,127,49.66667,174133
59.993,328,1619.98057,1302.19587,94,59.18,164184
59.991,372,1604.67054,1366.81798,82,60.22667,185274
60.002,349,1609.20669,1432.15889,106,52.52,174490
59.999,359,1599.59139,1235.95919,151,111.70833,178604
60.001,408,1679.30112,1521.63321,74,50.99833,203703
59.994,340,1599.58234,1356.43157,88,51.12333,170101
59.996,416,1636.57069,1494.61165,79,35.74667,207162
60,353,1639.57148,1574.55099,95,57.23167,176645
59.998,347,1641.83477,1561.41174,102,65.89667,173357
60.004,318,1614.55031,1524.15105,99,58.535,159309
59.999,352,1633.02392,1496.98236,82,49.195,176099
59.997,343,1643.97097,1392.86957,135,80.275,172065
60.004,398,1634.90986,1461.37809,71,28.81167,199037
