secs,gens,bestfitness,meanfitness,maxcomplexity,meancomplexity,evalcount
59.998,1445,83.80893,53.22384,57,46.43833,726748
60.003,1861,75.77013,42.70878,45,39.845,934348
59.995,1380,61.30839,39.93103,52,29.09,692381
60.007,1215,261.90131,180.39615,65,42.04333,616111
59.992,1272,851.78273,656.39191,55,47.10167,645603
59.994,1630,449.4088,266.71617,40,34.05,826524
60.006,1490,293.2761,198.2839,54,46.42333,751466
60.007,1386,195.81058,157.83577,59,52.015,695530
59.999,1223,225.47613,185.50592,57,50.25667,613862
59.995,1265,209.93037,159.31214,56,51.85833,636068
59.991,1216,76.67839,54.69065,45,36.77,611564
59.993,1325,51.99556,44.87746,55,36.525,666872
60.005,1571,148.04998,47.95342,42,31.935,790999
59.995,1173,240.31219,172.71611,70,64.13,589972
59.991,1692,84.86764,41.6105,43,32.08,851019
60.001,1485,85.99019,45.11186,50,43.32833,744695
59.998,1503,232.93458,116.96174,55,49.68,760048
59.998,1428,163.72724,50.08682,46,32.71833,717628
60.003,1534,341.48839,236.02612,57,46.47167,772317
60.006,1301,108.70036,54.60811,53,30.275,654817
60.015,1334,97.54686,47.89337,58,33.17333,672206
59.996,1445,118.18273,89.03938,57,51.26667,727869
59.99,948,44.89673,40.5396,58,48.93333,476119
59.991,1274,172.37945,113.09033,67,31.1,640629
60.002,1712,883.01832,737.95926,54,47.565,864321
60.002,1472,165.62596,76.68131,54,39.08167,747215
60.002,1272,352.38136,275.38476,58,51.47667,642236
60.004,1323,159.74183,112.64485,59,48.88167,665817
60.005,1251,174.976,146.66401,57,47.73333,629055
59.999,1175,447.72966,290.78891,69,55.18,594588
59.998,1361,51.32206,44.30294,57,47.97667,681986
60,1328,161.78695,116.77025,50,42.01667,670595
59.999,1477,96.41783,46.29518,49,32.58833,745152
60.003,1370,393.25492,259.21972,46,39.215,688575
60.011,1455,334.62511,235.03274,57,47.60667,731783
59.995,1219,88.47346,60.54765,59,46.34167,614834
59.99,1270,51.87429,43.71337,55,45.85167,636317
60.01,1203,47.59144,40.43807,53,27.725,603294
59.994,1449,78.49536,48.42951,50,34.7,728554
60.006,1455,328.77717,254.20218,49,44.44667,733596
59.998,1203,131.27293,118.74959,59,53.69,605550
59.995,1327,134.86923,103.52522,59,48.44667,667917
59.994,1393,89.64021,52.15004,51,37.71833,698245
60.002,1466,229.25621,147.73304,57,48.62667,739318
60.005,1697,115.17477,58.92697,41,25.945,853268
60.001,1273,169.70774,130.09739,54,47.84167,639743
60.004,1266,353.75719,283.23603,61,56.93667,637249
60.011,1442,472.36445,272.73015,56,51.68833,727494
60.006,1272,130.05675,102.96341,56,49.03333,640079
60.003,1390,530.91177,320.84331,57,49.05833,704615
59.997,1231,183.45954,154.8936,58,35.36167,619007
60.002,1446,131.58777,57.21135,46,30.15167,729041
59.991,1483,106.27407,61.96441,45,33.70333,745048
59.999,1587,162.485,87.97726,51,44.13833,796909
60.008,1434,251.06787,190.39577,51,43.19167,720913
59.996,1519,166.89299,145.14873,54,47.94833,764099
60.015,1231,384.74333,273.23677,60,54.09333,620929
59.997,1446,55.19012,47.11461,53,45.53167,725046
60.008,1583,50.18188,40.15376,41,35.315,793939
59.99,1634,509.03236,414.92949,58,46.575,827196
60.004,1381,457.53472,264.83648,53,34.48667,696564
59.991,1278,143.58478,108.76699,55,46.66667,640831
60,1405,135.03725,115.00996,55,48.53333,708090
59.995,1360,391.67534,314.36208,52,45.44167,683393
59.994,1327,266.25012,161.9734,50,41.51333,672861
60,1552,198.4497,63.53455,49,28.87167,785622
60.005,1151,167.83775,139.43487,68,60,578868
59.995,1559,309.79483,103.59818,44,32.1,788916
